cell,model,rate,c_rate,rate_label,rate_slug,source_rate,parameter_set,capacity_metric_type,capacity_is_predictive,rmse_time_aligned_mV,mae_time_aligned_mV,bias_time_aligned_mV,max_abs_error_mV,coverage_fraction,residual_std_mV,current_rms_A,current_peak_discharge_A,current_peak_charge_A,protocol_id,profile_kind,source_file,source_cycle,source_step,source_soc_percent,initial_soc,initial_soc_source,identification,initial_state_type,initial_state_value,initial_state_source,initial_state_history_replayed,initial_state_is_exact_electrochemical_state,initial_state_purpose,initial_state_fitted_to_voltage,ambient_temperature_source,measured_cell_temperature_role,initial_temperature_C,Q_exp_reported_Ah,Q_exp_integrated_Ah,Q_sim_Ah,experimental_window_charge_Ah,simulated_forced_window_charge_Ah,capacity_error_pct,ambient_temperature_C,median_current_A,c_rate_measured,experimental_duration_s,simulation_duration_s,n_comparison_points,runtime_s
02,SPME,C10,0.1,C/10,C0p1,C10,Chen2020,forced_current_window,False,88.04610645316488,68.95423301429035,68.95423301429035,420.2568468313017,1.0,54.748795520750896,0.4999725006492754,0.502174,-0.499275,,,,,,,1.0,,,,,,,,,,,,,4.99776,4.997659169527166,4.997659304574809,4.997659169527166,4.997659304574809,-0.0020148111392276876,26.7131,0.500038,0.1000076,35985.230039999995,35985.230039999995,1213,0.4501152750017354
02,SPME,C2,0.5,C/2,C0p5,C2,Chen2020,forced_current_window,False,123.88059325590939,93.61322106657254,93.49016319896072,377.46229845816214,1.0,81.27724632680267,2.499993918682674,2.50065,-2.49943,,,,,,,1.0,,,,,,,,,,,,,4.92397,4.923953390051922,4.923953398222213,4.923953390051922,4.923953398222213,-0.00033716244792663194,26.8791,2.50004,0.500008,7090.529980000007,7090.529980000007,284,0.2600856860008207
02,SPME,1C,1.0,1C,C1,1C,Chen2020,forced_current_window,False,81.79839777639971,73.78591675478638,73.78591675478638,176.20731858954565,1.0,35.30745484231122,5.000015751887177,5.00389,-4.99947,,,,,,,1.0,,,,,,,,,,,,,4.92974,4.929669871749995,4.9296698256605005,4.929669871749995,4.9296698256605005,-0.001423489666783562,27.4103,5.00008,1.000016,3549.369999999996,3549.369999999996,176,0.2236608269959106
02,SPME,1p5C,1.5,1.5C,C1p5,1p5C,Chen2020,forced_current_window,False,48.04015878520049,41.38708306799326,35.982302601286655,90.12900019532744,0.9979593676870899,31.82971497856548,7.499937198461494,7.50256,-7.4992,,,,,,,1.0,,,,,,,,,,,,,4.9226,4.9225225233611045,4.912477303608727,4.9225225233611045,4.912477303608727,-0.20563719155067445,27.982999999999997,7.49996,1.499992,2362.8399999999965,2358.01831234576,143,0.23137474300165195
