SOC,Voltage,branch,time_s,current_A,capacity_Ah
1.0,0.0966956839,delithiation,0.0,-4.32582e-05,0.0
0.9994431440353222,0.1098013222,delithiation,90.0,-4.32757e-05,-1.08167375e-06
0.9988242879133219,0.1112095714,delithiation,190.0,-4.3276e-05,-2.2837806944444447e-06
0.9982673128989381,0.1119374335,delithiation,280.0,-4.32764e-05,-3.3656856944444443e-06
0.9976484532018716,0.1125318557,delithiation,380.0,-4.32758e-05,-4.567799583333333e-06
0.9970914814050474,0.1129839867,delithiation,470.0,-4.32761e-05,-5.649698333333333e-06
0.9964726238530206,0.1134294271,delithiation,570.0,-4.32758e-05,-6.851808055555556e-06
0.9959156552737561,0.1137666702,delithiation,660.0,-4.32756e-05,-7.933700555555556e-06
0.9952968027268221,0.1140950322,delithiation,760.0,-4.32756e-05,-9.135800555555556e-06
0.9947398341475576,0.1143551767,delithiation,850.0,-4.32758e-05,-1.0217693055555557e-05
0.9941209765955308,0.1145931035,delithiation,950.0,-4.32761e-05,-1.1419802777777781e-05
0.9935640067292424,0.1147717237,delithiation,1040.0,-4.32755e-05,-1.250169777777778e-05
0.9929451484622024,0.1149740666,delithiation,1140.0,-4.32765e-05,-1.3703808888888892e-05
0.9923881721607948,0.1151037663,delithiation,1230.0,-4.32761e-05,-1.4785716388888893e-05
0.9917693196138607,0.1151912361,delithiation,1330.0,-4.32751e-05,-1.5987816388888893e-05
0.991212360687275,0.1152586937,delithiation,1420.0,-4.32748e-05,-1.7069690138888893e-05
0.9905935145754603,0.1153439283,delithiation,1520.0,-4.32755e-05,-1.8271777638888892e-05
0.9900365511442911,0.115367651,delithiation,1610.0,-4.32751e-05,-1.9353660138888895e-05
0.9894177043174631,0.1153780222,delithiation,1710.0,-4.32753e-05,-2.0555749027777783e-05
0.9888607338076628,0.1154069304,delithiation,1800.0,-4.32764e-05,-2.1637645277777785e-05
0.9883037594367909,0.1153713465,delithiation,1890.0,-4.32759e-05,-2.2719549027777784e-05
0.9876848933046052,0.1153743118,delithiation,1990.0,-4.32772e-05,-2.3921675416666674e-05
0.9871279195772453,0.1152809262,delithiation,2080.0,-4.3275e-05,-2.5003577916666675e-05
0.9865090727504172,0.1152401567,delithiation,2180.0,-4.32754e-05,-2.6205666805555566e-05
0.9859521093192481,0.1151941866,delithiation,2270.0,-4.32752e-05,-2.7287549305555565e-05
0.9853332524822346,0.1151504666,delithiation,2370.0,-4.32766e-05,-2.84896576388889e-05
0.9847762697457078,0.1150971055,delithiation,2460.0,-4.3277e-05,-2.95715776388889e-05
0.9841574093336279,0.1150022298,delithiation,2560.0,-4.32753e-05,-3.077369291666668e-05
0.9836004465459708,0.1149399728,delithiation,2650.0,-4.32752e-05,-3.1855574166666684e-05
0.9829816018641824,0.1148406565,delithiation,2750.0,-4.32749e-05,-3.30576588888889e-05
0.9824246435811087,0.1147813648,delithiation,2840.0,-4.32749e-05,-3.41395313888889e-05
0.9818057988993204,0.1147153974,delithiation,2940.0,-4.32752e-05,-3.534161611111112e-05
0.9812488296765439,0.1146805584,delithiation,3030.0,-4.32763e-05,-3.642350986111113e-05
0.9806299728395304,0.1145842075,delithiation,3130.0,-4.32755e-05,-3.762561819444446e-05
0.9800730100518732,0.1144960076,delithiation,3220.0,-4.3275e-05,-3.870749944444446e-05
0.9794541560749126,0.1144604236,delithiation,3320.0,-4.32764e-05,-3.990960222222224e-05
0.9788971842780885,0.1143714935,delithiation,3410.0,-4.32755e-05,-4.099150097222224e-05
0.9782783252960352,0.1143196076,delithiation,3510.0,-4.32766e-05,-4.219361347222224e-05
0.9777213489946276,0.114234373,delithiation,3600.0,-4.3276e-05,-4.327552097222224e-05
0.977102492157614,0.1141602546,delithiation,3700.0,-4.32758e-05,-4.447762930555557e-05
0.9765455216478138,0.1141128093,delithiation,3790.0,-4.32759e-05,-4.555952555555557e-05
0.9759885479204539,0.1140727848,delithiation,3880.0,-4.32763e-05,-4.664142805555558e-05
0.9753696832182946,0.1140097976,delithiation,3980.0,-4.32766e-05,-4.784355166666668e-05
0.9748127056298632,0.113951236,delithiation,4070.0,-4.32762e-05,-4.892546166666668e-05
0.9741938480778364,0.1138852537,delithiation,4170.0,-4.32757e-05,-5.01275713888889e-05
