SOC,Voltage,branch,time_s,current_A,capacity_Ah
0.0,3.0002844334,lithiation,0.0,4.32643e-05,0.0
0.0005568894272978687,1.2349275351,lithiation,90.0,4.32748e-05,1.08173875e-06
0.0011757326790596972,1.016649127,lithiation,190.0,4.32751e-05,2.283820694444445e-06
0.0017326954667168856,0.9042776823,lithiation,280.0,4.32754e-05,3.365701944444445e-06
0.0023515437235714547,0.8141439557,lithiation,380.0,4.32752e-05,4.567793611111112e-06
0.0029085135898598053,0.7577255964,lithiation,470.0,4.32764e-05,5.649688611111111e-06
0.0035273661367938667,0.7211719751,lithiation,570.0,4.32748e-05,6.851788611111111e-06
0.004084322489331816,0.7005098462,lithiation,660.0,4.32747e-05,7.93365736111111e-06
0.004703159305974406,0.6834243536,lithiation,760.0,4.32743e-05,9.135726805555554e-06
0.005260111153928889,0.6704000831,lithiation,850.0,4.32745e-05,1.0217586805555555e-05
0.00587895869577021,0.6572698355,lithiation,950.0,4.3276e-05,1.1419677083333333e-05
0.006435924057475093,0.6461623907,lithiation,1040.0,4.32749e-05,1.2501563333333333e-05
0.007054774459369409,0.6340757608,lithiation,1140.0,4.3276e-05,1.3703659166666667e-05
0.007611748186729304,0.6235969663,lithiation,1230.0,4.32762e-05,1.4785561666666667e-05
0.008230606453769355,0.6122553349,lithiation,1330.0,4.32758e-05,1.5987672777777778e-05
0.008787573102498086,0.602279067,lithiation,1420.0,4.32753e-05,1.706956152777778e-05
0.009406422074365905,0.5915697217,lithiation,1520.0,4.32754e-05,1.8271654583333336e-05
0.009963385505535017,0.5819611549,lithiation,1610.0,4.32752e-05,1.9353537083333336e-05
0.010520350223727977,0.5725319982,lithiation,1700.0,4.32756e-05,2.0435422083333335e-05
0.011139205630715035,0.5624845624,lithiation,1800.0,4.3276e-05,2.1637527638888893e-05
0.011696171635931842,0.553466022,lithiation,1890.0,4.3275e-05,2.2719415138888893e-05
0.012315018462759914,0.5453383923,lithiation,1990.0,4.32754e-05,2.3921504027777784e-05
0.012871987685536341,0.5364044309,lithiation,2080.0,4.32761e-05,2.5003397777777782e-05
0.013490840947483651,0.5289565325,lithiation,2180.0,4.32752e-05,2.620549916666667e-05
0.014047805665676611,0.5178744197,lithiation,2270.0,4.32756e-05,2.728738416666667e-05
0.01466665392253118,0.5081583858,lithiation,2370.0,4.3275e-05,2.8489475833333335e-05
0.015223614136140673,0.4998091757,lithiation,2460.0,4.32751e-05,2.9571352083333336e-05
0.015842463823021742,0.499804765,lithiation,2560.0,4.32757e-05,3.0773446527777785e-05
0.01639942725419085,0.4867072403,lithiation,2650.0,4.32749e-05,3.185532902777778e-05
0.017018277656085167,0.4797583222,lithiation,2750.0,4.3276e-05,3.3057424861111115e-05
0.01757525073993314,0.4764227867,lithiation,2840.0,4.32761e-05,3.413932611111112e-05
0.018194100426814203,0.4702891409,lithiation,2940.0,4.32747e-05,3.5341420555555556e-05
0.018751062570959466,0.4592790306,lithiation,3030.0,4.32757e-05,3.6423300555555555e-05
0.019369910112800787,0.4558174908,lithiation,3130.0,4.32748e-05,3.7625390833333334e-05
0.019926867108850662,0.447776705,lithiation,3220.0,4.32748e-05,3.870726083333333e-05
0.020545706785546246,0.4384046793,lithiation,3320.0,4.32746e-05,3.990933583333334e-05
0.021102672790763055,0.4361276329,lithiation,3410.0,4.32764e-05,4.0991223333333334e-05
0.02165965166621834,0.4268460572,lithiation,3500.0,4.32766e-05,4.207313583333333e-05
0.022278513508324636,0.4290578663,lithiation,3600.0,4.32759e-05,4.327525388888889e-05
0.022835487235684526,0.4321072698,lithiation,3690.0,4.32763e-05,4.435715638888889e-05
0.023454351222830568,0.4244141281,lithiation,3790.0,4.32765e-05,4.555927861111111e-05
0.02401132495019046,0.4155068696,lithiation,3880.0,4.32757e-05,4.664118111111111e-05
0.02463018607728351,0.4103650153,lithiation,3980.0,4.32767e-05,4.784329777777778e-05
0.02518715272601224,0.4030239582,lithiation,4070.0,4.32744e-05,4.892518652777778e-05
0.025805991687694575,0.399569124,lithiation,4170.0,4.32749e-05,5.012726013888889e-05
0.0263629499707683,0.3918560147,lithiation,4260.0,4.32749e-05,5.120913263888889e-05
0.026981790362477134,0.392629832,lithiation,4360.0,4.32746e-05,5.241120902777778e-05
0.02753875636769394,0.3908286989,lithiation,4450.0,4.32764e-05,5.349309652777778e-05
0.028157611774680995,0.3858958781,lithiation,4550.0,4.32752e-05,5.4695202083333334e-05
0.028714574562338183,0.3808652163,lithiation,4640.0,4.32753e-05,5.5777083333333335e-05
0.029333422819192753,0.3782220185,lithiation,4740.0,4.32753e-05,5.6979175e-05
0.02989038367631417,0.3748531938,lithiation,4830.0,4.32749e-05,5.8061052500000006e-05
0.03050922978812899,0.3688137233,lithiation,4930.0,4.32754e-05,5.926314e-05
0.031066198367393497,0.3647044301,lithiation,5020.0,4.3276e-05,6.0345032500000005e-05
0.03162317466880109,0.3626238108,lithiation,5110.0,4.32766e-05,6.142694e-05
0.032242040800986874,0.3608826995,lithiation,5210.0,4.32765e-05,6.262906638888889e-05
0.03279900423215598,0.3559439778,lithiation,5300.0,4.32741e-05,6.371094888888889e-05
0.03341783747373233,0.3534475565,lithiation,5400.0,4.32744e-05,6.491301138888889e-05
0.033974789321686814,0.3490150869,lithiation,5490.0,4.32744e-05,6.59948713888889e-05
0.03459363829355463,0.3457537293,lithiation,5590.0,4.32763e-05,6.719696444444444e-05
0.0351506113774026,0.3416414559,lithiation,5680.0,4.32758e-05,6.827886569444445e-05
0.035769463924336664,0.3375596106,lithiation,5780.0,4.32754e-05,6.948096569444445e-05
0.03632643121657732,0.3377678692,lithiation,5870.0,4.32758e-05,7.056285569444444e-05
0.03694527732839214,0.3331693709,lithiation,5970.0,4.32745e-05,7.176494319444444e-05
0.03750223046337047,0.3293654323,lithiation,6060.0,4.32745e-05,7.284680569444444e-05
0.03812107443014554,0.3254488409,lithiation,6160.0,4.32755e-05,7.404888902777777e-05
0.038678040435362354,0.3223898709,lithiation,6250.0,4.32755e-05,7.513077652777777e-05
0.03929688726219042,0.3197311461,lithiation,6350.0,4.32749e-05,7.633286541666665e-05
0.0398538416841926,0.3166143298,lithiation,6440.0,4.32743e-05,7.741473041666666e-05
0.040472680645874934,0.313013494,lithiation,6540.0,4.3275e-05,7.861680402777777e-05
0.04102964536406789,0.3109818399,lithiation,6630.0,4.32758e-05,7.969868902777775e-05
0.041648497911001954,0.3077827394,lithiation,6730.0,4.32754e-05,8.090078902777775e-05
0.0422054652032426,0.3044635952,lithiation,6820.0,4.32758e-05,8.198267902777775e-05
0.04276243378250711,0.3014735281,lithiation,6910.0,4.32756e-05,8.306457152777776e-05
0.043381284899414674,0.2984471619,lithiation,7010.0,4.32754e-05,8.426666874999998e-05
0.043938246400048016,0.2955090106,lithiation,7100.0,4.32749e-05,8.534854749999998e-05
