parameter,C10,C2,1C,1p5C,mean
brug_e,2.4541611160507086,11.505066403860809,29.179745636440526,68.38243085939173,27.880351003935942
Rp,5.530663563000922,19.574181351355257,34.6813291990437,47.97297019459356,26.93978607699836
Rn,4.831554940981835,15.152199691812571,22.005394905124547,25.83043682583752,16.954896590939118
Dsp,2.986761374740844,10.377307123705807,18.15340599528691,24.506237177180136,14.005927917728425
De,0.8143357766056116,3.7233390125951393,10.522278549614912,24.29307852062733,9.838257964860748
j0n,3.6205821455337595,9.247174391350748,10.778011150410785,11.21471425008634,8.715120484345409
Dsn,1.4192004340371958,6.050080205009862,10.103126227279242,12.46480882684327,7.509303923292393
kappa_e,0.5513159127606878,2.5743541770200036,5.108458878974836,7.64181585063197,3.9689862048468747
j0p,0.37337167843010277,1.891284012070485,4.214215763952391,6.8590224209233055,3.334473468844071
