parameter,label,group,mean_voltage_shift_mV,max_voltage_shift_mV,mean_abs_capacity_shift_pct,max_abs_capacity_shift_pct
Rp,Positive particle radius,microstructure,25.463479685062396,47.97297019459356,0.25641255609733865,0.6620019147470299
brug_e,Electrolyte Bruggeman coefficients,electrolyte_transport,21.189237361146304,68.38243085939173,0.16877299895046882,0.6308436384140585
Rn,Negative particle radius,microstructure,16.399637709127774,25.83043682583752,0.6490335607195061,1.3256810848928886
Dsp,Positive particle diffusivity,solid_transport,11.859586689791469,24.506237177180136,0.11616847675730071,0.29468185904056793
j0n,Negative exchange-current density,kinetics,7.688955559412039,11.21471425008634,0.07118445662301659,0.11006264696159634
De,Electrolyte diffusivity,electrolyte_transport,7.649962868310492,24.29307852062733,0.060735731147569104,0.2156953073303215
Dsn,Negative particle diffusivity,solid_transport,6.294272520476472,12.46480882684327,0.3016249329828541,0.7027605475614747
kappa_e,Electrolyte conductivity,electrolyte_transport,3.3073717557667974,7.64181585063197,0.023582438010145063,0.06085317672139768
j0p,Positive exchange-current density,kinetics,2.829030351524046,6.8590224209233055,0.02722971676952632,0.07168014491435501
