time_s,voltage_exp_V,voltage_sim_V,residual_V
0.0,1.0567988157,1.071108517623991,0.014309701923991058
80.0,0.9341790676,0.9241047949542854,-0.010074272645714588
160.0,0.8567634821,0.8477840564418765,-0.008979425658123485
240.0,0.792222321,0.7848541617883642,-0.007368159211635805
320.0,0.748649776,0.7429137513430712,-0.005736024656928795
400.0,0.7211719751,0.7164415572777576,-0.004730417822242372
480.0,0.70250386,0.6983319954159696,-0.004171864584030405
560.0,0.6882587075,0.6844215860552043,-0.0038371214447956437
640.0,0.6760571599,0.6724409034170915,-0.003616256482908531
720.0,0.6653167009,0.6617211943675608,-0.003595506532439119
800.0,0.6547184587,0.6514221994167424,-0.0032962592832576076
880.0,0.6447933316,0.6416134877262651,-0.0031798438737348222
960.0,0.6353158355,0.6321841532630399,-0.0031316822369601427
1040.0,0.6260082126,0.6229592490503881,-0.003048963549611816
1130.0,0.6156613231,0.6127015313890826,-0.0029597917109174254
1210.0,0.6067013144,0.603869413651102,-0.002831900748897942
1290.0,0.5979465246,0.5953929032652501,-0.0025536213347499004
1370.0,0.5897315145,0.5868161924409374,-0.0029153220590626416
1450.0,0.5811932087,0.5783479123482431,-0.0028452963517568985
1530.0,0.5725319982,0.5698537092436418,-0.0026782889563582435
1610.0,0.5652382374,0.562271551542048,-0.0029666858579520117
1690.0,0.5563768148,0.5537564215874209,-0.0026203932125791196
1770.0,0.5482937098,0.5458423775597665,-0.002451332240233528
1850.0,0.5409066081,0.5382900913850623,-0.002616516714937678
1930.0,0.5331125855,0.5330940645096399,-1.852099036003807e-05
2010.0,0.5289565325,0.5266143711022966,-0.0023421613977033795
2090.0,0.5188987851,0.5163983238080381,-0.0025004612919619085
2180.0,0.5101219416,0.5082307401443922,-0.0018912014556078383
2260.0,0.5031595826,0.5007663690696507,-0.0023932135303493807
2340.0,0.500626862,0.49853875221407784,-0.00208810978592211
2420.0,0.4935510457,0.4917449457697902,-0.0018060999302098035
2500.0,0.4844273031,0.4828885973089343,-0.0015387057910656865
2580.0,0.4797583222,0.477384056410873,-0.0023742657891269725
2660.0,0.4781268537,0.47517943097410975,-0.0029474227258902697
2740.0,0.4676763117,0.46553889454564484,-0.00213741715435517
2820.0,0.4651524723,0.4627968909403927,-0.002355581359607284
2900.0,0.4604775608,0.45977571619552476,-0.0007018446044752547
2980.0,0.4530164003,0.4502806354629727,-0.00273576483702731
3060.0,0.4461675286,0.44507451752373905,-0.001093011076260919
3140.0,0.4401147068,0.4371684254930344,-0.002946281306965559
3230.0,0.4370993972,0.4347881863339502,-0.0023112108660497954
3310.0,0.4286576211,0.4264011073400001,-0.002256513759999912
3390.0,0.4284945428,0.4265956292645787,-0.001898913535421265
3470.0,0.4296167493,0.4295193894506513,-9.735984934866604e-05
3550.0,0.4324260056,0.429416828050553,-0.0030091775494470174
3630.0,0.423374176,0.420517295618985,-0.0028568803810150034
3710.0,0.4155068696,0.4137369773382551,-0.0017698922617448987
3790.0,0.4121832252,0.41030737739483947,-0.0018758478051605354
3870.0,0.4050512016,0.40304643995149325,-0.00200476164850677
3950.0,0.4024094939,0.40085993600996506,-0.0015495578900349694
4030.0,0.3960542679,0.39402089281672803,-0.002033375083271949
4110.0,0.3941219151,0.39357752989737727,-0.0005443852026227325
4190.0,0.392629832,0.39207969397201187,-0.0005501380279881452
4270.0,0.3921843469,0.38952358659092035,-0.002660760309079635
4360.0,0.3875754774,0.38559847514699774,-0.0019770022530022358
4440.0,0.382815361,0.38083969400112716,-0.0019756669988728603
4520.0,0.3793657124,0.3778537884444596,-0.0015119239555403952
4600.0,0.3773014247,0.3757192206248941,-0.0015822040751058974
4680.0,0.3741808832,0.3726338963233948,-0.0015469868766052053
4760.0,0.3688137233,0.3669408868554027,-0.0018728364445972923
4840.0,0.3649238348,0.36338245056137697,-0.0015413842386230447
4920.0,0.3634473085,0.36172642979623115,-0.0017208787037688578
5000.0,0.360886395,0.35876980172814943,-0.0021165932718505975
5080.0,0.3589585125,0.3568379468405132,-0.002120565659486817
5160.0,0.3551827371,0.35359484489803455,-0.001587892201965424
5240.0,0.3527752757,0.3505531955827178,-0.002222080117282199
5320.0,0.3490150869,0.3485392170994005,-0.00047586980059949324
5410.0,0.3461999595,0.3444841111880497,-0.0017158483119502632
5490.0,0.342530936,0.3408178362576839,-0.0017130997423160932
5570.0,0.3392784595,0.3375880037736263,-0.0016904557263737185
5650.0,0.3378293812,0.33729536621119205,-0.0005340149888079515
5730.0,0.3370088637,0.33600286921875133,-0.001005994481248662
5810.0,0.3327550292,0.33107937921792796,-0.001675649982072036
5890.0,0.3293654323,0.32771315791396005,-0.0016522743860399314
5970.0,0.3262263834,0.3245740997451047,-0.0016522836548952813
6050.0,0.3235565424,0.32192138524120706,-0.0016351571587929215
6130.0,0.3217754066,0.32012296216641395,-0.001652444433586031
6210.0,0.3185978234,0.3169931600896939,-0.0016046633103060648
6290.0,0.3158968389,0.314290162392444,-0.0016066765075559708
6370.0,0.313013494,0.31144541844858714,-0.001568075551412862
6460.0,0.3109818399,0.30933345653829647,-0.0016483833617035315
6540.0,0.3083853722,0.3068160585031733,-0.001569313696826724
6620.0,0.3054953814,0.30391929953858743,-0.0015760818614125593
6700.0,0.3028129041,0.30125287812711443,-0.0015600259728855703
6780.0,0.3004387915,0.2988277790268672,-0.0016110124731328335
6860.0,0.297783047,0.29624937613905655,-0.0015336708609434702
