t_s,V_exp,V_sim,residual_mV,cap_fraction
990.000000,3.28979397,2.90023664,-389.557332,0.005176
1000.000000,3.29262066,2.90092059,-391.700074,0.005228
1010.000000,3.29536438,2.90160403,-393.760354,0.005280
1020.000000,3.29803753,2.90228284,-395.754692,0.005331
1030.000000,3.30062628,2.90296163,-397.664650,0.005383
1040.000000,3.30314875,2.90364040,-399.508345,0.005435
1050.000000,3.30559349,2.90431916,-401.274330,0.005487
1060.000000,3.30794287,2.90499791,-402.944962,0.005538
1070.000000,3.31021738,2.90567293,-404.544448,0.005590
1080.000000,3.31242990,2.90634659,-406.083315,0.005642
1090.000000,3.31455922,2.90702024,-407.538986,0.005694
1100.000000,3.31660390,2.90769387,-408.910028,0.005745
1110.000000,3.31859469,2.90836750,-410.227198,0.005797
1120.000000,3.32049942,2.90903927,-411.460154,0.005849
1130.000000,3.32234478,2.90970785,-412.636930,0.005901
1140.000000,3.32413387,2.91037643,-413.757447,0.005953
1150.000000,3.32584906,2.91104499,-414.804062,0.006004
1160.000000,3.32750750,2.91171356,-415.793940,0.006056
1170.000000,3.32908702,2.91238210,-416.704923,0.006108
1180.000000,3.33062840,2.91304566,-417.582735,0.006160
1190.000000,3.33211184,2.91370922,-418.402617,0.006211
1200.000000,3.33353019,2.91437277,-419.157417,0.006263
1210.000000,3.33492804,2.91503632,-419.891717,0.006315
1220.000000,3.33625317,2.91569986,-420.553304,0.006367
1230.000000,3.33753967,2.91636024,-421.179428,0.006418
1240.000000,3.33879304,2.91701883,-421.774208,0.006470
1250.000000,3.33997750,2.91767741,-422.300088,0.006522
1260.000000,3.34114361,2.91833599,-422.807614,0.006574
1270.000000,3.34227490,2.91899457,-423.280333,0.006625
1280.000000,3.34336710,2.91965180,-423.715296,0.006677
1290.000000,3.34441829,2.92030546,-424.112823,0.006729
1300.000000,3.34545016,2.92095912,-424.491042,0.006781
1310.000000,3.34644151,2.92161278,-424.828732,0.006832
1320.000000,3.34741330,2.92226643,-425.146873,0.006884
1330.000000,3.34834766,2.92292008,-425.427586,0.006936
1340.000000,3.34925103,2.92356930,-425.681731,0.006988
1350.000000,3.35012722,2.92421807,-425.909147,0.007040
1360.000000,3.35100341,2.92486684,-426.136566,0.007091
1370.000000,3.35183787,2.92551561,-426.322263,0.007143
1380.000000,3.35264349,2.92616438,-426.479112,0.007195
1390.000000,3.35344076,2.92681052,-426.630244,0.007247
