t_s,V_exp,V_sim,residual_mV,cap_fraction
1020.000000,3.44166112,3.46740156,25.740443,0.005351
1030.000000,3.44115162,3.46698045,25.828830,0.005403
1040.000000,3.44065762,3.46655935,25.901731,0.005455
1050.000000,3.44016838,3.46613825,25.969874,0.005507
1060.000000,3.43966579,3.46573183,26.066032,0.005558
1070.000000,3.43918514,3.46532621,26.141067,0.005610
1080.000000,3.43871474,3.46492060,26.205859,0.005662
1090.000000,3.43823767,3.46451500,26.277334,0.005714
1100.000000,3.43778610,3.46410941,26.323305,0.005766
1110.000000,3.43731952,3.46371251,26.392998,0.005818
1120.000000,3.43686700,3.46332182,26.454822,0.005870
1130.000000,3.43641424,3.46293113,26.516892,0.005922
1140.000000,3.43596435,3.46254045,26.576105,0.005974
1150.000000,3.43552279,3.46214977,26.626978,0.006026
1160.000000,3.43508768,3.46176221,26.674533,0.006078
1170.000000,3.43466139,3.46138592,26.724531,0.006130
1180.000000,3.43424487,3.46100959,26.764723,0.006182
1190.000000,3.43382907,3.46063327,26.804203,0.006234
1200.000000,3.43341589,3.46025695,26.841063,0.006286
1210.000000,3.43301654,3.45988064,26.864099,0.006338
1220.000000,3.43261170,3.45951613,26.904430,0.006390
1230.000000,3.43221211,3.45915364,26.941521,0.006442
1240.000000,3.43182969,3.45879114,26.961449,0.006494
1250.000000,3.43143845,3.45842865,26.990200,0.006546
1260.000000,3.43105054,3.45806615,27.015616,0.006597
1270.000000,3.43068647,3.45771019,27.023714,0.006649
1280.000000,3.43030930,3.45736100,27.051708,0.006701
1290.000000,3.42994714,3.45701182,27.064683,0.006753
1300.000000,3.42956781,3.45666264,27.094827,0.006805
1310.000000,3.42923689,3.45631346,27.076573,0.006857
1320.000000,3.42885017,3.45596589,27.115718,0.006909
1330.000000,3.42851019,3.45562953,27.119339,0.006961
1340.000000,3.42816639,3.45529317,27.126778,0.007013
1350.000000,3.42783403,3.45495681,27.122774,0.007065
1360.000000,3.42749047,3.45462045,27.129976,0.007117
1370.000000,3.42717218,3.45428409,27.111908,0.007169
1380.000000,3.42684388,3.45395712,27.113239,0.007221
1390.000000,3.42651677,3.45363311,27.116336,0.007273
1400.000000,3.42623067,3.45330909,27.078426,0.007325
1410.000000,3.42591739,3.45298508,27.067696,0.007377
1420.000000,3.42559862,3.45266107,27.062451,0.007429
1430.000000,3.42530942,3.45234175,27.032333,0.007481
1440.000000,3.42499423,3.45202964,27.035412,0.007533
1450.000000,3.42470956,3.45171752,27.007964,0.007584
1460.000000,3.42442751,3.45140540,26.977893,0.007636
1470.000000,3.42415190,3.45109328,26.941386,0.007688
1480.000000,3.42387676,3.45078151,26.904745,0.007740
1490.000000,3.42359972,3.45048085,26.881126,0.007792
1500.000000,3.42332816,3.45018018,26.852018,0.007844
1510.000000,3.42307734,3.44987951,26.802168,0.007896
1520.000000,3.42282748,3.44957885,26.751366,0.007948
1530.000000,3.42257905,3.44927818,26.699132,0.008000
1540.000000,3.42233205,3.44898495,26.652901,0.008052
