dataset,cell,window,run_id,run_short,protocol,parameter_match_grade,parameter,delta,time_s,residual_mV,response_mV_per_unit,abs_current_A,progress_fraction,valid,response_rms_mV,cosine_alignment,projection_fraction
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7372.024851797491,291.0932978616798,2.6957160980778383,1.0002334117889404,0.6883173879485336,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7377.056129959685,291.65127411062787,2.7036003574876233,1.0002334117889404,0.6887871525399809,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7382.118514774593,228.45753183507344,-1.3495045563682861,0.5000878572463989,0.6892598215234201,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7388.196606767746,226.16057349291464,-1.3396297886503206,0.5002684593200684,0.6898273259049901,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7393.243462443985,247.72984378546204,5.13736941876175e-05,1.9243103452026844e-05,0.6902985449508097,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7398.305909443636,247.33469987293554,5.1302451176127306e-05,1.9243103452026844e-05,0.690771219740366,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7404.368364209149,247.02312044160468,5.122719248795704e-05,1.9243103452026844e-05,0.6913372640921749,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7409.430924390446,269.06579652939257,1.3307935441342345,0.4997650980949402,0.6918099494493699,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7414.492671277887,268.92806295146033,1.333813838901854,0.499945729970932,0.6922825588702632,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7420.524501615695,269.39466109746223,1.3366939498649089,0.500126302242279,0.6928457438548685,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7425.587019576928,269.18052620032194,1.3378609975012168,0.499945729970932,0.6933184252700252,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7430.602455270749,269.2130584555645,1.339240297110189,0.499945729970932,0.6937867106686227,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7435.649418875568,269.3041752946641,1.3404171968012246,0.499945729970932,0.6942579397916083,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7441.72708640245,435.72208487717035,10.650988118845461,3.9999728202819824,0.6948254045412562,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7446.789940013936,443.9792530187923,10.869256869772137,3.9997923374176025,0.6952981172956868,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7451.836931082096,366.81423829798376,6.973242660975876,2.4994709491729736,0.6957693489828926,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7457.914882229757,367.7465381522671,7.022367545050923,2.4998321533203125,0.6963368402138826,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7462.977339364632,368.47672953511255,7.058168968945289,2.4998321533203125,0.6968095159497532,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7468.008546966237,368.8220614326751,7.089534382639373,2.4998321533203125,0.6972792739530403,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7474.071038297745,210.92368999930233,-2.8277108010921204,1.000014305114746,0.6978453217189735,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7479.133467292591,206.9208463067742,-2.7761696901906774,0.9998337030410767,0.6983179948274423,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7484.19553651716,295.17544424900245,2.7574411031183743,1.0002334117889404,0.6987906343445784,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7490.273517915095,295.3724939797446,2.7573170821015847,1.000052809715271,0.6993581284000016,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7495.320874693312,295.4722960373259,2.7571586550079186,1.0002334117889404,0.6998293942331301,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7500.383322931044,295.38516591196196,2.756822327292241,1.0004140138626099,0.7003020691382846,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7506.477047024073,295.47055754791705,2.7553191126650223,1.0002334117889404,0.7008710330708424,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7511.523862009057,295.4958671426211,2.7540548575111234,1.000052809715271,0.7013422483173668,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7516.586375108192,157.26370164928883,-5.42605776620575,2.0004091262817383,0.7018149292785553,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7521.633167917993,242.73767636983789,5.193164454020405e-05,1.9243103452026844e-05,0.7022861424546085,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7527.664435630722,244.73133197961604,5.176135631224099e-05,1.9243103452026844e-05,0.7028492749075643,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7532.742474485101,245.66301168519144,0.0005362334609682051,0.00019985238031949848,0.7033234054904659,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7537.804939008358,245.750116449023,5.1520863131315764e-05,1.9243103452026844e-05,0.7037960819161809,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7543.883024344945,245.8954130907216,5.14083553504463e-05,1.9243103452026844e-05,0.7043635856762351,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7548.94547782572,246.16156029591085,5.132985259059808e-05,1.9243103452026844e-05,0.7048362610709266,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7553.992319236462,246.04334051267162,5.126327806692643e-05,1.9243103452026844e-05,0.7053074787847932,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7559.382930164429,245.90338854469795,5.120311841189107e-05,1.9243103452026844e-05,0.7058107938587352,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7564.462766669658,245.84797900860966,5.1155217839493616e-05,1.9243103452026844e-05,0.7062850922862063,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7569.493989464074,245.91008206304198,5.1114912302807625e-05,1.9243103452026844e-05,0.7067548517080284,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7575.556236993889,246.005205272811,5.107426037653795e-05,1.9243103452026844e-05,0.7073208767104812,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7580.603302657673,267.62273042399534,1.3274621288994481,0.4997650980949402,0.7077921153625936,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7585.650230092484,267.89909494787923,1.3310170947689048,0.499945729970932,0.7082633411084276,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7591.71265105889,268.13596685492945,1.3339801321943234,0.499945729970932,0.708829382304453,True,2.99862487135529,0.6303439293527081,0.39733346927181185
