parameter,group,cos_20R_DST50,proj_20R_DST50,rms_20R_DST50,cos_20R_DST80,proj_20R_DST80,rms_20R_DST80,cos_A123_007,proj_A123_007,rms_A123_007,cos_A123_008,proj_A123_008,rms_A123_008,cos_CS2_33_0p5C,proj_CS2_33_0p5C,rms_CS2_33_0p5C,cos_Chen2020_C2,proj_Chen2020_C2,rms_Chen2020_C2,cos_Chen2020_1p5C,proj_Chen2020_1p5C,rms_Chen2020_1p5C
Dsn,solid_transport,0.8182040242924821,0.6694578253684127,0.6046781180263681,0.5366063771715397,0.28794640402116467,0.5202282157022852,0.23738323465858757,0.056350800096974074,6.047272610783346,0.24743064640028295,0.061221924778061834,5.972094013932814,0.7780994948448383,0.6054388238777926,0.06012961074144867,0.9337584176505584,0.8719047825332747,23.01178338088808,0.07458078944960554,0.0055622941549263935,93.54141433116553
Dsp,solid_transport,0.8415402554630604,0.7081900015648331,8.313730880180012,0.9539547895593792,0.9100297405232793,11.202596274457383,0.07974965226226587,0.006360007035952329,2.0316248526819853,0.0937246504187272,0.008784310096112621,2.0497852325853536,0.7157670896626311,0.5123225266441132,1.445311405696585,0.6795495040781314,0.4617875284928343,39.38772576553885,0.5956205988816209,0.35476389781210066,102.33383040280796
j0n,kinetics,0.7666820759718078,0.5878014056164409,17.632183015873007,0.6798291901842262,0.46216772782654053,17.766301006412395,0.7839336643923382,0.6145519901675992,22.15527006261198,0.8755068901758944,0.7665123147454657,22.220701393608625,0.8595952603525343,0.7389040116205413,1.7125674860093598,0.7924119561537853,0.6279167082554687,39.59834524781916,0.7573230305422208,0.5735381725896537,49.65602287507186
j0p,kinetics,0.7352599494928623,0.5406071933282465,3.0396991458994065,0.6303439293527081,0.39733346927181185,2.99862487135529,0.717015947240942,0.5141118685978255,0.5611568946058274,0.8267089749212957,0.6834477292154193,0.5623626031033646,0.8915230720949741,0.7948133880776603,2.0210118191238498,0.821986330226343,0.6756615270789709,8.004887586370474,0.6597404583236739,0.4352574723491312,30.943058777980863
De,electrolyte_transport,0.7364778439725552,0.5423996146624633,3.8098888172888374,0.8010540412353204,0.6416875769794383,3.769661687471358,0.4246339006960789,0.18031394962036743,0.6989961284056466,0.40435358950893024,0.16350182534875649,0.6947748319697578,0.8848012674537791,0.7828732828878139,5.293952535705364,0.756673053516343,0.5725541099177464,14.858225569419306,0.6464002260033683,0.4178332521772056,91.50940138319415
kappa_e,electrolyte_transport,0.7327855252791474,0.536974626058636,4.534213355034979,0.6316226635787975,0.3989471891463747,4.609162808803049,0.8146098012857638,0.6635891283508316,0.7342740423223993,0.9229174923724615,0.8517766977270724,0.7298148588781758,0.8815791829930533,0.7771818558866992,8.552866292979582,0.7546822052886856,0.5695452309793939,10.569756031895654,0.7571637722036308,0.5732969779376318,31.709076994253834
Rn,microstructure,-0.7913402592398423,0.6262194058937807,17.839732144534356,-0.6929667953393363,0.4802029794428694,17.71863566476582,-0.7284004174566479,0.5305671681510189,27.14929820144494,-0.8093708243062312,0.655081131238148,27.074290018780488,-0.8555356779332534,0.7319412962167113,1.7569245306632888,-0.9761437671634196,0.9528566541719921,73.99249215015033,-0.35911678540195535,0.12896486555743403,179.51835310584573
Rp,microstructure,-0.8835971024128444,0.7807438393923747,17.658479889035366,-0.9657126866511359,0.932600993158955,23.138941274687525,-0.16780235154835968,0.02815762918515929,4.124090047840512,-0.19500447623984066,0.03802674575357458,4.154485857563751,-0.8065720509109804,0.6505584733107455,4.607327906729853,-0.6983930968396814,0.4877529177133207,82.65973270390958,-0.6431282035783622,0.4136138862379312,226.27890346531413
brug_e,electrolyte_transport,-0.8919679167880993,0.7956067645793018,12.512629032714106,-0.8649380725566826,0.7481178693580691,12.473825254572537,-0.7691185342641821,0.5915433197486839,1.4791297091484563,-0.827889768633479,0.6854014690079955,1.4660413150454576,-0.8843197573516891,0.7820214332425501,49.8246276099484,-0.7577720278084952,0.5742184461289989,46.39545012819855,-0.7141168994663956,0.5099629461034982,245.53166865697204
