Stoichiometry,Voltage [V],Diffusivity [m2.s-1],Diffusion time [s],Lumped resistance [Ohm],RMSE [V]
0.27075,4.2042,1.0133e-16,34881,48.124,0.00085725
0.28174,4.1942,7.6783e-17,46031,43.415,0.00053161
0.29268,4.1887,7.4606e-17,47374,38.9,0.00045995
0.30361,4.1853,8.0276e-17,44028,35.095,0.00057187
0.31436,4.1829,1.0451e-16,33819,30.921,0.00041294
0.32559,4.1809,2.041e-16,17317,29.503,0.00042084
0.33662,4.1789,3.6488e-16,9686.6,27.482,0.00040348
0.34736,4.1758,7.3417e-16,4814.1,25.437,0.00061338
0.35835,4.168,1.0863e-15,3253.7,23.457,0.0004427
0.36929,4.1536,1.278e-15,2765.5,22.277,0.00064431
0.38022,4.1355,1.2452e-15,2838.5,20.259,0.00066317
0.39116,4.1145,1.2307e-15,2871.9,19.549,0.00047119
0.40211,4.0923,1.0824e-15,3265.3,18.718,0.00033082
0.41309,4.0707,9.4987e-16,3720.9,18.621,0.00029265
0.42402,4.0519,8.4646e-16,4175.5,19.22,0.00054577
0.43494,4.0358,7.2902e-16,4848.2,19.562,0.0004973
0.44584,4.0222,6.6372e-16,5325.2,19.979,0.00052412
0.45682,4.0103,6.5264e-16,5415.5,20.393,0.00045402
0.46772,3.9994,6.4681e-16,5464.4,20.588,0.00052326
0.47868,3.9889,6.9415e-16,5091.7,20.434,0.00055829
0.48965,3.978,7.1714e-16,4928.5,19.737,0.00056694
0.50056,3.9662,7.6723e-16,4606.7,19.961,0.00059888
0.51152,3.9536,7.9507e-16,4445.4,19.565,0.00057101
0.52246,3.9398,7.6062e-16,4646.8,19.538,0.00059615
0.53342,3.9251,7.574e-16,4666.5,19.091,0.00061216
0.54434,3.9097,7.2032e-16,4906.7,19.02,0.00040648
0.55531,3.8938,7.4616e-16,4736.8,19.343,0.00064863
0.56621,3.8776,6.8511e-16,5158.9,19.1,0.00045009
0.5772,3.8616,6.7969e-16,5200,19.42,0.0003968
0.58818,3.8463,6.5272e-16,5414.8,20.016,0.00036346
0.59905,3.8322,5.5427e-16,6376.6,20.149,0.00031625
0.61006,3.8194,5.2736e-16,6702,20.811,0.00034268
0.6209,3.808,4.7519e-16,7437.8,21.184,0.00035051
0.63193,3.7973,4.5117e-16,7833.9,21.817,0.00032911
0.64282,3.7876,4.162e-16,8492,22.25,0.00040117
0.65391,3.7785,4.2843e-16,8249.6,22.905,0.00038721
0.66475,3.77,4.183e-16,8449.4,23.391,0.00042975
0.67573,3.7615,4.0172e-16,8798.1,23.565,0.00042896
0.68667,3.7532,4.1897e-16,8435.9,24.306,0.0006013
0.69756,3.7449,3.9696e-16,8903.7,25.087,0.00060813
0.7085,3.7365,3.8916e-16,9082.2,25.612,0.00036174
0.71948,3.7281,4.0579e-16,8709.9,26.73,0.00049848
0.73037,3.7196,3.8729e-16,9125.9,27.851,0.00061921
0.74141,3.711,3.5562e-16,9938.7,28.298,0.0003694
0.75234,3.7026,3.6603e-16,9655.9,30.243,0.00066024
0.76318,3.6941,3.2476e-16,10883,31.308,0.00062024
0.77412,3.6857,3.133e-16,11281,32.753,0.00063524
0.78516,3.6776,3.2165e-16,10988,35.851,0.00054707
0.79609,3.6693,3.2953e-16,10725,38.019,0.00040336
0.80703,3.6608,3.1041e-16,11386,41.636,0.00069954
0.81797,3.6523,3.0617e-16,11544,45.509,0.00052854
0.82891,3.6436,2.7617e-16,12798,52.087,0.0007127
0.83984,3.6345,2.173e-16,16265,60.693,0.00080347
0.85078,3.6253,1.5895e-16,22235,75.428,0.001212
0.86172,3.6156,9.9963e-17,35357,100.02,0.0021152
0.87266,3.6055,5.2269e-17,67620,139.81,0.0047579
0.88359,3.5952,2.0443e-17,1.7289e+05,258.94,0.015179
0.89463,3.5849,1.2341e-17,2.8639e+05,430.26,0.027307
