Time [s],Current [mA],Discharge capacity [A.h],Voltage [V],Absolute error [V]
0,0,0,4.1908,2.4298e-05
0.0213,6.8756,2.034e-08,3.9542,0.088228
0.0253,6.8762,2.798e-08,3.9538,0.082475
0.0313,6.8765,3.9441e-08,3.9537,0.075842
0.0373,6.8765,5.0901e-08,3.9536,0.070452
0.0453,6.8763,6.6182e-08,3.9536,0.064277
0.0533,6.8766,8.1463e-08,3.9535,0.058741
0.0613,6.8765,9.6744e-08,3.9535,0.053663
0.0713,6.8765,1.1585e-07,3.9535,0.048044
0.0813,6.8767,1.3495e-07,3.9534,0.042784
0.0933,6.8765,1.5787e-07,3.9534,0.037203
0.1053,6.8768,1.8079e-07,3.9533,0.03207
0.1193,6.8767,2.0753e-07,3.9532,0.026772
0.1353,6.8767,2.381e-07,3.9532,0.021799
0.1553,6.8767,2.763e-07,3.9531,0.016251
0.1793,6.8769,3.2215e-07,3.953,0.010834
0.2093,6.8767,3.7945e-07,3.9529,0.0056261
0.2473,6.8768,4.5204e-07,3.9527,0.00072057
0.3053,6.8769,5.6283e-07,3.9525,0.0041979
0.4093,6.8769,7.615e-07,3.9522,0.00903
0.7033,6.877,1.3231e-06,3.9514,0.013234
2.4493,6.8769,4.6584e-06,3.9474,0.014249
9.0713,6.8769,1.7308e-05,3.9362,0.0080188
19.379,6.8769,3.6999e-05,3.928,0.0048685
31.539,6.8769,6.0228e-05,3.9245,0.006363
46.425,6.8769,8.8664e-05,3.9213,0.0081851
67.515,6.8769,0.00012895,3.9189,0.010745
110.92,6.8769,0.00021186,3.917,0.013885
170.92,6.8769,0.00032647,3.9127,0.012623
230.92,6.8769,0.00044109,3.9071,0.0097758
290.92,6.8769,0.0005557,3.8999,0.0069371
339.06,6.8769,0.00064766,3.8927,0.0047807
377.21,6.8769,0.00072053,3.8862,0.0032113
409.25,6.8769,0.00078175,3.8799,0.0019738
438.09,6.8769,0.00083684,3.8737,0.00073784
464.13,6.8769,0.00088658,3.8675,0.00041385
487.32,6.8769,0.00093088,3.8617,0.001265
509.55,6.8769,0.00097335,3.8557,0.0021695
531.06,6.8769,0.0010144,3.8497,0.0032366
551.64,6.8769,0.0010537,3.8436,0.0043411
571.76,6.8769,0.0010922,3.8374,0.0055548
591.55,6.8769,0.00113,3.8311,0.0068505
611.43,6.877,0.001168,3.8246,0.0082856
631.25,6.877,0.0012058,3.8182,0.0097444
651.11,6.8769,0.0012438,3.8117,0.011206
671.67,6.8769,0.001283,3.8051,0.012793
692.01,6.8769,0.0013219,3.7987,0.014194
713.17,6.8769,0.0013623,3.7922,0.015682
734.81,6.8769,0.0014036,3.7859,0.017024
757.16,6.8769,0.0014463,3.7796,0.018276
780.06,6.8769,0.0014901,3.7736,0.019355
803.43,6.8769,0.0015347,3.7677,0.020184
827.45,6.8769,0.0015806,3.7621,0.020778
852.14,6.8769,0.0016278,3.7567,0.021202
876.88,6.8769,0.001675,3.7515,0.021328
902.46,6.8769,0.0017239,3.7465,0.021348
927.66,6.8769,0.001772,3.7416,0.021178
952.99,6.8769,0.0018204,3.7369,0.020917
978.03,6.8769,0.0018683,3.7323,0.020521
1003,6.8769,0.0019159,3.7277,0.020037
1027.2,6.8769,0.0019623,3.7233,0.019495
1051.2,6.8769,0.0020081,3.7188,0.018988
1074.4,6.8769,0.0020523,3.7144,0.018399
1097.4,6.8769,0.0020962,3.7099,0.017875
1119.6,6.8769,0.0021387,3.7055,0.01725
1141.7,6.8769,0.002181,3.701,0.016779
1162.7,6.8769,0.0022211,3.6965,0.016199
1183.6,6.8769,0.0022609,3.692,0.015728
1203.9,6.8769,0.0022997,3.6875,0.015286
1224.1,6.8769,0.0023384,3.6828,0.01496
1243.8,6.8769,0.0023759,3.6781,0.014613
1263,6.8769,0.0024127,3.6735,0.014251
1281.9,6.877,0.0024487,3.6689,0.013877
1300.7,6.8769,0.0024847,3.6641,0.013603
1319.2,6.8769,0.0025199,3.6594,0.01332
1337.6,6.8769,0.0025552,3.6546,0.013124
1355.7,6.8769,0.0025897,3.6498,0.012895
1373.5,6.8769,0.0026238,3.6451,0.012646
1391.5,6.8769,0.0026581,3.6403,0.012466
1409.3,6.877,0.002692,3.6355,0.01226
1426.9,6.8769,0.0027258,3.6307,0.01206
1444.6,6.8769,0.0027596,3.6259,0.011836
1462.3,6.8769,0.0027933,3.621,0.011688
1480.1,6.8769,0.0028273,3.6161,0.011576
1497.9,6.8769,0.0028613,3.6112,0.011456
1515.9,6.8769,0.0028957,3.6062,0.011429
1533.9,6.8769,0.0029301,3.6013,0.011357
1552,6.8769,0.0029647,3.5964,0.011265
1570.5,6.8769,0.0030001,3.5914,0.011198
1589.4,6.8769,0.0030361,3.5864,0.011221
1608.6,6.8769,0.0030728,3.5813,0.011332
1627.9,6.8769,0.0031097,3.5762,0.011394
1647.4,6.8769,0.003147,3.5712,0.011393
1667.8,6.8769,0.0031859,3.5662,0.01143
1688,6.8769,0.0032246,3.5614,0.011245
1708.8,6.8769,0.0032642,3.5565,0.011068
1729.8,6.8769,0.0033043,3.5518,0.010809
1751.2,6.8769,0.0033452,3.5471,0.010475
1773.3,6.8769,0.0033874,3.5425,0.01008
1795.3,6.8769,0.0034295,3.5381,0.0095063
1818,6.8769,0.0034728,3.5337,0.008909
1840.9,6.8769,0.0035166,3.5294,0.0082205
1864.3,6.8769,0.0035613,3.5251,0.0075082
1888,6.8769,0.0036065,3.5209,0.0067082
1911.7,6.8769,0.0036517,3.5168,0.0058006
1935.8,6.8769,0.0036979,3.5127,0.0048608
1960.1,6.8769,0.0037443,3.5087,0.0039134
1984.3,6.8769,0.0037906,3.5046,0.0029454
2008.1,6.8769,0.003836,3.5007,0.0018363
2032.1,6.8769,0.0038819,3.4969,0.00069694
2055.6,6.8769,0.0039267,3.4931,0.00055059
2079.6,6.8769,0.0039725,3.4893,0.0017186
2103,6.8769,0.0040172,3.4855,0.0029683
2126.7,6.877,0.0040626,3.4817,0.0041477
2149.6,6.8769,0.0041062,3.478,0.0054173
2172.2,6.8769,0.0041495,3.4743,0.0067254
2195.1,6.8769,0.0041932,3.4706,0.0080614
2217.4,6.8769,0.0042358,3.4669,0.0094153
2238.9,6.8769,0.0042769,3.4634,0.010868
2260,6.8769,0.0043171,3.4599,0.012363
2280.2,6.8769,0.0043556,3.4565,0.01396
2301,6.8769,0.0043954,3.4529,0.015386
2320.8,6.8769,0.0044333,3.4495,0.01693
2340.7,6.8769,0.0044712,3.446,0.018457
2358.4,6.8769,0.004505,3.4429,0.020365
2377.4,6.8769,0.0045415,3.4395,0.022012
2395.9,6.877,0.0045767,3.4363,0.023765
2413.8,6.877,0.004611,3.4331,0.02559
2431.4,6.877,0.0046446,3.43,0.027463
2448.7,6.877,0.0046776,3.4269,0.029383
2465.3,6.877,0.0047094,3.4239,0.031414
2481.4,6.877,0.0047402,3.4211,0.033524
2497.6,6.877,0.0047709,3.4181,0.035619
2513.1,6.877,0.0048006,3.4153,0.037798
2528.2,6.877,0.0048295,3.4126,0.040047
2542.7,6.877,0.0048571,3.4099,0.042421
2556.8,6.877,0.004884,3.4074,0.044848
2570.4,6.877,0.0049101,3.4049,0.047357
2583.9,6.877,0.0049359,3.4024,0.049871
2596.7,6.877,0.0049603,3.4,0.052464
2609,6.877,0.0049839,3.3976,0.055083
2620.8,6.877,0.0050064,3.3953,0.057752
2632.3,6.877,0.0050284,3.393,0.060507
2643.4,6.877,0.0050496,3.3907,0.063297
2654.2,6.877,0.0050701,3.3884,0.066037
2664.2,6.877,0.0050892,3.3862,0.068868
2673.8,6.877,0.0051076,3.3841,0.071728
2683,6.877,0.0051252,3.382,0.074605
2691.9,6.877,0.0051422,3.3799,0.077502
2700.5,6.877,0.0051586,3.3778,0.080394
2709,6.877,0.0051748,3.3756,0.083255
2716.8,6.877,0.0051898,3.3736,0.086191
2724.2,6.877,0.005204,3.3715,0.089153
2731.5,6.8771,0.0052178,3.3695,0.09214
2738.4,6.877,0.0052311,3.3674,0.09508
2745.1,6.877,0.0052438,3.3654,0.098047
2751.5,6.877,0.0052561,3.3633,0.10099
2757.6,6.877,0.0052677,3.3613,0.10401
2763.6,6.8771,0.0052791,3.3592,0.107
2769.3,6.877,0.0052901,3.3571,0.10992
2774.7,6.877,0.0053005,3.355,0.11284
2780,6.877,0.0053104,3.3528,0.1157
2785.1,6.877,0.0053202,3.3506,0.11852
2789.9,6.877,0.0053294,3.3485,0.12138
2794.5,6.877,0.0053382,3.3464,0.12426
2799,6.877,0.0053468,3.3442,0.12709
2803.3,6.877,0.005355,3.3421,0.12996
2807.5,6.877,0.005363,3.3399,0.13279
2811.4,6.877,0.0053705,3.3378,0.13571
2815.3,6.877,0.0053779,3.3356,0.13854
2819,6.8771,0.0053851,3.3335,0.14137
2822.6,6.877,0.0053919,3.3313,0.14418
