Stoichiometry,Voltage [V]
0.937858,3.62223
0.937304,3.62277
0.93675,3.62331
0.936195,3.62383
0.935641,3.62432
0.935087,3.62479
0.934533,3.62522
0.933979,3.62561
0.933425,3.62597
0.93287,3.62629
0.932316,3.62658
0.931762,3.62684
0.931208,3.62708
0.930654,3.6273
0.930099,3.6275
0.929545,3.62769
0.928991,3.62787
0.928437,3.62806
0.927883,3.62826
0.927329,3.62847
0.926774,3.6287
0.92622,3.62895
0.925666,3.62922
0.925112,3.62951
0.924558,3.62982
0.924003,3.63013
0.923449,3.63046
0.922895,3.63077
0.922341,3.63109
0.921787,3.63138
0.921233,3.63167
0.920678,3.63193
0.920124,3.63219
0.91957,3.63243
0.919016,3.63266
0.918462,3.63287
0.917908,3.63308
0.917353,3.63327
0.916799,3.63346
0.916245,3.63364
0.915691,3.63381
0.915137,3.63398
0.914582,3.63415
0.914028,3.63432
0.913474,3.63449
0.91292,3.63466
0.912366,3.63484
0.911811,3.63503
0.911257,3.63522
0.910703,3.63543
0.910149,3.63564
0.909595,3.63586
0.909041,3.63609
0.908486,3.63633
0.907932,3.63657
0.907378,3.63681
0.906824,3.63707
0.90627,3.63733
0.905715,3.63761
0.905161,3.63791
0.904607,3.63823
0.904053,3.63856
0.903499,3.6389
0.902944,3.63924
0.90239,3.63959
0.901836,3.63993
0.901282,3.64027
0.900728,3.6406
0.900174,3.64092
0.899619,3.64123
0.899065,3.64153
0.898511,3.64182
0.897957,3.64211
0.897403,3.64238
0.896849,3.64266
0.896294,3.64293
0.89574,3.64321
0.895186,3.64349
0.894632,3.64377
0.894078,3.64406
0.893524,3.64435
0.892969,3.64463
0.892415,3.64493
0.891861,3.64522
0.891307,3.64552
0.890753,3.64582
0.890198,3.64612
0.889644,3.64643
0.88909,3.64675
0.888536,3.64708
0.887982,3.64741
0.887428,3.64775
0.886873,3.64809
0.886319,3.64843
0.885765,3.64879
0.885211,3.64914
0.884657,3.6495
0.884103,3.64985
0.883548,3.65021
0.882994,3.65056
0.88244,3.65091
0.881886,3.65125
0.881332,3.65158
0.880777,3.6519
0.880223,3.65221
0.879669,3.65251
0.879115,3.65281
0.878561,3.6531
0.878007,3.6534
0.877452,3.6537
0.876898,3.654
0.876344,3.65431
0.87579,3.65461
0.875236,3.65492
0.874682,3.65522
0.874127,3.65553
0.873573,3.65583
0.873019,3.65613
0.872465,3.65643
0.871911,3.65673
0.871356,3.65703
0.870802,3.65733
0.870248,3.65764
0.869694,3.65794
0.86914,3.65826
0.868585,3.65857
0.868031,3.6589
0.867477,3.65923
0.866923,3.65956
0.866369,3.65991
0.865815,3.66026
0.86526,3.66062
0.864706,3.66098
0.864152,3.66135
0.863598,3.66172
0.863044,3.66209
0.862489,3.66245
0.861935,3.66282
0.861381,3.66319
0.860827,3.66356
0.860273,3.66393
0.859719,3.6643
0.859164,3.66466
0.85861,3.66502
0.858056,3.66536
0.857502,3.66571
0.856948,3.66604
0.856393,3.66637
0.855839,3.6667
0.855285,3.66702
0.854731,3.66735
0.854177,3.66767
0.853623,3.66799
0.853068,3.66832
0.852514,3.66865
0.85196,3.66897
0.851406,3.6693
0.850852,3.66962
0.850297,3.66994
0.849743,3.67026
0.849189,3.67058
0.848635,3.67089
0.848081,3.67121
0.847527,3.67153
0.846972,3.67186
0.846418,3.67219
0.845864,3.67253
0.84531,3.67288
0.844756,3.67324
0.844201,3.6736
0.843647,3.67397
0.843093,3.67435
0.842539,3.67472
0.841985,3.6751
0.841431,3.67548
0.840876,3.67586
0.840322,3.67623
0.839768,3.67659
0.839214,3.67696
0.83866,3.67732
0.838106,3.67768
0.837551,3.67804
0.836997,3.67839
0.836443,3.67874
0.835889,3.67909
0.835335,3.67943
0.83478,3.67977
0.834226,3.68011
0.833672,3.68044
0.833118,3.68078
0.832564,3.68111
0.83201,3.68145
0.831455,3.68179
0.830901,3.68213
0.830347,3.68247
0.829793,3.68281
0.829239,3.68315
0.828685,3.68349
0.82813,3.68384
0.827576,3.68419
0.827022,3.68455
0.826468,3.68491
0.825914,3.68528
0.825359,3.68565
0.824805,3.68601
0.824251,3.68639
0.823697,3.68676
0.823143,3.68713
0.822589,3.6875
0.822034,3.68787
0.82148,3.68824
0.820926,3.6886
0.820372,3.68896
0.819818,3.68931
0.819264,3.68966
0.818709,3.69001
0.818155,3.69035
0.817601,3.6907
0.817047,3.69105
0.816493,3.6914
0.815938,3.69175
0.815384,3.6921
0.81483,3.69245
0.814276,3.69281
0.813722,3.69317
0.813168,3.69352
0.812613,3.69387
0.812059,3.69422
0.811505,3.69456
0.810951,3.69491
0.810397,3.69525
0.809842,3.6956
0.809288,3.69595
0.808734,3.6963
0.80818,3.69665
0.807626,3.697
0.807072,3.69735
0.806517,3.6977
0.805963,3.69805
0.805409,3.6984
0.804855,3.69875
0.804301,3.6991
0.803746,3.69945
0.803192,3.69981
0.802638,3.70017
0.802084,3.70053
0.80153,3.7009
0.800975,3.70127
0.800421,3.70165
0.799867,3.70203
0.799313,3.70241
0.798759,3.70279
0.798205,3.70318
0.79765,3.70356
0.797096,3.70395
0.796542,3.70434
0.795988,3.70472
0.795434,3.7051
0.79488,3.70548
0.794325,3.70586
0.793771,3.70624
0.793217,3.70661
0.792663,3.70699
0.792109,3.70736
0.791554,3.70773
0.791,3.7081
0.790446,3.70846
0.789892,3.70882
0.789338,3.70919
0.788784,3.70955
0.788229,3.70991
0.787675,3.71028
0.787121,3.71065
0.786567,3.71102
0.786013,3.7114
0.785458,3.71178
0.784904,3.71216
0.78435,3.71255
0.783796,3.71293
0.783242,3.71331
0.782688,3.71369
0.782133,3.71407
0.781579,3.71444
0.781025,3.71482
0.780471,3.71519
0.779917,3.71556
0.779362,3.71594
0.778808,3.71631
0.778254,3.71669
0.7777,3.71707
0.777146,3.71745
0.776592,3.71784
0.776037,3.71824
0.775483,3.71863
0.774929,3.71903
0.774375,3.71943
0.773821,3.71982
0.773267,3.72021
0.772712,3.72059
0.772158,3.72098
0.771604,3.72136
0.77105,3.72174
0.770496,3.72211
0.769942,3.72249
0.769387,3.72286
0.768833,3.72324
0.768279,3.7236
0.767725,3.72398
0.767171,3.72435
0.766617,3.72472
0.766062,3.72509
0.765508,3.72546
0.764954,3.72583
0.7644,3.72621
0.763846,3.72659
0.763291,3.72698
0.762737,3.72736
0.762183,3.72775
0.761629,3.72813
0.761075,3.72851
0.760521,3.72889
0.759966,3.72927
0.759412,3.72965
0.758858,3.73003
0.758304,3.73041
0.75775,3.7308
0.757195,3.73119
0.756641,3.73159
0.756087,3.732
0.755533,3.73241
0.754979,3.73283
0.754425,3.73326
0.75387,3.73368
0.753316,3.7341
0.752762,3.73452
0.752208,3.73494
0.751654,3.73534
0.7511,3.73575
0.750545,3.73615
0.749991,3.73654
0.749437,3.73693
0.748883,3.73732
0.748329,3.73771
0.747775,3.7381
0.74722,3.73849
0.746666,3.73888
0.746112,3.73927
0.745558,3.73966
0.745004,3.74005
0.744449,3.74043
0.743895,3.74081
0.743341,3.74119
0.742787,3.74157
0.742233,3.74196
0.741679,3.74234
0.741124,3.74272
0.74057,3.74311
0.740016,3.74349
0.739462,3.74388
0.738908,3.74427
0.738354,3.74466
0.737799,3.74504
0.737245,3.74543
0.736691,3.74581
0.736137,3.74618
0.735583,3.74656
0.735028,3.74693
0.734474,3.74731
0.73392,3.74768
0.733366,3.74806
0.732812,3.74844
0.732258,3.74882
0.731703,3.7492
0.731149,3.74958
0.730595,3.74996
0.730041,3.75034
0.729487,3.75073
0.728932,3.75112
0.728378,3.75152
0.727824,3.75193
0.72727,3.75234
0.726716,3.75275
0.726162,3.75316
0.725607,3.75357
0.725053,3.75399
0.724499,3.75439
0.723945,3.7548
0.723391,3.75521
0.722837,3.75562
0.722282,3.75604
0.721728,3.75645
0.721174,3.75685
0.72062,3.75726
0.720066,3.75767
0.719512,3.75807
0.718957,3.75847
0.718403,3.75886
0.717849,3.75925
0.717295,3.75963
0.716741,3.76002
0.716187,3.7604
0.715632,3.76078
0.715078,3.76116
0.714524,3.76154
0.71397,3.76192
0.713416,3.76231
0.712861,3.7627
0.712307,3.7631
0.711753,3.76349
0.711199,3.76389
0.710645,3.76429
0.710091,3.7647
0.709536,3.7651
0.708982,3.7655
0.708428,3.76591
0.707874,3.76632
0.70732,3.76673
0.706766,3.76714
0.706211,3.76755
0.705657,3.76796
0.705103,3.76837
0.704549,3.76878
0.703995,3.76918
0.703441,3.76958
0.702887,3.76997
0.702332,3.77037
0.701778,3.77076
0.701224,3.77115
0.70067,3.77154
0.700116,3.77193
0.699561,3.77232
0.699007,3.77271
0.698453,3.7731
0.697899,3.7735
0.697345,3.77389
0.696791,3.77429
0.696236,3.7747
0.695682,3.7751
0.695128,3.77551
0.694574,3.77592
0.69402,3.77633
0.693466,3.77673
0.692911,3.77713
0.692357,3.77753
0.691803,3.77793
0.691249,3.77832
0.690695,3.77872
0.690141,3.77911
0.689586,3.77951
0.689032,3.7799
0.688478,3.7803
0.687924,3.78069
0.68737,3.78109
0.686816,3.78149
0.686261,3.78189
0.685707,3.78229
0.685153,3.7827
0.684599,3.78311
0.684045,3.78353
0.68349,3.78395
0.682936,3.78437
0.682382,3.7848
0.681828,3.78523
0.681274,3.78566
0.68072,3.78609
0.680165,3.78652
0.679611,3.78695
0.679057,3.78738
0.678503,3.78782
0.677949,3.78825
0.677395,3.78868
0.676841,3.78911
0.676286,3.78955
0.675732,3.78998
0.675178,3.79041
0.674624,3.79084
0.67407,3.79127
0.673516,3.79169
0.672961,3.79212
0.672407,3.79254
0.671853,3.79297
0.671299,3.7934
0.670745,3.79382
0.67019,3.79425
0.669636,3.79469
0.669082,3.79512
0.668528,3.79555
0.667974,3.79599
0.66742,3.79642
0.666865,3.79687
0.666311,3.79731
0.665757,3.79776
0.665203,3.79821
0.664649,3.79867
0.664095,3.79913
0.66354,3.7996
0.662986,3.80006
0.662432,3.80052
0.661878,3.80098
0.661324,3.80144
0.66077,3.8019
0.660215,3.80236
0.659661,3.80283
0.659107,3.80329
0.658553,3.80374
0.657999,3.8042
0.657444,3.80465
0.65689,3.80511
0.656336,3.80557
0.655782,3.80603
0.655228,3.8065
0.654674,3.80699
0.654119,3.80748
0.653565,3.80797
0.653011,3.80848
0.652457,3.80898
0.651903,3.80949
0.651349,3.81001
0.650794,3.81052
0.65024,3.81103
0.649686,3.81154
0.649132,3.81205
0.648578,3.81256
0.648024,3.81307
0.647469,3.81358
0.646915,3.81408
0.646361,3.81458
0.645807,3.81508
0.645253,3.81559
0.644699,3.81609
0.644144,3.81661
0.64359,3.81712
0.643036,3.81764
0.642482,3.81817
0.641928,3.81869
0.641374,3.81922
0.640819,3.81975
0.640265,3.82028
0.639711,3.82082
0.639157,3.82136
0.638603,3.82189
0.638049,3.82243
0.637494,3.82298
0.63694,3.82353
0.636386,3.82408
0.635832,3.82463
0.635278,3.8252
0.634723,3.82576
0.634169,3.82633
0.633615,3.8269
0.633061,3.82748
0.632507,3.82805
0.631953,3.82863
0.631398,3.82921
0.630844,3.82978
0.63029,3.83036
0.629736,3.83094
0.629182,3.83152
0.628627,3.83211
0.628073,3.8327
0.627519,3.83329
0.626965,3.83389
0.626411,3.83449
0.625857,3.8351
0.625302,3.83571
0.624748,3.83632
0.624194,3.83693
0.62364,3.83754
0.623086,3.83816
0.622532,3.83879
0.621977,3.83941
0.621423,3.84004
0.620869,3.84066
0.620315,3.8413
0.619761,3.84193
0.619206,3.84258
0.618652,3.84322
0.618098,3.84387
0.617544,3.84453
0.61699,3.8452
0.616436,3.84587
0.615881,3.84655
0.615327,3.84723
0.614773,3.84792
0.614219,3.8486
0.613665,3.84929
0.613111,3.84997
0.612556,3.85066
0.612002,3.85134
0.611448,3.85202
0.610894,3.85269
0.61034,3.85336
0.609786,3.85404
0.609231,3.85471
0.608677,3.85539
0.608123,3.85608
0.607569,3.85677
0.607015,3.85747
0.606461,3.85817
0.605906,3.85887
0.605352,3.85957
0.604798,3.86028
0.604244,3.86099
0.60369,3.8617
0.603135,3.86242
0.602581,3.86313
0.602027,3.86385
0.601473,3.86457
0.600919,3.86529
0.600365,3.86602
0.59981,3.86675
0.599256,3.86749
0.598702,3.86823
0.598148,3.86897
0.597594,3.86972
0.59704,3.87047
0.596485,3.87121
0.595931,3.87196
0.595377,3.87271
0.594823,3.87346
0.594269,3.8742
0.593714,3.87495
0.59316,3.8757
0.592606,3.87645
0.592052,3.8772
0.591498,3.87795
0.590944,3.87871
0.590389,3.87947
0.589835,3.88023
0.589281,3.88099
0.588727,3.88175
0.588173,3.88252
0.587619,3.88328
0.587064,3.88404
0.58651,3.8848
0.585956,3.88556
0.585402,3.88633
0.584848,3.88709
0.584293,3.88786
0.583739,3.88864
0.583185,3.88942
0.582631,3.8902
0.582077,3.89098
0.581523,3.89176
0.580968,3.89254
0.580414,3.89332
0.57986,3.8941
0.579306,3.89487
0.578752,3.89565
0.578198,3.89642
0.577643,3.89719
0.577089,3.89795
0.576535,3.89872
0.575981,3.89949
0.575427,3.90026
0.574873,3.90102
0.574318,3.90178
0.573764,3.90254
0.57321,3.9033
0.572656,3.90406
0.572102,3.90482
0.571548,3.90558
0.570993,3.90634
0.570439,3.9071
0.569885,3.90787
0.569331,3.90863
0.568777,3.90939
0.568222,3.91016
0.567668,3.91092
0.567114,3.91168
0.56656,3.91244
0.566006,3.9132
0.565452,3.91396
0.564897,3.91473
0.564343,3.91549
0.563789,3.91626
0.563235,3.91702
0.562681,3.91777
0.562126,3.91853
0.561572,3.91928
0.561018,3.92003
0.560464,3.92079
0.55991,3.92154
0.559356,3.92229
0.558801,3.92304
0.558247,3.92379
0.557693,3.92453
0.557139,3.92528
0.556585,3.92602
0.55603,3.92676
0.555476,3.9275
0.554922,3.92823
0.554368,3.92896
0.553814,3.92968
0.55326,3.9304
0.552705,3.93112
0.552151,3.93184
0.551597,3.93256
0.551043,3.93328
0.550489,3.93399
0.549934,3.9347
0.54938,3.93541
0.548826,3.93612
0.548272,3.93683
0.547718,3.93754
0.547164,3.93825
0.546609,3.93895
0.546055,3.93965
0.545501,3.94036
