Charge capacity [mA.h],Stoichiometry,Voltage [V]
0.70059,0.94047,3.5767
0.81527,0.92872,3.5879
0.92994,0.91698,3.599
1.0446,0.90524,3.61
1.1593,0.8935,3.6208
1.274,0.88176,3.6314
1.3886,0.87002,3.6416
1.5033,0.85828,3.6515
1.618,0.84654,3.6611
1.7327,0.8348,3.6702
1.8473,0.82305,3.6793
1.962,0.81131,3.6882
2.0767,0.79957,3.6973
2.1914,0.78783,3.7064
2.306,0.77609,3.7155
2.4207,0.76435,3.7244
2.5354,0.75261,3.7335
2.6501,0.74086,3.7424
2.7648,0.72912,3.7512
2.8794,0.71738,3.7599
2.9941,0.70564,3.7689
3.1088,0.6939,3.7778
3.2235,0.68216,3.7873
3.3381,0.67042,3.7973
3.4528,0.65867,3.8082
3.5675,0.64693,3.8199
3.6822,0.63519,3.8331
3.7968,0.62345,3.8476
3.9115,0.61171,3.863
4.0262,0.59997,3.8792
4.1409,0.58823,3.8958
4.2556,0.57649,3.912
4.3702,0.56474,3.9277
4.4849,0.553,3.9424
4.5996,0.54126,3.9559
4.7143,0.52952,3.9684
4.8289,0.51778,3.9801
4.9436,0.50604,3.991
5.0583,0.4943,4.0014
5.173,0.48255,4.0117
5.2876,0.47081,4.0228
5.4023,0.45907,4.0341
5.517,0.44733,4.0471
5.6317,0.43559,4.0613
5.7463,0.42385,4.0773
5.861,0.41211,4.0949
5.9757,0.40037,4.1129
6.0904,0.38862,4.1304
6.205,0.37688,4.1462
6.3197,0.36514,4.1607
6.4344,0.3534,4.1719
6.5491,0.34166,4.178
6.6637,0.32992,4.1809
6.7784,0.31818,4.1828
6.8931,0.30644,4.1847
7.0078,0.29469,4.1868
7.1224,0.28295,4.1895
7.2371,0.27121,4.1927
7.3518,0.25947,4.1975
7.4665,0.24773,4.2043
