capacity_Ah,voltage_exp_V,voltage_sim_V,residual_V
0.0,4.0266,4.079752052698463,0.05315205269846324
0.00047224999999999996,4.0153,4.078596544718844,0.0632965447188445
0.00256949,4.0049,4.073464988222969,0.06856498822296864
0.00663895,3.9945,4.063507775935531,0.06900777593553142
0.012236180000000001,3.9841,4.049812394402942,0.06571239440294141
0.01977788,3.9738,4.037932861553138,0.06413286155313758
0.02927788,3.9637,4.026029713685021,0.06232971368502094
0.040847379999999996,3.9535,4.016321277033783,0.06282127703378304
0.05533357999999999,3.9434,4.007842966366793,0.06444296636679292
0.07327808,3.933,4.001082780181289,0.06808278018128888
0.09611148,3.9228,3.9956712893792923,0.07287128937929221
0.12540348,3.9126,3.992038952547582,0.07943895254758226
0.16426448000000002,3.9023,3.989759991259751,0.08745999125975112
0.20593148,3.8943,3.98791921565027,0.09361921565026998
0.24759848,3.8877,3.985272053480953,0.09757205348095299
0.28926547999999996,3.8814,3.9812493932080657,0.09984939320806552
0.33093148,3.8762,3.975790031172785,0.09959003117278531
0.37259848,3.8712,3.9690831594885796,0.09788315948857962
0.41426547999999996,3.8662,3.961416608220238,0.09521660822023792
0.45593248,3.8614,3.9530911345965896,0.0916911345965894
0.49759948,3.8567,3.944377135492955,0.08767713549295486
0.53926548,3.8518,3.9354977292009696,0.08369772920096974
0.58093248,3.8466,3.9266244832258033,0.08002448322580324
0.62259948,3.8413,3.9178828654553306,0.07658286545533066
0.66426648,3.8357,3.909358330045835,0.07365833004583511
0.70593348,3.8296,3.9011041929542087,0.07150419295420862
0.74760048,3.8227,3.893148854726834,0.0704488547268336
0.78926648,3.8157,3.8855021611912752,0.06980216119127514
0.83093348,3.8077,3.878159606226868,0.07045960622686787
0.87260048,3.7992,3.871107248174234,0.071907248174234
0.91426748,3.7905,3.864323777302697,0.07382377730269685
0.95593448,3.7813,3.8577829419114424,0.07648294191144256
0.9976014799999999,3.7714,3.851454638517145,0.080054638517145
1.03926848,3.7618,3.8453056746269363,0.08350567462693625
1.0809384800000001,3.752,3.8392994495849657,0.08729944958496594
1.1225984800000002,3.7429,3.8333980535841516,0.09049805358415153
1.16426848,3.7334,3.827554149353888,0.094154149353888
1.2059384800000001,3.7241,3.821717989384764,0.09761798938476396
1.2475984800000002,3.7153,3.8158301917570627,0.10053019175706268
1.28926848,3.7066,3.8098135741704318,0.10321357417043187
1.3309384800000001,3.698,3.8035766357524476,0.10557663575244769
1.3725984800000002,3.6895,3.7970046041003704,0.10750460410037066
1.41426848,3.6815,3.7899520659409864,0.10845206594098622
1.4559384800000001,3.6732,3.78225785943656,0.1090578594365601
1.4975984800000002,3.6652,3.7737632022414767,0.10856320224147664
1.53926848,3.6571,3.764351887348845,0.10725188734884528
1.5809384800000001,3.649,3.7540297044004314,0.10502970440043136
1.62260848,3.6411,3.7429728359271968,0.10187283592719698
1.66426848,3.6329,3.731524904412105,0.09862490441210525
1.7059384800000001,3.6243,3.7200900459022885,0.09579004590228868
1.74760848,3.6159,3.7090146697735875,0.09311466977358762
1.78926848,3.6072,3.69849355937418,0.09129355937417971
1.8309384800000001,3.5982,3.688564720448364,0.09036472044836419
1.87260848,3.5894,3.6791819107235497,0.0897819107235498
1.91426848,3.5805,3.670267664222325,0.0897676642223253
1.9559384800000001,3.5714,3.6617456499206207,0.09034564992062055
1.99760848,3.5624,3.653567861967513,0.09116786196751336
2.03926848,3.5529,3.6457074735895443,0.09280747358954411
2.08093848,3.5435,3.638147077764212,0.0946470777642121
2.1226084800000002,3.5341,3.630882785939374,0.09678278593937417
2.16426848,3.5245,3.623912445565496,0.09941244556549567
2.20593848,3.5152,3.6172270859180538,0.10202708591805365
2.2476084800000002,3.5059,3.6108191167828267,0.10491911678282673
2.28926848,3.4968,3.6046764627620758,0.10787646276207585
2.33093848,3.4878,3.5987787738562473,0.11097877385624733
2.3726084800000002,3.4788,3.5931071494469258,0.11430714944692566
2.41426848,3.4704,3.58764043639868,0.11724043639867965
2.45593848,3.462,3.582352420140176,0.120352420140176
2.4976084800000002,3.4539,3.5772205199241998,0.12332051992419979
2.53927848,3.4459,3.5722210222322395,0.1263210222322395
2.58093848,3.4383,3.567331917986373,0.12903191798637303
2.6226084800000002,3.4314,3.562528366307532,0.13112836630753177
2.66427848,3.4243,3.5577897217649688,0.13348972176496865
2.70593848,3.4179,3.5530957587818737,0.13519575878187373
2.7476084800000002,3.4108,3.548423085077988,0.13762308507798782
2.78927848,3.4047,3.543751515599321,0.13905151559932083
2.83093848,3.3983,3.5390602622082725,0.14076026220827265
2.8726084800000002,3.3922,3.5343240939815597,0.14212409398155978
2.91427848,3.3863,3.5295195655619915,0.14321956556199167
2.95593848,3.3806,3.5246212509334813,0.1440212509334815
2.9976084800000002,3.375,3.519597741809301,0.14459774180930118
3.03927848,3.3692,3.514418415702538,0.14521841570253802
3.08093848,3.3637,3.509050037943948,0.14535003794394807
3.1226084800000002,3.3581,3.50345306767439,0.14535306767439016
3.16427848,3.3526,3.497590169601396,0.144990169601396
3.20593848,3.3469,3.4914241584726473,0.1445241584726471
3.2476084800000002,3.3416,3.4849155891030508,0.14331558910305064
3.28927848,3.3358,3.478034773731685,0.14223477373168514
3.33093848,3.33,3.470761755095613,0.14076175509561306
3.3726084800000002,3.3242,3.463085174696829,0.13888517469682915
3.41427848,3.3184,3.4550170743585715,0.1366170743585715
3.45594848,3.3126,3.4465894437236995,0.13398944372369925
3.4976084800000002,3.3065,3.4378594283415755,0.13135942834157532
3.53927848,3.2999,3.428899425258561,0.12899942525856112
3.58094848,3.2935,3.419804925362284,0.12630492536228433
3.6226084800000002,3.2871,3.410680740654989,0.12358074065498892
3.66427848,3.2801,3.4016247558789305,0.12152475587893052
3.70594848,3.2732,3.392731371500418,0.11953137150041782
3.7476084800000002,3.2659,3.3840764090948503,0.1181764090948505
3.78927848,3.2583,3.375705142744253,0.11740514274425262
3.83094848,3.2505,3.367641725356577,0.11714172535657674
