baseline,model,direction,bin_lo,bin_hi,n,mean_resid_mV,sd_resid_mV
D0A,DFN,discharge,0.9,1.0,1925,54.87932214790275,178.90339759390486
D0A,DFN,discharge,0.0,0.1,1925,1.1464561924208234,9.512894852986504
D0A,DFN,discharge,0.1,0.2,1926,-5.372481568966233,0.30505686503689017
D0A,DFN,discharge,0.2,0.3,1926,-6.415082032802158,0.2932895468409514
D0A,DFN,discharge,0.3,0.4,1926,-7.397560579135965,0.27671179733570833
D0A,DFN,discharge,0.4,0.5,1926,-8.356778050922818,0.26377291089110144
D0A,DFN,discharge,0.5,0.6,1926,-9.118710876227848,0.18214813211877126
D0A,DFN,discharge,0.6,0.7,1926,-9.626801832496083,0.1113138538496705
D0A,DFN,discharge,0.7,0.8,1926,-9.897411798325203,0.051365569875035634
D0A,DFN,discharge,0.8,0.9,1926,-10.55644661174642,0.5712084068136039
D0A,DFN,discharge,0.9,1.0,1927,52.01433542915081,178.09493164620994
D0A,DFN,discharge,0.0,0.1,1926,1.1519447197598889,9.909437643346807
D0A,DFN,discharge,0.1,0.2,1926,-5.736313071601678,0.3068191992787474
D0A,DFN,discharge,0.2,0.3,1926,-6.735539377220162,0.3023903598986297
D0A,DFN,discharge,0.3,0.4,1926,-7.774233673107391,0.33234144932746623
D0A,DFN,discharge,0.4,0.5,1926,-8.707344522988945,0.22665394563192176
D0A,DFN,discharge,0.5,0.6,1927,-9.433050155916316,0.17587533625612015
D0A,DFN,discharge,0.6,0.7,1926,-9.791208689927604,0.08633267522406274
D0A,DFN,discharge,0.7,0.8,1926,-9.967684176244001,0.029325966511798505
D0A,DFN,discharge,0.8,0.9,1926,-10.59428027831877,0.5616086323332743
D0A,DFN,discharge,0.9,1.0,1926,50.8098967114014,176.9704302246107
D0A,SPMe,charge,0.0,0.1,1915,-127.08385708996413,42.336908379531884
D0A,SPMe,charge,0.1,0.2,1916,-62.69547291804841,4.056376315406348
D0A,SPMe,charge,0.2,0.3,1916,-57.108182311496726,0.6251572529559273
D0A,SPMe,charge,0.3,0.4,1916,-55.09419715114578,0.5367780617388926
D0A,SPMe,charge,0.4,0.5,1916,-53.619803603614024,0.36444799900637515
D0A,SPMe,charge,0.5,0.6,1916,-52.489073423635716,0.29197515552868825
D0A,SPMe,charge,0.6,0.7,1916,-51.771901383024044,0.16436755092685365
D0A,SPMe,charge,0.7,0.8,1916,-51.43828701759887,0.05943858613757964
D0A,SPMe,charge,0.8,0.9,1916,-52.64542965743423,0.9092285383571816
D0A,SPMe,charge,0.9,1.0,1917,-74.0206206995055,30.51006319871001
D0A,SPMe,charge,0.0,0.1,1915,-104.85001234816312,30.363545244236132
D0A,SPMe,charge,0.1,0.2,1915,-54.7183433666071,3.670141811991107
D0A,SPMe,charge,0.2,0.3,1916,-49.34724003623651,0.5214067898404382
D0A,SPMe,charge,0.3,0.4,1915,-48.090158300198674,0.2577694986819614
D0A,SPMe,charge,0.4,0.5,1916,-47.303903872264186,0.2311836408855597
D0A,SPMe,charge,0.5,0.6,1915,-46.51373876028658,0.1762073586921179
D0A,SPMe,charge,0.6,0.7,1915,-46.07673315590212,0.14855347138369976
D0A,SPMe,charge,0.7,0.8,1916,-45.66552536191054,0.14945710663348014
D0A,SPMe,charge,0.8,0.9,1915,-45.62513633718456,0.1781382621064363
D0A,SPMe,charge,0.9,1.0,1915,-57.87478402899701,25.4782759516957
D0A,SPMe,charge,0.0,0.1,1929,-184.1880882496935,83.14004951256727
D0A,SPMe,charge,0.1,0.2,1929,-60.5393799103964,8.058415110781544
D0A,SPMe,charge,0.2,0.3,1929,-49.475023304291355,0.9397580612333766
D0A,SPMe,charge,0.3,0.4,1930,-47.54678676435749,0.267838571395148
D0A,SPMe,charge,0.4,0.5,1929,-46.81181542482509,0.23039135301023864
D0A,SPMe,charge,0.5,0.6,1929,-45.96766966995206,0.23923810647898236
D0A,SPMe,charge,0.6,0.7,1929,-45.18697738172113,0.20233254171793397
D0A,SPMe,charge,0.7,0.8,1930,-44.64877422960191,0.0847014204664677
D0A,SPMe,charge,0.8,0.9,1929,-44.81739745182672,0.19195360850344179
D0A,SPMe,charge,0.9,1.0,1930,-55.04155974264625,24.44313173893986
D0A,SPMe,charge,0.0,0.1,1931,-218.91373750737648,105.85270132908315
D0A,SPMe,charge,0.1,0.2,1932,-63.08407624437169,10.166736281353925
D0A,SPMe,charge,0.2,0.3,1932,-49.39784938669785,0.9932858022352451
D0A,SPMe,charge,0.3,0.4,1932,-47.687621472600156,0.24718875075223992
D0A,SPMe,charge,0.4,0.5,1932,-46.929639538816666,0.17572664951427744
D0A,SPMe,charge,0.5,0.6,1932,-46.30434508297292,0.19569638975620068
D0A,SPMe,charge,0.6,0.7,1932,-45.642866569075416,0.20431055523267191
D0A,SPMe,charge,0.7,0.8,1932,-45.217741635927446,0.04888054211300418
D0A,SPMe,charge,0.8,0.9,1932,-45.4164461042232,0.17893880619932717
D0A,SPMe,charge,0.9,1.0,1931,-55.739156463980805,23.738797958142435
D0A,SPMe,charge,0.0,0.1,1932,-216.89074204494486,105.6439268425331
D0A,SPMe,charge,0.1,0.2,1932,-62.6698344602239,10.33368696463021
D0A,SPMe,charge,0.2,0.3,1932,-49.01693141018084,0.90094209533083
D0A,SPMe,charge,0.3,0.4,1932,-47.447292878152645,0.2369239929214467
D0A,SPMe,charge,0.4,0.5,1933,-46.84228206585532,0.20269862685610218
D0A,SPMe,charge,0.5,0.6,1932,-46.07225914146934,0.19529883481408952
D0A,SPMe,charge,0.6,0.7,1932,-45.39545744414025,0.14165647026213435
D0A,SPMe,charge,0.7,0.8,1932,-45.09658913133545,0.029358827078876285
D0A,SPMe,charge,0.8,0.9,1932,-45.325599654338916,0.2016220691382058
D0A,SPMe,charge,0.9,1.0,1933,-55.397557364782784,23.938403810325998
D0A,SPMe,discharge,0.0,0.1,1908,-0.06965195645850013,5.567297519937957
D0A,SPMe,discharge,0.1,0.2,1909,-4.474747225828093,0.27483299880983497
D0A,SPMe,discharge,0.2,0.3,1909,-5.235887756883661,0.22768390576936792
D0A,SPMe,discharge,0.3,0.4,1909,-6.061535778280928,0.20596745964793228
D0A,SPMe,discharge,0.4,0.5,1909,-6.727678647500116,0.21233382570531759
D0A,SPMe,discharge,0.5,0.6,1909,-7.556161679535708,0.32653967038734033
D0A,SPMe,discharge,0.6,0.7,1909,-8.271064332189292,0.11191548015557001
D0A,SPMe,discharge,0.7,0.8,1909,-8.462046188070207,0.01462918788265436
D0A,SPMe,discharge,0.8,0.9,1909,-8.591537425183382,0.23033619683224552
D0A,SPMe,discharge,0.9,1.0,1908,80.74413293423302,195.56833526252322
D0A,SPMe,discharge,0.0,0.1,1921,1.1064184734516778,8.415362875913798
D0A,SPMe,discharge,0.1,0.2,1922,-4.746660178379213,0.21322726266050354
D0A,SPMe,discharge,0.2,0.3,1922,-5.5950124440170725,0.27942765418915594
D0A,SPMe,discharge,0.3,0.4,1922,-6.506851941539835,0.23423162549997667
D0A,SPMe,discharge,0.4,0.5,1921,-7.361481399147855,0.25374026984148534
D0A,SPMe,discharge,0.5,0.6,1922,-8.31237205067368,0.2520798035523046
D0A,SPMe,discharge,0.6,0.7,1922,-8.910690622820894,0.11543532635877504
D0A,SPMe,discharge,0.7,0.8,1922,-9.137508531093953,0.026971577267430814
D0A,SPMe,discharge,0.8,0.9,1922,-9.510661632981769,0.44389602593428
D0A,SPMe,discharge,0.9,1.0,1922,63.51377176422303,184.4570600858478
D0A,SPMe,discharge,0.0,0.1,1924,0.7737405919574443,9.164884849456417
D0A,SPMe,discharge,0.1,0.2,1925,-5.209302767105501,0.262469413996138
D0A,SPMe,discharge,0.2,0.3,1925,-6.1678393670891305,0.23931264979809194
D0A,SPMe,discharge,0.3,0.4,1925,-7.0013389825028804,0.2699679635230002
D0A,SPMe,discharge,0.4,0.5,1925,-7.941710775901052,0.30434823143994594
D0A,SPMe,discharge,0.5,0.6,1925,-8.809924017653666,0.20213685838079398
D0A,SPMe,discharge,0.6,0.7,1925,-9.385690596994978,0.12462181002698587
D0A,SPMe,discharge,0.7,0.8,1925,-9.550038769464692,0.008886927864726014
D0A,SPMe,discharge,0.8,0.9,1925,-10.024382106611744,0.5243449235796803
D0A,SPMe,discharge,0.9,1.0,1925,54.979539691711416,178.9032834030426
D0A,SPMe,discharge,0.0,0.1,1925,1.2434519653887595,9.514110076939978
D0A,SPMe,discharge,0.1,0.2,1926,-5.272670103509812,0.30504903860397165
D0A,SPMe,discharge,0.2,0.3,1926,-6.315265190699287,0.29328954836001747
D0A,SPMe,discharge,0.3,0.4,1926,-7.2977437272832635,0.27671178605353763
D0A,SPMe,discharge,0.4,0.5,1926,-8.256960938139247,0.26377271385915113
D0A,SPMe,discharge,0.5,0.6,1926,-9.018889799232388,0.1821452176274412
D0A,SPMe,discharge,0.6,0.7,1926,-9.526923547464492,0.11127292601281207
D0A,SPMe,discharge,0.7,0.8,1926,-9.796923497219597,0.05099411612845387
D0A,SPMe,discharge,0.8,0.9,1926,-10.45501671566806,0.5714320049903177
D0A,SPMe,discharge,0.9,1.0,1927,52.11455302826489,178.09482070396666
D0A,SPMe,discharge,0.0,0.1,1926,1.248939111489591,9.910656044953047
D0A,SPMe,discharge,0.1,0.2,1926,-5.636501675565448,0.3068103444684326
D0A,SPMe,discharge,0.2,0.3,1926,-6.635722403443578,0.30239036142433195
D0A,SPMe,discharge,0.3,0.4,1926,-7.674416689714744,0.33234143830765545
D0A,SPMe,discharge,0.4,0.5,1926,-8.607527280644574,0.2266537484909359
D0A,SPMe,discharge,0.5,0.6,1927,-9.333228974344614,0.17587254239229302
D0A,SPMe,discharge,0.6,0.7,1926,-9.691330629969405,0.08629160835383724
D0A,SPMe,discharge,0.7,0.8,1926,-9.86719860219852,0.02898694713738826
D0A,SPMe,discharge,0.8,0.9,1926,-10.492849219184592,0.5618294941094709
D0A,SPMe,discharge,0.9,1.0,1926,50.910116608798944,176.97031989472282
D0A,SPM,charge,0.0,0.1,1915,-127.20587864863887,42.336879353422795
D0A,SPM,charge,0.1,0.2,1916,-62.817484892051745,4.056376230849358
D0A,SPM,charge,0.2,0.3,1916,-57.23019460933466,0.6251572429059977
D0A,SPM,charge,0.3,0.4,1916,-55.216209476073075,0.5367780553902423
D0A,SPM,charge,0.4,0.5,1916,-53.741815950611965,0.36444799261755867
D0A,SPM,charge,0.5,0.6,1916,-52.61108579281089,0.2919751491243984
D0A,SPM,charge,0.6,0.7,1916,-51.89391377441236,0.16436754457921904
D0A,SPM,charge,0.7,0.8,1916,-51.56029943120544,0.05943858823722993
D0A,SPM,charge,0.8,0.9,1916,-52.767442093258964,0.9092285445537054
D0A,SPM,charge,0.9,1.0,1917,-74.142633158204,30.510063205161778
D0A,SPM,charge,0.0,0.1,1915,-104.97202589430906,30.363510494739387
D0A,SPM,charge,0.1,0.2,1915,-54.840353860784035,3.670141686921186
D0A,SPM,charge,0.2,0.3,1916,-49.469250831718355,0.5214067804654557
D0A,SPM,charge,0.3,0.4,1915,-48.212169120792375,0.25776949232397933
D0A,SPM,charge,0.4,0.5,1916,-47.425914714954885,0.23118363449971205
D0A,SPM,charge,0.5,0.6,1915,-46.635749625153615,0.17620735254362585
D0A,SPM,charge,0.6,0.7,1915,-46.198744042971036,0.148553465053064
D0A,SPM,charge,0.7,0.8,1916,-45.7875362711913,0.14945710035034476
D0A,SPM,charge,0.8,0.9,1915,-45.747147268676464,0.17813826802568303
D0A,SPM,charge,0.9,1.0,1915,-57.99679498533279,25.478275962736785
D0A,SPM,charge,0.0,0.1,1929,-184.31013651838737,83.13999740754195
D0A,SPM,charge,0.1,0.2,1929,-60.661390270783926,8.058415154577403
D0A,SPM,charge,0.2,0.3,1929,-49.5970339982749,0.9397580044023265
