SOC,Voltage,branch,time_s,current_A,capacity_Ah
0.0,3.0002844334,lithiation,0.0,4.32643e-05,0.0
6.187672920553283e-05,1.7865175009,lithiation,10.0,4.3275e-05,1.2019347222222223e-07
0.0001237613235546624,1.6207892895,lithiation,20.0,4.32753e-05,2.4040222222222224e-07
0.00018564677591945703,1.5303845406,lithiation,30.0,4.32762e-05,3.6061263888888885e-07
0.0002475330147986114,1.4594348669,lithiation,40.0,4.32764e-05,4.808245833333333e-07
0.0003094193251790711,1.3868896961,lithiation,50.0,4.32763e-05,6.010366666666666e-07
0.00037130484904517123,1.3271144629,lithiation,60.0,4.32753e-05,7.212472222222222e-07
0.0004331898724021334,1.2847762108,lithiation,70.0,4.32756e-05,8.414568055555556e-07
0.000495075324766928,1.2561132908,lithiation,80.0,4.32759e-05,9.616672222222222e-07
0.0005569602051212792,1.2349275351,lithiation,90.0,4.32748e-05,1.0818765277777777e-06
0.0006188455859847685,1.2163484097,lithiation,100.0,4.32766e-05,1.2020868055555556e-06
0.0006807320393678391,1.1971539259,lithiation,110.0,4.32763e-05,1.3222991666666668e-06
0.0007426184212496044,1.1760373116,lithiation,120.0,4.32765e-05,1.442511388888889e-06
0.0008045043741235371,1.1528052092,lithiation,130.0,4.32757e-05,1.562722777777778e-06
0.0008663898979896371,1.1281661987,lithiation,140.0,4.32759e-05,1.6829333333333336e-06
0.0009282754933570426,1.1034879684,lithiation,150.0,4.32758e-05,1.803144027777778e-06
0.000990161732236197,1.0795326233,lithiation,160.0,4.32768e-05,1.9233559722222225e-06
0.001052047041598381,1.0567988157,lithiation,170.0,4.32745e-05,2.0435661111111115e-06
0.001113931206939678,1.0358448029,lithiation,180.0,4.32752e-05,2.163774027777778e-06
0.0011758158012888074,1.016649127,lithiation,190.0,4.32751e-05,2.283982777777778e-06
0.0012377006816431588,0.9992036223,lithiation,200.0,4.32756e-05,2.4041920833333337e-06
0.0012995854904962047,0.9833851457,lithiation,210.0,4.3275e-05,2.5244012500000004e-06
0.0013614705853544722,0.9691544771,lithiation,220.0,4.3276e-05,2.6446109722222225e-06
0.001423356895734932,0.9563981891,lithiation,230.0,4.32767e-05,2.764823055555556e-06
0.0014852429916114756,0.9448472261,lithiation,240.0,4.32757e-05,2.8850347222222228e-06
0.0015471281579710482,0.9341790676,lithiation,250.0,4.32754e-05,3.0052445833333334e-06
0.0016090126808188724,0.924030602,lithiation,260.0,4.32748e-05,3.1254531944444448e-06
0.0016708969176614749,0.9141103625,lithiation,270.0,4.3275e-05,3.2456612500000004e-06
0.0017327815835119099,0.9042776823,lithiation,280.0,4.32754e-05,3.3658701388888892e-06
0.001794666249362345,0.8944998384,lithiation,290.0,4.3275e-05,3.486079027777778e-06
0.0018565505577062525,0.8848212957,lithiation,300.0,4.32749e-05,3.606287222222222e-06
0.0019184355095619094,0.8753169775,lithiation,310.0,4.32759e-05,3.726496666666667e-06
0.0019803216054384526,0.865960896,lithiation,320.0,4.32765e-05,3.846708333333333e-06
0.0020422079158189128,0.8567634821,lithiation,330.0,4.32762e-05,3.966920416666667e-06
0.002104093439685013,0.8477654457,lithiation,340.0,4.32754e-05,4.087130972222223e-06
0.0021659788205485022,0.8389787078,lithiation,350.0,4.3276e-05,4.207341250000001e-06
0.00222786484492374,0.8304305673,lithiation,360.0,4.32763e-05,4.327552777777778e-06
0.002289751012301589,0.8221464157,lithiation,370.0,4.32762e-05,4.447764583333334e-06
0.0023516363931650784,0.8141439557,lithiation,380.0,4.32752e-05,4.5679748611111116e-06
0.0024135217025272617,0.8065068722,lithiation,390.0,4.32761e-05,4.688185e-06
0.002475407369395973,0.7991826534,lithiation,400.0,4.32757e-05,4.808395833333334e-06
0.002537293036264684,0.792222321,lithiation,410.0,4.32761e-05,4.928606666666667e-06
0.002599177988120341,0.7855852246,lithiation,420.0,4.32747e-05,5.0488161111111125e-06
0.0026610624394668597,0.7793580294,lithiation,430.0,4.32754e-05,5.1690245833333345e-06
0.002722948177836876,0.7734829783,lithiation,440.0,4.32765e-05,5.289235555555557e-06
0.002784833773204282,0.7678902149,lithiation,450.0,4.32752e-05,5.409446250000002e-06
0.002846719225569076,0.7626792789,lithiation,460.0,4.32763e-05,5.529656666666667e-06
0.002908605535949536,0.7577255964,lithiation,470.0,4.32764e-05,5.649868750000001e-06
0.002970492060833912,0.7530676126,lithiation,480.0,4.32766e-05,5.770081250000001e-06
0.0030323777992039285,0.748649776,lithiation,490.0,4.32753e-05,5.8902922222222234e-06
0.0030942636805765555,0.7445262671,lithiation,500.0,4.32768e-05,6.0105034722222235e-06
0.003156149061440045,0.7405732274,lithiation,510.0,4.32746e-05,6.130713750000001e-06
0.00321803294077612,0.7368810773,lithiation,520.0,4.32747e-05,6.250921111111113e-06
0.0032799183216396096,0.7334484458,lithiation,530.0,4.32767e-05,6.371131388888891e-06
0.0033418041315109314,0.7301105857,lithiation,540.0,4.32753e-05,6.491342500000001e-06
0.0034036893693718097,0.7269951701,lithiation,550.0,4.32759e-05,6.611552500000001e-06
0.0034655741067235505,0.7239968181,lithiation,560.0,4.32746e-05,6.73176152777778e-06
0.003527458057560931,0.7211719751,lithiation,570.0,4.32748e-05,6.85196902777778e-06
0.0035893423659048387,0.7184879184,lithiation,580.0,4.32751e-05,6.972177222222224e-06
0.003651226102238304,0.7159076929,lithiation,590.0,4.3274e-05,7.092384305555558e-06
0.0037131109110913494,0.713488996,lithiation,600.0,4.32766e-05,7.212593472222224e-06
0.003774996863965282,0.7111386061,lithiation,610.0,4.32756e-05,7.332804861111114e-06
0.003836881100807885,0.708822906,lithiation,620.0,4.32742e-05,7.4530129166666695e-06
0.0038987653376504868,0.7066518068,lithiation,630.0,4.32756e-05,7.573220972222224e-06
0.003960650933017893,0.7047149539,lithiation,640.0,4.32761e-05,7.69343166666667e-06
