cycle,pulse_id,branch,step,SOC_start,SOC_end,I_A,pulse_time_s,relax_time_s,delta_V_pulse_V,delta_V_relax_V,capacity_increment_mAh,t_pulse_start_s,V_pulse_start_V,V_pulse_end_V,n_pulse_samples,n_relax_samples,relax_step,relax_coverage_s,V_relax_end_V,sqrt_t_slope_V_per_sqrt_s,sqrt_t_slope_stderr,sqrt_t_intercept_V,sqrt_t_r2,ir_skip_s,n_fit_samples
1,1,lithiation,4,0.0,0.009629646462066254,4.41545e-05,1799.9799999999996,9000.0,-2.3852299452,0.36327934269999995,0.022077004697222218,23400.02,2.9485411644,0.5633112192,1801,90811,3,8999.970000000001,0.9265905619,-0.015419963318562846,0.00014791300452051453,1.1591248324512808,0.8620619464842832,60.0,1741
1,2,lithiation,4,0.009629646462066254,0.019259358351075163,4.41548e-05,1799.9800000000032,9000.0,-0.49057793619999995,0.2637710572,0.022077154695555594,34200.02,0.9101910591,0.4196131229,1801,90811,3,8999.970000000001,0.6833841801,-0.005827271224196222,9.540997292127146e-06,0.669931514188739,0.9953597993672538,60.0,1741
1,3,lithiation,4,0.019259358351075163,0.028889048431103195,4.41547e-05,1799.9800000000032,9000.0,-0.33152711390000006,0.22281444069999995,0.02207710469611115,45000.02,0.6655469537,0.3340198398,1801,90811,3,8999.970000000001,0.5568342805,-0.006393123799614996,1.95739721352338e-05,0.59061976376362,0.9839598413873032,60.0,1741
1,4,lithiation,4,0.0288890484311032,0.0385187603201121,4.41548e-05,1799.9800000000032,9000.0,-0.26674443490000005,0.18492844700000005,0.022077154695555594,55800.02,0.5403915644,0.2736471295,1801,90811,3,8999.970000000001,0.4585755765,-0.005638670467354024,1.6095313506437205e-05,0.5010558444247806,0.9860287706885805,60.0,1741
1,5,lithiation,4,0.0385187603201121,0.048148472209120975,4.41548e-05,1799.979999999996,9000.0,-0.2114718557,0.15569442510000003,0.022077154695555504,66600.02,0.4415096641,0.2300378084,1801,90811,3,8999.970000000001,0.3857322335,-0.004509325584388359,1.4152770314618224e-05,0.4112914282151755,0.983158420672634,60.0,1741
1,6,lithiation,4,0.048148472209120975,0.05777818409812984,4.41548e-05,1799.979999999996,9000.0,-0.1742257178,0.13493016359999999,0.022077154695555504,77400.02,0.3679288626,0.1937031448,1801,90811,3,8999.970000000001,0.3286333084,-0.003676014129811924,1.2285186600677576e-05,0.3411433313436786,0.9809473903874788,60.0,1741
1,7,lithiation,4,0.05777818409812984,0.06740789598713871,4.41548e-05,1799.979999999996,9000.0,-0.14491724970000003,0.11541590089999998,0.022077154695555504,88200.02,0.3119567335,0.1670394838,1801,90811,3,8999.970000000001,0.2824553847,-0.002946788752547712,1.1742594807359681e-05,0.28401826675780684,0.9731280178590265,60.0,1741
1,8,lithiation,4,0.06740789598713871,0.07703758606716671,4.41547e-05,1799.979999999996,9000.0,-0.11817300320000002,0.09725531940000001,0.02207710469611106,99000.02,0.2652080953,0.1470350921,1801,90811,3,8999.970000000001,0.2442904115,-0.0022589637325818586,1.0840727467952472e-05,0.23619385453470076,0.9614926282972149,60.0,1741
1,9,lithiation,4,0.07703758606716671,0.08666723252923293,4.41545e-05,1799.979999999996,9000.0,-0.0935934186,0.08339113000000001,0.02207700469722217,109800.02,0.2267244756,0.133131057,1801,90811,3,8999.970000000001,0.216522187,-0.0016455939825607937,8.699463886162762e-06,0.1979351040224466,0.9536521928032922,60.0,1741
1,10,lithiation,4,0.08666723252923293,0.09629687899129917,4.41545e-05,1799.979999999996,9000.0,-0.07457396390000001,0.0824963749,0.02207700469722217,120600.02,0.2002979219,0.125723958,1801,90811,3,8999.970000000001,0.2082203329,-0.0011834829144813628,8.388725794258946e-06,0.17084001515341074,0.9196492703551,60.0,1741
1,11,lithiation,4,0.09629687899129917,0.10592652545336549,4.41545e-05,1799.9800000000105,9000.0,-0.06736695019999998,0.0821435675,0.02207700469722235,131400.02,0.1914342344,0.1240672842,1801,90811,3,8999.970000000001,0.2062108517,-0.0009840227805532355,8.533768996116647e-06,0.16105494441107002,0.8843383223794228,60.0,1741
1,12,lithiation,4,0.10592652545336549,0.11555619372441268,4.41546e-05,1799.9800000000105,9000.0,-0.06714900589999999,0.081345968,0.022077054696666792,142200.02,0.1902779043,0.1231288984,1801,90811,3,8999.970000000001,0.2044748664,-0.0009687072259809838,7.877960451297456e-06,0.15983258868305483,0.8968515600905259,60.0,1741
1,13,lithiation,4,0.11555619372441268,0.12518581837749812,4.41544e-05,1799.9800000000105,9000.0,-0.0654968097,0.08012885600000001,0.022076954697777904,153000.02,0.1878303587,0.122333549,1801,90811,3,8999.970000000001,0.202462405,-0.0009555664947331473,7.353901935725985e-06,0.15879986632710685,0.9066229534277237,60.0,1741
1,14,lithiation,4,0.12518581837749812,0.1348154866485453,4.41546e-05,1799.9800000000105,9000.0,-0.0648660138,0.0794884339,0.022077054696666792,163800.02,0.1851441264,0.1202781126,1801,90811,3,8999.970000000001,0.1997665465,-0.0009596659419586071,6.910476247785138e-06,0.1571865277375386,0.9172858049615406,60.0,1741
1,15,lithiation,4,0.1348154866485453,0.1444451549195925,4.41546e-05,1799.9800000000105,9000.0,-0.0653188899,0.0779889002,0.022077054696666792,174600.02,0.1833688617,0.1180499718,1801,90811,3,8999.970000000001,0.196038872,-0.0009480939958849141,6.5777202019601665e-06,0.15466431438938608,0.9227609721392508,60.0,1741
1,16,lithiation,4,0.1444451549195925,0.1540748231906397,4.41546e-05,1799.9800000000105,9000.0,-0.0633990392,0.0750758275,0.022077054696666792,185400.02,0.1791653037,0.1157662645,1801,90811,3,8999.970000000001,0.190842092,-0.0009258525647538909,6.1470762696186265e-06,0.151693952232268,0.9288007110347418,60.0,1741
1,17,lithiation,4,0.1540748231906397,0.163704469652706,4.41545e-05,1799.9800000000105,9000.0,-0.06025174999999999,0.07102865720000001,0.02207700469722235,196200.02,0.1737053692,0.1134536192,1801,90811,3,8999.970000000001,0.1844822764,-0.0008738544430277069,5.771740298818282e-06,0.14739800605466116,0.9294856303519372,60.0,1741
1,18,lithiation,4,0.163704469652706,0.1733341161147723,4.41545e-05,1799.9800000000105,9000.0,-0.058074764900000006,0.0667717382,0.02207700469722235,207000.02,0.168623507,0.1105487421,1801,90811,3,8999.970000000001,0.1773204803,-0.0008143256885227422,5.3840152708903275e-06,0.14222975339694516,0.9293525678515785,60.0,1741
1,19,lithiation,4,0.1733341161147723,0.18296374076785774,4.41544e-05,1799.9800000000105,9000.0,-0.054312229200000006,0.0634072721,0.022076954697777904,217800.02,0.1609694958,0.1066572666,1801,90811,3,8999.970000000001,0.1700645387,-0.0007461325372705057,5.085278781766805e-06,0.13566310321876815,0.9252587498657485,60.0,1741
1,20,lithiation,4,0.18296374076785774,0.19259340903890493,4.41546e-05,1799.9800000000105,9000.0,-0.051015943300000005,0.06057128310000001,0.022077054696666792,228600.02,0.1533703804,0.1023544371,1801,90811,3,8999.970000000001,0.1629257202,-0.0006813575545101363,4.763812910719376e-06,0.12884159432261919,0.921652352422835,60.0,1741
1,21,lithiation,4,0.19259340903890493,0.2022231209279139,4.41548e-05,1799.9800000000105,9000.0,-0.049059093,0.05835202340000001,0.022077154695555684,239400.02,0.1470862329,0.0980271399,1801,90811,3,8999.970000000001,0.1563791633,-0.0006176835472205316,4.596333163546271e-06,0.12193268878585208,0.912165679770919,60.0,1741
1,22,lithiation,4,0.2022231209279139,0.21185278919896108,4.41546e-05,1799.9800000000105,9000.0,-0.045667924,0.05648631600000001,0.022077054696666792,250200.02,0.1400393248,0.0943714008,1801,90811,3,8999.970000000001,0.1508577168,-0.0005503338554029156,4.516315467092671e-06,0.11547242848671527,0.8951623086618479,60.0,1741
1,23,lithiation,4,0.21185278919896108,0.22148245747000828,4.41546e-05,1799.9800000000105,9000.0,-0.04379481069999999,0.054234415300000005,0.022077054696666792,261000.02,0.1356964409,0.0919016302,1801,90811,3,8999.969999999972,0.1461360455,-0.0004891181759363437,4.1511760330361e-06,0.11069481280587709,0.8886830779258472,60.0,1741
1,24,lithiation,4,0.22148245747000828,0.23111210393207443,4.41545e-05,1799.9799999999814,9000.0,-0.04117828609999999,0.05122873189999999,0.022077004697221993,271800.02,0.1306397915,0.0894615054,1801,90811,3,8999.969999999972,0.1406902373,-0.0004631817103286373,3.590191785350068e-06,0.10746239330965465,0.9054036623972844,60.0,1741
1,25,lithiation,4,0.23111210393207443,0.24074172858515971,4.41544e-05,1799.9799999999814,9000.0,-0.0381251425,0.048112563799999994,0.022076954697777547,282600.02,0.1249552891,0.0868301466,1801,90811,3,8999.969999999972,0.1349427104,-0.00042177421290526577,3.2565943489696123e-06,0.10320707488168654,0.9060652392019346,60.0,1741
1,26,lithiation,4,0.24074172858515971,0.250371353238245,4.41544e-05,1799.9799999999814,9000.0,-0.03561977300000001,0.046783551600000015,0.022076954697777547,293400.02,0.1198748872,0.0842551142,1801,90811,3,8999.969999999972,0.1310386658,-0.00035784637594363846,3.1537718881177654e-06,0.09793150554701678,0.8810010047612649,60.0,1741
1,27,lithiation,4,0.250371353238245,0.26000097789133025,4.41544e-05,1799.9799999999814,9000.0,-0.0327712149,0.046748690300000006,0.022076954697777547,304200.02,0.1154949591,0.0827237442,1801,90811,3,8999.969999999972,0.1294724345,-0.00029234224303429214,3.478103225963495e-06,0.09351381893446736,0.8024710553602087,60.0,1741
1,28,lithiation,4,0.26000097789133025,0.26963058073543467,4.41543e-05,1799.9799999999814,9000.0,-0.03284016249999999,0.046563394300000005,0.022076904698333105,315000.02,0.1144995019,0.0816593394,1801,90811,3,8999.969999999972,0.1282227337,-0.00027778904813190105,3.4326612417729376e-06,0.09188789480656917,0.7901760349914921,60.0,1741
1,29,lithiation,4,0.26963058073543467,0.2792602053885199,4.41544e-05,1799.9799999999814,9000.0,-0.0322071389,0.046356573700000014,0.022076954697777547,325800.02,0.1127538905,0.0805467516,1801,90811,3,8999.969999999972,0.1269033253,-0.00027716051193239126,3.35684926199302e-06,0.09076525861082739,0.7967529569378594,60.0,1741
1,30,lithiation,4,0.2792602053885199,0.2888898082326243,4.41543e-05,1799.9799999999814,9000.0,-0.03234648699999999,0.045785076899999985,0.022076904698333105,336600.02,0.1121490523,0.0798025653,1801,90811,3,8999.969999999972,0.1255876422,-0.00026859559072526607,3.2968242499198178e-06,0.08965636543816671,0.7923960100147183,60.0,1741
