branch,SOC,n_pulses,n_valid,valid_fraction,Ds_median_m2_s,Ds_p05_m2_s,Ds_p95_m2_s,Ds_decades_spanned,WH_fit_R2_median,OCP_slope_median_V_per_soc,Fo_pulse_median
delithiation,0.04,5,0,0.0,,,,,,,
delithiation,0.06,8,0,0.0,,,,,,,
delithiation,0.08,10,0,0.0,,,,,,,
delithiation,0.1,10,0,0.0,,,,,,,
delithiation,0.12,10,0,0.0,,,,,,,
delithiation,0.14,10,1,0.1,2.1007285392080817e-13,2.1007285392080817e-13,2.1007285392080817e-13,,0.9728135164311122,-3.657837914232663,2.0146354925695156
delithiation,0.16,10,9,0.9,2.2601042064744345e-13,2.70248359128671e-14,3.720990672040959e-12,2.138895515591997,0.966610204350223,-2.7652359601180976,2.167479551159286
delithiation,0.18,10,8,0.8,1.0615018286955141e-14,4.469197156606636e-15,1.6592057940918187e-14,0.5696707418547869,0.9920507840995423,-0.9674361705865733,0.10179988606829486
delithiation,0.2,10,10,1.0,6.132676650788538e-16,2.66450187739914e-16,1.781796101181841e-15,0.8252419737240075,0.9963078355903328,-0.23146048843677638,0.005881344407207349
delithiation,0.22,10,10,1.0,4.062755156281915e-16,2.60381587233739e-16,1.22085192499953e-15,0.6710527222749147,0.9947874981133855,-0.1559002675204481,0.003896253410520133
delithiation,0.24,10,10,1.0,5.1884490262792716e-15,1.8392322830754165e-15,1.0342133370287265e-14,0.7499735527851064,0.9938241583593409,-0.46742670851097257,0.04975813564027566
delithiation,0.26,10,10,1.0,1.0740459115194906e-14,9.158631483161097e-15,1.281402686505687e-14,0.14585504555425682,0.9951886952725054,-0.6684445297413296,0.10300288559951692
delithiation,0.28,10,10,1.0,1.0484580459721362e-14,6.43679409826585e-15,1.2299417864443642e-14,0.2812149395892025,0.9861763184297496,-0.526294392895884,0.10054896444077502
delithiation,0.3,10,10,1.0,6.659554348461155e-15,4.210259741668057e-15,1.411215760953285e-14,0.5252845287710751,0.9845962799504104,-0.5082949002404202,0.0638662935486333
delithiation,0.32,10,10,1.0,3.2803307701840484e-15,2.4698814047904e-15,5.2242770849700614e-15,0.32535010253573826,0.9986217393605494,-0.4000266278662473,0.03145894709210187
delithiation,0.34,11,11,1.0,2.116433452335579e-15,1.4753159931467932e-15,2.4455530563724913e-15,0.21949203889214772,0.9989588642561325,-0.2900658431097027,0.02029696779548701
delithiation,0.36,10,10,1.0,2.10354000251889e-15,1.271924457113499e-15,2.3433419148957895e-15,0.2653743425300695,0.9973056206495711,-0.2576418468338056,0.02017331735166973
delithiation,0.38,10,10,1.0,2.3716410611618515e-15,1.3599944890985426e-15,2.6433286692361856e-15,0.28861401774778656,0.9879313291150034,-0.22891130457545905,0.02274445349923368
