SOC,Ds_app_m2_s,WH_fit_R2,dE_pulse_mV,dE_relax_mV,OCP_slope_V_per_soc,validity_flag,Ds_app_cm2_s,is_valid,rejection_reasons,branch,cycle,pulse_id,SOC_start,SOC_end,I_A,pulse_time_s,relax_time_s,capacity_increment_mAh,sqrt_t_slope_V_per_sqrt_s,u_prime_halfwidth_soc,u_prime_window_curvature_mV,u_prime_knots,dE_s_mV,dE_tau_expected_mV,Ds_app_relax_m2_s,relax_over_pulse_sqrt_ratio,Ds_app_rel_uncertainty,tau_d_s_from_D,Fo_pulse,Q_th_Ah,R_m
0.0362344463721223,,0.962589215607988,268.66143949999986,-135.46794659999995,,rejected,,False,undefined;ocp_slope_unavailable,delithiation,5,195,0.0384759806238218,0.0339929121204227,-4.41548e-05,797.2719999998808,19800.0,0.009778718251554,0.0125934022992443,,,0,355.5873751142181,,4.833733034161549e-15,,,,,0.002246431984947,1.37e-05
0.0363968790846881,,0.9318623602923792,321.0566044,-121.11163140000004,,rejected,,False,undefined;ocp_slope_unavailable,delithiation,2,195,0.0394803525210716,0.0333134056483047,-4.41551e-05,1097.86699999962,19800.0,0.0134656742143564,0.0121080154495011,,,0,401.1879055062821,,2.2041190939258323e-15,,,,,0.002246431984947,1.37e-05
0.0426462282099656,,0.9397810062569656,311.6826415,-134.72819329999996,,rejected,,False,undefined;ocp_slope_unavailable,delithiation,4,196,0.0455877667750297,0.0397046896449015,-4.41551e-05,1054.0380000006407,19800.0,0.0129280981371745,0.0123742012081832,,,0,401.7402149802833,,2.8332104296986087e-15,,,,,0.002246431984947,1.37e-05
0.0435366334780245,,0.931662972048956,228.7647128,-30.55512900000001,,rejected,,False,undefined;ocp_slope_unavailable,delithiation,5,194,0.0485972863322272,0.0384759806238218,-4.41548e-05,1799.980000000447,9000.0,0.022077154695561,0.0062805854960052,,,0,266.4611952905554,,1.93973036180788e-16,,,,,0.002246431984947,1.37e-05
0.0445357832025858,,0.9452036389092464,198.28885789999995,-28.0709267,,rejected,,False,undefined;ocp_slope_unavailable,delithiation,2,194,0.0495912138841,0.0394803525210716,-4.41551e-05,1799.9799999995157,9000.0,0.0220773046938829,0.0054100165668493,,,0,229.52628888833803,,2.2064276669047638e-16,,,,,0.002246431984947,1.37e-05
0.0500183105660381,,0.8951881962193196,326.21276380000006,-66.27374890000004,,rejected,,False,undefined;r2_below_threshold;ocp_slope_unavailable,delithiation,3,195,0.0550447394231439,0.0449918817089324,-4.41543e-05,1799.980000000447,9000.0,0.0220769046983388,0.008754603341762,,,0,371.4242998880193,,4.696599343417214e-16,,,,,0.002246431984947,1.37e-05
0.0506110188733202,,0.9416039666721032,199.4726658,-24.70993999999993,,rejected,,False,undefined;ocp_slope_unavailable,delithiation,4,195,0.0556342709716107,0.0455877667750297,-4.4155e-05,1799.980000000447,9000.0,0.0220772546944499,0.0055366567173006,,,0,234.89914558822244,,1.6323811513537761e-16,,,,,0.002246431984947,1.37e-05
0.0536579621087525,,0.9578812733030846,123.07706480000004,-15.337765200000074,,rejected,,False,undefined;ocp_slope_unavailable,delithiation,5,193,0.0587186378852778,0.0485972863322272,-4.4155e-05,1799.980000000447,9000.0,0.0220772546944499,0.0034114211876853,,,0,144.73353923584796,,1.6566351410823946e-16,,,,,0.002246431984947,1.37e-05
0.0546466560148707,,0.9615235458890556,118.33956829999998,-19.282936999999944,,rejected,,False,undefined;ocp_slope_unavailable,delithiation,2,193,0.0597020981456414,0.0495912138841,-4.41552e-05,1799.9799999995157,9000.0,0.0220773546933273,0.0031866627666386,,,0,135.1978999929724,,3.0008724537186776e-16,,,,,0.002246431984947,1.37e-05
0.0600711796640306,,0.9549520650789955,140.93926550000003,-18.025815500000043,,rejected,,False,undefined;ocp_slope_unavailable,delithiation,3,194,0.0650976199049173,0.0550447394231439,-4.41544e-05,1799.980000000447,9000.0,0.0220769546977832,0.0038915490036849,,,0,165.10352414009773,,1.7584022077761867e-16,,,,,0.002246431984947,1.37e-05
