axis,model,rate_label,c_rate,case,parameter_set,D_prescribed_m2_s,D_origin,I_const_A,tau_d_of_prescribed_s,t_protocol_s,Fo_over_protocol,t_end_s,sustained_protocol_fraction,q_end_mAh,q_to_cutoff_mAh,reached_cutoff,V_start_V,V_end_V,V_span_mV,V_at_half_protocol_V,V_at_10pct_Qnom_V,V_at_30pct_Qnom_V,V_at_50pct_Qnom_V,V_at_70pct_Qnom_V,V_at_90pct_Qnom_V
cc_rate,SPM,C/50,0.02,control_native_ecker,sintef_graphite_ocp_lith_capmatch_v1_v2,,reference set native D(SOC),3.884932955101153e-05,,180000.0,,178215.98067263485,0.9900887815146381,1.9232142678910813,1.9232142678910813,True,1.0707995020294885,0.0049999999999209115,1065.7995020295677,0.062043508213840484,0.1394592349110697,0.07553473669736246,0.062043508213840484,0.05048113635286074,0.03893594766193872
cc_rate,SPM,C/50,0.02,gitt_curve,sintef_graphite_dsapp_lith_v1_v2,,Phase B1 GITT apparent D_s(SOC),3.884932955101153e-05,,180000.0,,85278.08498507558,0.47376713880597543,0.920276785295658,0.920276785295658,True,1.0707995020294885,0.004999999999999902,1065.7995020294886,,0.13615917518194617,0.06948405707658277,,,
cc_rate,SPM,C/50,0.02,const_1e-17,sintef_graphite_Dsweep_lith_1e-17_v2,1e-17,prescribed constant (sensitivity grid),3.884932955101153e-05,18768999.999999996,180000.0,0.009590281847727639,21993.077879125598,0.1221837659951422,0.23733786954644776,0.23733786954644776,True,1.0707995020294885,0.0049999999999833546,1065.799502029505,,0.04571086344339865,,,,
cc_rate,SPM,C/50,0.02,const_3e-17,sintef_graphite_Dsweep_lith_3e-17_v2,3e-17,prescribed constant (sensitivity grid),3.884932955101153e-05,6256333.333333332,180000.0,0.028770845543182915,36193.87464561921,0.20107708136455116,0.3905854899543503,0.3905854899543503,True,1.0707995020294885,0.004999999999924367,1065.799502029564,,0.05106650784288981,,,,
cc_rate,SPM,C/50,0.02,const_1e-16,sintef_graphite_Dsweep_lith_1e-16_v2,1e-16,prescribed constant (sensitivity grid),3.884932955101153e-05,1876899.9999999998,180000.0,0.09590281847727637,82523.10091442644,0.45846167174681357,0.8905464286099816,0.8905464286099816,True,1.0707995020294885,0.004999999999996674,1065.799502029492,,0.06927910686688199,0.04926211263839451,,,
cc_rate,SPM,C/50,0.02,const_3e-16,sintef_graphite_Dsweep_lith_3e-16_v2,3e-16,prescribed constant (sensitivity grid),3.884932955101153e-05,625633.3333333333,180000.0,0.2877084554318291,138232.84210810735,0.7679602339339296,1.491737010508557,1.491737010508557,True,1.0707995020294885,0.004999999999918821,1065.7995020295696,0.05027133314171093,0.08214323597745227,0.061523758421302074,0.05027133314171093,0.03484165284006006,
cc_rate,SPM,C/50,0.02,const_1e-15,sintef_graphite_Dsweep_lith_1e-15_v2,1e-15,prescribed constant (sensitivity grid),3.884932955101153e-05,187689.99999999997,180000.0,0.9590281847727639,167120.7963009123,0.9284488683384017,1.803480802867114,1.803480802867114,True,1.0707995020294885,0.004999999999920414,1065.799502029568,0.05519315089843519,0.10861701642576845,0.0708033591315167,0.05519315089843519,0.04933813313788149,0.02295957943081063
cc_rate,SPM,C/50,0.02,const_3e-15,sintef_graphite_Dsweep_lith_3e-15_v2,3e-15,prescribed constant (sensitivity grid),3.884932955101153e-05,62563.33333333333,180000.0,2.8770845543182912,175445.18658039262,0.9746954810021812,1.8933132976667717,1.8933132976667717,True,1.0707995020294885,0.004999999999915728,1065.7995020295727,0.06014101588540195,0.1218488290902,0.07359673348505665,0.06014101588540195,0.05029998045784869,0.036094378466657244
cc_rate,SPM,C/50,0.02,const_1e-14,sintef_graphite_Dsweep_lith_1e-14_v2,1e-14,prescribed constant (sensitivity grid),3.884932955101153e-05,18768.999999999996,180000.0,9.590281847727637,178358.72321506325,0.9908817956392403,1.924754671244345,1.924754671244345,True,1.0707995020294885,0.004999999999912777,1065.7995020295757,0.061902480845439256,0.1325321630533055,0.0750194438235468,0.06190248084543926,0.05048475771127279,0.03905968049428869
cc_rate,SPM,C/50,0.02,const_3e-14,sintef_graphite_Dsweep_lith_3e-14_v2,3e-14,prescribed constant (sensitivity grid),3.884932955101153e-05,6256.333333333333,180000.0,28.770845543182908,179191.16225349868,0.9955064569638815,1.9337379208374854,1.9337379208374854,True,1.0707995020294885,0.004999999999929549,1065.7995020295589,0.06240428619621535,0.1370798883561407,0.0754782269986927,0.06240428619621535,0.05053090133834271,0.039779516581717425
cc_rate,SPM,C/50,0.02,const_1e-13,sintef_graphite_Dsweep_lith_1e-13_v2,1e-13,prescribed constant (sensitivity grid),3.884932955101153e-05,1876.8999999999996,180000.0,95.90281847727637,179482.5159169055,0.9971250884272529,1.936882058194593,1.936882058194593,True,1.0707995020294885,0.004999999999934664,1065.7995020295539,0.0625576145930263,0.13892234810576976,0.0756447850134791,0.0625576145930263,0.05055471530735816,0.04002655555602936
cc_rate,SPM,0.5C,0.5,control_native_ecker,sintef_graphite_ocp_lith_capmatch_v1_v2,,reference set native D(SOC),0.0009712332387752881,,7200.0,,5614.378822390794,0.7797748364431658,1.514686479828333,1.514686479828333,True,0.9821811569638601,0.004999999999995008,977.1811569638651,0.041204335810053346,0.11920376470301426,0.06189764737765698,0.041204335810053346,0.030002287923313223,
cc_rate,SPM,0.5C,0.5,gitt_curve,sintef_graphite_dsapp_lith_v1_v2,,Phase B1 GITT apparent D_s(SOC),0.0009712332387752881,,7200.0,,1404.876409707202,0.19512172357044472,0.379017407077479,0.379017407077479,True,0.9821811569638601,0.004999999999982854,977.1811569638772,,0.08296539730244464,,,,
cc_rate,SPM,0.5C,0.5,const_1e-17,sintef_graphite_Dsweep_lith_1e-17_v2,1e-17,prescribed constant (sensitivity grid),0.0009712332387752881,18768999.999999996,7200.0,0.00038361127390910553,663.0130013989245,0.09208513908318396,0.17887229574966726,0.17887229574966726,True,0.9821811569638601,0.004999999999994022,977.1811569638661,,,,,,
