branch,SOC,n_pulses,Ds_app_m2_s,Ds_app_cm2_s,Ds_app_cm2_s_p25,Ds_app_cm2_s_p75,Ds_app_rel_uncertainty_median,Ds_app_cm2_s_uncertainty,SOC_lo,SOC_hi
delithiation,0.14,1,8.82817421669816e-14,8.82817421669816e-10,8.82817421669816e-10,8.82817421669816e-10,0.026550104323211688,2.3438894643682378e-11,0.1477748814278787,0.1477748814278787
delithiation,0.16,10,7.397645992703886e-14,7.397645992703886e-10,5.398516002427191e-10,1.1401315448057799e-09,0.023718334503215713,1.9894179998334072e-11,0.15054646650825093,0.16703405440261615
delithiation,0.18,9,2.9564005268756486e-14,2.9564005268756486e-10,6.73454117033051e-11,3.68647377680285e-10,0.028324897158995367,5.957422814067342e-12,0.17065205671508138,0.1862932928042963
delithiation,0.2,10,7.131155704269728e-16,7.131155704269728e-12,5.611263433957202e-12,9.46581897487365e-12,0.015466295938416105,1.0853058293749462e-13,0.19075765830569308,0.20630878646160217
delithiation,0.22,10,5.842789399157961e-16,5.842789399157961e-12,5.1985911022576835e-12,7.436886102988721e-12,0.021700027129831885,1.1793407828261071e-13,0.2108632371287425,0.22653045194138133
delithiation,0.24,10,3.756578922888888e-15,3.7565789228888874e-11,2.6968311732581623e-11,5.7019199405507676e-11,0.018248839843479886,7.075903092692067e-13,0.23096883871935414,0.24675208307339075
delithiation,0.26,10,6.981915461223724e-15,6.981915461223724e-11,6.347115772159727e-11,8.258773790730026e-11,0.012896497971114779,1.0048515336066658e-12,0.2510744403099658,0.26697369130688703
delithiation,0.28,10,4.290026529730927e-15,4.2900265297309275e-11,3.273798342417361e-11,5.477935358716921e-11,0.014529012100199138,6.314245109196354e-13,0.2711799963654531,0.28719540258369236
delithiation,0.3,10,2.9575215610219785e-15,2.9575215610219785e-11,2.5263097890520013e-11,3.508134424398078e-11,0.010553809489644343,3.180855214775219e-13,0.29128562072362696,0.30741712530975424
delithiation,0.32,10,3.803646871343818e-15,3.803646871343818e-11,2.7409694965311846e-11,4.366681718371744e-11,0.008168213355399006,3.0885439419607134e-13,0.31139113124398987,0.327638722093994
delithiation,0.34,11,1.6367468433007928e-15,1.6367468433007928e-11,1.2958165253293617e-11,2.2276930311338596e-11,0.005298091212716931,9.437652789180885e-14,0.33073778254997027,0.3499970536651216
delithiation,0.36,10,1.2195448041536288e-15,1.2195448041536288e-11,1.122807916600381e-11,1.3202478699383915e-11,0.004265833465721704,5.170147712999363e-14,0.35160185630640717,0.369256270257821
delithiation,0.38,10,8.474049105075454e-16,8.474049105075455e-12,7.365117962789954e-12,9.113837380518507e-12,0.0034394855611047494,3.023020016746127e-14,0.3717073895943322,0.3885154214235776
delithiation,0.4,10,4.902489959029712e-16,4.902489959029712e-12,4.676884375186262e-12,6.006063027549629e-12,0.0027945304435970306,1.7348003200084436e-14,0.39181285457957077,0.4085247314054864
delithiation,0.42,10,3.303539961373852e-16,3.3035399613738516e-12,2.7657111821481207e-12,3.97504749147065e-12,0.004485194649161502,1.475621445705578e-14,0.4119180805054062,0.42874617934939074
delithiation,0.44,10,2.2275415706453415e-16,2.2275415706453413e-12,1.843305552585044e-12,2.4792454525284853e-12,0.006039579938326981,1.3750662449805193e-14,0.43202324951233617,0.44896763874255174
delithiation,0.46,10,1.4388361571723219e-16,1.4388361571723219e-12,1.2488441367165432e-12,1.7144694486011804e-12,0.007672913646093251,1.1348098230265387e-14,0.4521286120435448,0.46918910958496934
delithiation,0.48,10,8.67242426179938e-17,8.67242426179938e-13,7.334461687331748e-13,1.0844304875701095e-12,0.008994154014335544,8.277472604748275e-15,0.4722340087260967,0.4894105689781303
delithiation,0.5,10,4.407493612335466e-17,4.407493612335466e-13,3.4566995546208694e-13,5.705410217563401e-13,0.010379471180141923,4.9261512651245536e-15,0.49233917773302677,0.5096320283712914
delithiation,0.52,10,2.115795016635001e-17,2.1157950166350008e-13,1.72260579467478e-13,2.3719170419959e-13,0.012685512373690925,2.6521543049324344e-15,0.5124442898210513,0.5298535793585049
delithiation,0.54,9,1.1914181968866166e-17,1.1914181968866165e-13,9.577749207254126e-14,1.366320928640119e-13,0.013391244602972918,1.7809576729978518e-15,0.5325496865036032,0.5496016209080941
delithiation,0.56,10,3.1351824827149753e-18,3.135182482714975e-14,2.0140520755892096e-14,6.466628640751599e-14,0.00966645870823072,2.149160257465017e-16,0.5500751990412578,0.5698441864802593
delithiation,0.58,9,7.348328918476696e-18,7.348328918476696e-14,4.986829415219342e-14,1.0933941442384909e-13,0.013403442012693011,1.2198939920929812e-15,0.5702966584344188,0.5830736707862072
delithiation,0.6,11,2.223801727823508e-17,2.2238017278235077e-13,1.842011632766973e-13,2.8589155075386264e-13,0.010604682278962427,2.460228875639437e-15,0.5900867520524246,0.6099982823597291
delithiation,0.62,10,4.7919868411202727e-17,4.791986841120273e-13,4.4273592532383693e-13,6.12900589974662e-13,0.008955177761671103,4.454772077568336e-15,0.6103293749303964,0.6292576516152945
delithiation,0.64,10,1.0568869721425182e-16,1.0568869721425183e-12,9.820299350841172e-13,1.3329879453608026e-12,0.007025649278333164,7.882814979689793e-15,0.6305720321918522,0.6485170099663694
delithiation,0.66,10,1.92761413859048e-16,1.92761413859048e-12,1.7503856171483454e-12,2.1366269293664173e-12,0.0051656169505225474,1.1126975705396087e-14,0.6508145175358884,0.6677763137949921
delithiation,0.68,10,2.379397876233593e-16,2.3793978762335934e-12,2.0414556948957354e-12,2.492320727749448e-12,0.0035581791449091175,9.062017813425921e-15,0.671056945574118,0.6870355849101436
delithiation,0.7000000000000001,10,2.1114541339984572e-16,2.111454133998457e-12,1.8356521390862874e-12,2.3733240809085828e-12,0.0021079507722370143,4.302988977769893e-15,0.691299648680219,0.7062948887387663
delithiation,0.72,10,1.5427801885820566e-16,1.5427801885820566e-12,1.3199192049456737e-12,1.7976971195902265e-12,0.001300869149637505,2.2412482345169625e-15,0.7115424893202558,0.7255542252808603
delithiation,0.74,10,9.388454145584252e-17,9.388454145584252e-13,7.952024958225146e-13,1.2163701180499094e-12,0.002286366554766471,2.2647057352052735e-15,0.7317852038875181,0.7448135400139736
delithiation,0.76,10,6.261428472366199e-17,6.261428472366199e-13,5.067961311595494e-13,7.441815405099228e-13,0.003735974586982685,2.3399608694904354e-15,0.7520278955324579,0.7640728983650485
delithiation,0.78,10,4.270360254928882e-17,4.270360254928882e-13,3.2931605161162627e-13,5.240447779585714e-13,0.005144279529211066,2.1486815189418872e-15,0.7722706215608814,0.7840020368805103
delithiation,0.8,10,2.9492967239674436e-17,2.9492967239674437e-13,2.3193242301113185e-13,3.5955182228445875e-13,0.00629258546682503,1.8806086711781447e-15,0.7925133475893051,0.8040947949927387
delithiation,0.8200000000000001,10,1.6716556052936094e-17,1.6716556052936093e-13,1.3651977107667822e-13,2.1314037263796766e-13,0.0073369095989092425,1.3252254030613606e-15,0.8122214360011115,0.8241875303521551
delithiation,0.84,10,9.032880404986162e-18,9.032880404986162e-14,8.111861895205086e-14,1.1685290131250138e-13,0.008213981573935273,8.178598553158846e-16,0.8314808052566769,0.8442804022284442
delithiation,0.86,11,2.724873813813714e-18,2.724873813813714e-14,2.034131785570377e-14,5.228414080348661e-14,0.008386033211835597,2.4109728530252974e-16,0.8507400763718284,0.8699994892453555
delithiation,0.88,10,4.763188488404175e-19,4.763188488404175e-15,3.461311800937804e-15,6.20323360477944e-15,0.008354349829753673,3.5970104988576266e-17,0.8734841370913866,0.8892589239278635
delithiation,0.98,5,6.300458856648708e-16,6.300458856648708e-12,6.076753692780604e-12,8.835538325752519e-12,0.00327439214677707,2.063017300130257e-14,0.9848181675101665,0.9855555303069008
delithiation,1.0,5,4.2363342468969256e-16,4.236334246896926e-12,3.6302921957604323e-12,4.4436563617897855e-12,0.004653280234826713,2.067757831867839e-14,0.9949393815292813,0.9951851767689669
