t_s,V_exp,V_sim,residual_mV,cap_fraction
990.000000,3.34615326,2.87785485,-468.298411,0.005183
1000.000000,3.34720516,2.87847407,-468.731094,0.005235
1010.000000,3.34819746,2.87909327,-469.104189,0.005287
1020.000000,3.34917712,2.87971246,-469.464666,0.005339
1030.000000,3.35011911,2.88033163,-469.787488,0.005391
1040.000000,3.35104179,2.88095078,-470.091013,0.005443
1050.000000,3.35194254,2.88156992,-470.372617,0.005494
1060.000000,3.35281634,2.88218905,-470.627293,0.005546
1070.000000,3.35365820,2.88280817,-470.850032,0.005598
1080.000000,3.35447550,2.88342727,-471.048224,0.005650
1090.000000,3.35527754,2.88404637,-471.231168,0.005702
1100.000000,3.35604668,2.88466546,-471.381220,0.005754
1110.000000,3.35682631,2.88528453,-471.541771,0.005805
1120.000000,3.35754776,2.88590360,-471.644155,0.005857
1130.000000,3.35828137,2.88652267,-471.758707,0.005909
1140.000000,3.35897255,2.88714172,-471.830827,0.005961
1150.000000,3.35967469,2.88776077,-471.913921,0.006013
1160.000000,3.36033726,2.88837981,-471.957443,0.006065
1170.000000,3.36100030,2.88899885,-472.001448,0.006116
1180.000000,3.36164021,2.88961788,-472.022331,0.006168
1190.000000,3.36228108,2.89023691,-472.044172,0.006220
1200.000000,3.36289716,2.89085593,-472.041223,0.006272
1210.000000,3.36348462,2.89147495,-472.009667,0.006324
1220.000000,3.36408544,2.89209397,-471.991467,0.006376
1230.000000,3.36466551,2.89271298,-471.952528,0.006427
1240.000000,3.36522436,2.89333199,-471.892373,0.006479
1250.000000,3.36577415,2.89395099,-471.823161,0.006531
1260.000000,3.36632872,2.89457000,-471.758720,0.006583
1270.000000,3.36686087,2.89518900,-471.671871,0.006635
1280.000000,3.36738420,2.89580799,-471.576202,0.006687
1290.000000,3.36789250,2.89642699,-471.465516,0.006738
1300.000000,3.36840534,2.89704598,-471.359362,0.006790
1310.000000,3.36889529,2.89766497,-471.230321,0.006842
1320.000000,3.36939001,2.89828396,-471.106050,0.006894
1330.000000,3.36987638,2.89890295,-470.973437,0.006946
1340.000000,3.37035298,2.89952193,-470.831050,0.006998
