t_s,V_exp,V_sim,residual_mV,cap_fraction
0.000000,3.53146529,3.60211958,70.654291,0.000052
10.000000,3.52693319,3.59298509,66.051893,0.000104
20.000000,3.52452397,3.58823677,63.712793,0.000156
30.000000,3.52247548,3.58454701,62.071526,0.000208
40.000000,3.52063060,3.58137388,60.743283,0.000260
50.000000,3.51890087,3.57851712,59.616252,0.000312
60.000000,3.51724601,3.57587902,58.633008,0.000364
70.000000,3.51567984,3.57340269,57.722854,0.000416
80.000000,3.51414108,3.57105188,56.910793,0.000468
90.000000,3.51264644,3.56880162,56.155181,0.000520
100.000000,3.51120162,3.56663390,55.432284,0.000572
110.000000,3.50979757,3.56453537,54.737795,0.000624
120.000000,3.50842452,3.56249571,54.071192,0.000676
130.000000,3.50708294,3.56050681,53.423871,0.000728
140.000000,3.50575852,3.55856211,52.803585,0.000780
150.000000,3.50446010,3.55665624,52.196145,0.000833
160.000000,3.50320029,3.55478474,51.584448,0.000885
170.000000,3.50195885,3.55294385,50.985001,0.000937
180.000000,3.50071955,3.55113036,50.410813,0.000989
190.000000,3.49953008,3.54934152,49.811447,0.001041
200.000000,3.49833941,3.54757495,49.235539,0.001093
210.000000,3.49717784,3.54582856,48.650724,0.001145
220.000000,3.49603438,3.54410052,48.066136,0.001197
230.000000,3.49490070,3.54238920,47.488496,0.001249
240.000000,3.49379230,3.54069316,46.900865,0.001301
250.000000,3.49269986,3.53901111,46.311248,0.001353
260.000000,3.49162006,3.53734189,45.721825,0.001405
270.000000,3.49055433,3.53568446,45.130122,0.001457
280.000000,3.48950839,3.53403786,44.529473,0.001509
290.000000,3.48846722,3.53240126,43.934039,0.001561
300.000000,3.48744893,3.53077385,43.324922,0.001613
310.000000,3.48644543,3.52915494,42.709516,0.001665
320.000000,3.48544860,3.52754388,42.095278,0.001717
330.000000,3.48447084,3.52594006,41.469215,0.001769
340.000000,3.48349404,3.52434294,40.848900,0.001821
350.000000,3.48253727,3.52275203,40.214758,0.001873
360.000000,3.48159075,3.52116685,39.576102,0.001925
370.000000,3.48065472,3.51958699,38.932269,0.001977
380.000000,3.47970963,3.51801204,38.302417,0.002029
390.000000,3.47879410,3.51644166,37.647561,0.002081
400.000000,3.47792149,3.51487550,36.954015,0.002133
410.000000,3.47697473,3.51331326,36.338535,0.002185
420.000000,3.47612286,3.51175465,35.631795,0.002237
430.000000,3.47524619,3.51019941,34.953219,0.002289
