t_s,V_exp,V_sim,residual_mV,cap_fraction
990.000000,3.40143347,3.20125808,-200.175384,0.005219
1000.000000,3.40169024,3.20152057,-200.169678,0.005271
1010.000000,3.40194941,3.20178304,-200.166363,0.005324
1020.000000,3.40220881,3.20204551,-200.163293,0.005376
1030.000000,3.40245891,3.20230797,-200.150933,0.005428
1040.000000,3.40271688,3.20256868,-200.148193,0.005480
1050.000000,3.40297890,3.20282918,-200.149719,0.005532
1060.000000,3.40321541,3.20308967,-200.125740,0.005585
1070.000000,3.40348268,3.20335015,-200.132521,0.005637
1080.000000,3.40371227,3.20361064,-200.101637,0.005689
1090.000000,3.40395522,3.20387008,-200.085137,0.005741
1100.000000,3.40419149,3.20412862,-200.062877,0.005793
1110.000000,3.40443611,3.20438715,-200.048964,0.005846
1120.000000,3.40466857,3.20464567,-200.022895,0.005898
1130.000000,3.40491414,3.20490420,-200.009943,0.005950
1140.000000,3.40512514,3.20516241,-199.962732,0.006002
1150.000000,3.40538096,3.20541899,-199.961973,0.006054
1160.000000,3.40560961,3.20567558,-199.934025,0.006106
1170.000000,3.40585041,3.20593217,-199.918239,0.006159
1180.000000,3.40607691,3.20618876,-199.888150,0.006211
1190.000000,3.40630794,3.20644534,-199.862593,0.006263
1200.000000,3.40653276,3.20670039,-199.832371,0.006315
1210.000000,3.40676403,3.20695506,-199.808966,0.006367
1220.000000,3.40698791,3.20720973,-199.778172,0.006420
1230.000000,3.40719080,3.20746440,-199.726398,0.006472
1240.000000,3.40741205,3.20771907,-199.692984,0.006524
1250.000000,3.40763640,3.20797292,-199.663483,0.006576
1260.000000,3.40785217,3.20822567,-199.626501,0.006628
1270.000000,3.40805888,3.20847844,-199.580442,0.006681
1280.000000,3.40828133,3.20873121,-199.550120,0.006733
1290.000000,3.40848207,3.20898397,-199.498103,0.006785
1300.000000,3.40870285,3.20923660,-199.466249,0.006837
1310.000000,3.40890884,3.20948748,-199.421363,0.006889
1320.000000,3.40912008,3.20973836,-199.381721,0.006942
1330.000000,3.40933204,3.20998924,-199.342794,0.006994
1340.000000,3.40954924,3.21024012,-199.309113,0.007046
1350.000000,3.40974808,3.21049100,-199.257075,0.007098
1360.000000,3.40995383,3.21074056,-199.213274,0.007150
1370.000000,3.41017485,3.21098957,-199.185276,0.007203
1380.000000,3.41036296,3.21123858,-199.124378,0.007255
1390.000000,3.41055822,3.21148759,-199.070633,0.007307
1400.000000,3.41076684,3.21173660,-199.030239,0.007359
1410.000000,3.41095829,3.21198499,-198.973304,0.007411
1420.000000,3.41116047,3.21223213,-198.928340,0.007463
1430.000000,3.41135383,3.21247928,-198.874542,0.007516
1440.000000,3.41155553,3.21272644,-198.829089,0.007568
1450.000000,3.41175985,3.21297359,-198.786259,0.007620
1460.000000,3.41195774,3.21322075,-198.736992,0.007672
1470.000000,3.41214991,3.21346610,-198.683804,0.007724
1480.000000,3.41233921,3.21371142,-198.627794,0.007777
1490.000000,3.41253614,3.21395673,-198.579413,0.007829
1500.000000,3.41271400,3.21420205,-198.511959,0.007881
1510.000000,3.41291595,3.21444736,-198.468586,0.007933
1520.000000,3.41311717,3.21469154,-198.425628,0.007985
1530.000000,3.41328192,3.21493504,-198.346878,0.008038
1540.000000,3.41348934,3.21517853,-198.310815,0.008090
1550.000000,3.41366553,3.21542201,-198.243518,0.008142
1560.000000,3.41386342,3.21566550,-198.197919,0.008194
1570.000000,3.41404247,3.21590854,-198.133929,0.008246
1580.000000,3.41423345,3.21615021,-198.083233,0.008299
1590.000000,3.41442442,3.21639189,-198.032532,0.008351
1600.000000,3.41459703,3.21663356,-197.963472,0.008403
1610.000000,3.41478920,3.21687524,-197.913963,0.008455
1620.000000,3.41497350,3.21711691,-197.856586,0.008507
1630.000000,3.41515446,3.21735700,-197.797461,0.008560
1640.000000,3.41532731,3.21759687,-197.730439,0.008612
1650.000000,3.41551900,3.21783675,-197.682252,0.008664
1660.000000,3.41570091,3.21807662,-197.624289,0.008716
1670.000000,3.41587114,3.21831650,-197.554644,0.008768
1680.000000,3.41604328,3.21855545,-197.487835,0.008820
1690.000000,3.41623735,3.21879354,-197.443817,0.008873
1700.000000,3.41641831,3.21903163,-197.386686,0.008925
1710.000000,3.41658020,3.21926972,-197.310482,0.008977
1720.000000,3.41675162,3.21950781,-197.243815,0.009029
1730.000000,3.41693902,3.21974563,-197.193393,0.009081
1740.000000,3.41710401,3.21998194,-197.122063,0.009134
1750.000000,3.41727996,3.22021826,-197.061697,0.009186
1760.000000,3.41745734,3.22045458,-197.002762,0.009238
1770.000000,3.41763377,3.22069090,-196.942874,0.009290
1780.000000,3.41780949,3.22092722,-196.882270,0.009342
1790.000000,3.41797924,3.22116215,-196.817094,0.009395
1800.000000,3.41814804,3.22139671,-196.751335,0.009447
1810.000000,3.41832304,3.22163127,-196.691775,0.009499
1820.000000,3.41849947,3.22186582,-196.633645,0.009551
1830.000000,3.41864347,3.22210038,-196.543090,0.009603
1840.000000,3.41883135,3.22233420,-196.497144,0.009656
1850.000000,3.41899824,3.22256702,-196.431225,0.009708
1860.000000,3.41915917,3.22279983,-196.359343,0.009760
1870.000000,3.41933441,3.22303264,-196.301767,0.009812
1880.000000,3.41948962,3.22326546,-196.224164,0.009864
1890.000000,3.41966057,3.22349817,-196.162399,0.009917
1900.000000,3.41982651,3.22372925,-196.097257,0.009969
1910.000000,3.41999364,3.22396033,-196.033307,0.010021
1920.000000,3.42015505,3.22419141,-195.963635,0.010073
1930.000000,3.42032552,3.22442249,-195.903023,0.010125
1940.000000,3.42048168,3.22465358,-195.828105,0.010177
1950.000000,3.42063570,3.22488346,-195.752237,0.010230
1960.000000,3.42081237,3.22511282,-195.699543,0.010282
1970.000000,3.42096901,3.22534219,-195.626822,0.010334
1980.000000,3.42111850,3.22557155,-195.546949,0.010386
1990.000000,3.42128205,3.22580091,-195.481142,0.010438
2000.000000,3.42143273,3.22602971,-195.403023,0.010491
2010.000000,3.42159820,3.22625736,-195.340831,0.010543
2020.000000,3.42175436,3.22648502,-195.269340,0.010595
2030.000000,3.42191315,3.22671268,-195.200471,0.010647
2040.000000,3.42206955,3.22694033,-195.129219,0.010699
2050.000000,3.42223072,3.22716799,-195.062734,0.010752
2060.000000,3.42238688,3.22739401,-194.992878,0.010804
2070.000000,3.42253995,3.22761997,-194.919981,0.010856
2080.000000,3.42270494,3.22784593,-194.859006,0.010908
2090.000000,3.42285895,3.22807189,-194.787063,0.010960
2100.000000,3.42299461,3.22829785,-194.696761,0.011013
2110.000000,3.42316175,3.22852280,-194.638941,0.011065
2120.000000,3.42330790,3.22874708,-194.560811,0.011117
2130.000000,3.42345905,3.22897136,-194.487688,0.011169
2140.000000,3.42360926,3.22919564,-194.413612,0.011221
2150.000000,3.42376542,3.22941992,-194.345496,0.011274
2160.000000,3.42390752,3.22964381,-194.263706,0.011326
2170.000000,3.42406297,3.22986642,-194.196544,0.011378
2180.000000,3.42421579,3.23008904,-194.126758,0.011430
2190.000000,3.42437315,3.23031165,-194.061503,0.011482
2200.000000,3.42451286,3.23053426,-193.978605,0.011534
2210.000000,3.42466664,3.23075687,-193.909773,0.011587
2220.000000,3.42481017,3.23097804,-193.832132,0.011639
2230.000000,3.42496014,3.23119899,-193.761142,0.011691
2240.000000,3.42509937,3.23141995,-193.679423,0.011743
2250.000000,3.42526364,3.23164091,-193.622738,0.011795
2260.000000,3.42540002,3.23186186,-193.538158,0.011848
2270.000000,3.42554593,3.23208198,-193.463947,0.011900
2280.000000,3.42568398,3.23230130,-193.382679,0.011952
2290.000000,3.42583466,3.23252061,-193.314049,0.012004
2300.000000,3.42597747,3.23273992,-193.237550,0.012056
2310.000000,3.42613101,3.23295923,-193.171780,0.012109
2320.000000,3.42626667,3.23317831,-193.088359,0.012161
2330.000000,3.42641544,3.23339599,-193.019452,0.012213
2340.000000,3.42654586,3.23361367,-192.932187,0.012265
2350.000000,3.42667484,3.23383135,-192.843491,0.012317
2360.000000,3.42682838,3.23404903,-192.779353,0.012370
2370.000000,3.42695737,3.23426671,-192.690658,0.012422
2380.000000,3.42710543,3.23448313,-192.622293,0.012474
2390.000000,3.42724681,3.23469919,-192.547614,0.012526
2400.000000,3.42737675,3.23491526,-192.461492,0.012578
2410.000000,3.42750716,3.23513132,-192.375846,0.012631
2420.000000,3.42765331,3.23534738,-192.305936,0.012683
2430.000000,3.42778945,3.23556278,-192.226673,0.012735
2440.000000,3.42793345,3.23577723,-192.156225,0.012787
2450.000000,3.42806458,3.23599168,-192.072902,0.012839
2460.000000,3.42818761,3.23620614,-191.981473,0.012891
2470.000000,3.42832088,3.23642059,-191.900296,0.012944
2480.000000,3.42844534,3.23663497,-191.810371,0.012996
2490.000000,3.42858934,3.23684783,-191.741518,0.013048
2500.000000,3.42873406,3.23706068,-191.673380,0.013100
2510.000000,3.42886209,3.23727354,-191.588552,0.013152
2520.000000,3.42899823,3.23748640,-191.511831,0.013205
2530.000000,3.42911696,3.23769926,-191.417706,0.013257
2540.000000,3.42925858,3.23791104,-191.347549,0.013309
2550.000000,3.42939901,3.23812231,-191.276701,0.013361
2560.000000,3.42954350,3.23833359,-191.209908,0.013413
2570.000000,3.42966104,3.23854486,-191.116174,0.013466
2580.000000,3.42976284,3.23875614,-191.006704,0.013518
2590.000000,3.42989445,3.23896692,-190.927532,0.013570
2600.000000,3.43003345,3.23917662,-190.856829,0.013622
2610.000000,3.43014717,3.23938632,-190.760851,0.013674
2620.000000,3.43026066,3.23959602,-190.664635,0.013727
2630.000000,3.43040967,3.23980573,-190.603944,0.013779
2640.000000,3.43052769,3.24001543,-190.512258,0.013831
2650.000000,3.43064427,3.24022365,-190.420626,0.013883
2660.000000,3.43077350,3.24043179,-190.341705,0.013935
2670.000000,3.43089271,3.24063993,-190.252771,0.013988
2680.000000,3.43101144,3.24084808,-190.163360,0.014040
2690.000000,3.43115211,3.24105622,-190.095884,0.014092
2700.000000,3.43126869,3.24126345,-190.005239,0.014144
2710.000000,3.43139029,3.24147005,-189.920234,0.014196
2720.000000,3.43150640,3.24167665,-189.829748,0.014248
2730.000000,3.43163633,3.24188324,-189.753091,0.014301
2740.000000,3.43174314,3.24208984,-189.653308,0.014353
2750.000000,3.43186975,3.24229610,-189.573650,0.014405
2760.000000,3.43199253,3.24250115,-189.491381,0.014457
2770.000000,3.43210268,3.24270621,-189.396471,0.014509
2780.000000,3.43222141,3.24291127,-189.310145,0.014562
2790.000000,3.43234015,3.24311633,-189.223819,0.014614
2800.000000,3.43244553,3.24332138,-189.124141,0.014666
2810.000000,3.43257904,3.24352514,-189.053904,0.014718
2820.000000,3.43270063,3.24372867,-188.971964,0.014770
2830.000000,3.43280053,3.24393220,-188.868327,0.014823
2840.000000,3.43291712,3.24413574,-188.781381,0.014875
2850.000000,3.43302774,3.24433927,-188.688473,0.014927
2860.000000,3.43314433,3.24454206,-188.602269,0.014979
2870.000000,3.43325877,3.24474408,-188.514692,0.015031
2880.000000,3.43336892,3.24494610,-188.422822,0.015084
2890.000000,3.43347073,3.24514812,-188.322606,0.015136
2900.000000,3.43358016,3.24535014,-188.230021,0.015188
2910.000000,3.43369389,3.24555197,-188.141914,0.015240
2920.000000,3.43381238,3.24575249,-188.059894,0.015292
2930.000000,3.43390536,3.24595300,-187.952360,0.015345
2940.000000,3.43402028,3.24615352,-187.866760,0.015397
2950.000000,3.43413281,3.24635404,-187.778776,0.015449
2960.000000,3.43423247,3.24655456,-187.677917,0.015501
2970.000000,3.43434405,3.24675394,-187.590117,0.015553
2980.000000,3.43443990,3.24695296,-187.486934,0.015605
2990.000000,3.43454170,3.24715199,-187.389713,0.015658
3000.000000,3.43466234,3.24735102,-187.311326,0.015710
3010.000000,3.43476391,3.24755004,-187.213866,0.015762
3020.000000,3.43486762,3.24774849,-187.119134,0.015814
3030.000000,3.43496752,3.24794603,-187.021491,0.015866
3040.000000,3.43507338,3.24814357,-186.929802,0.015919
3050.000000,3.43517518,3.24834112,-186.834061,0.015971
3060.000000,3.43528581,3.24853867,-186.747140,0.016023
3070.000000,3.43536282,3.24873617,-186.626650,0.016075
3080.000000,3.43545604,3.24893224,-186.523795,0.016127
3090.000000,3.43557024,3.24912832,-186.441920,0.016180
3100.000000,3.43566442,3.24932440,-186.340018,0.016232
3110.000000,3.43576527,3.24952047,-186.244792,0.016284
3120.000000,3.43586588,3.24971655,-186.149327,0.016336
3130.000000,3.43596578,3.24991166,-186.054121,0.016388
3140.000000,3.43605638,3.25010628,-185.950100,0.016441
3150.000000,3.43616033,3.25030089,-185.859431,0.016493
3160.000000,3.43624616,3.25049551,-185.750642,0.016545
3170.000000,3.43634820,3.25069013,-185.658066,0.016597
3180.000000,3.43642712,3.25088433,-185.542790,0.016649
3190.000000,3.43652487,3.25107749,-185.447381,0.016702
3200.000000,3.43660188,3.25127066,-185.331217,0.016754
3210.000000,3.43670630,3.25146383,-185.242472,0.016806
3220.000000,3.43679285,3.25165700,-185.135846,0.016858
3230.000000,3.43689585,3.25185018,-185.045670,0.016910
3240.000000,3.43697882,3.25204200,-184.936815,0.016962
3250.000000,3.43707037,3.25223374,-184.836631,0.017015
3260.000000,3.43715763,3.25242547,-184.732156,0.017067
3270.000000,3.43724060,3.25261721,-184.623390,0.017119
3280.000000,3.43731880,3.25280895,-184.509855,0.017171
3290.000000,3.43741035,3.25299985,-184.410503,0.017223
3300.000000,3.43750310,3.25319018,-184.312923,0.017276
3310.000000,3.43759131,3.25338049,-184.210827,0.017328
3320.000000,3.43767714,3.25357080,-184.106347,0.017380
3330.000000,3.43775558,3.25376111,-183.994476,0.017432
3340.000000,3.43782926,3.25395114,-183.878116,0.017484
3350.000000,3.43792701,3.25414002,-183.786988,0.017537
3360.000000,3.43800259,3.25432892,-183.673671,0.017589
3370.000000,3.43808269,3.25451781,-183.564884,0.017641
3380.000000,3.43816257,3.25470671,-183.455858,0.017693
3390.000000,3.43825030,3.25489560,-183.354700,0.017745
3400.000000,3.43832493,3.25508331,-183.241614,0.017798
3410.000000,3.43839383,3.25527081,-183.123026,0.017850
3420.000000,3.43848372,3.25545830,-183.025418,0.017902
3430.000000,3.43856573,3.25564579,-182.919943,0.017954
3440.000000,3.43863869,3.25583328,-182.805407,0.018006
3450.000000,3.43871927,3.25602010,-182.699169,0.018059
3460.000000,3.43880081,3.25620620,-182.594610,0.018111
3470.000000,3.43887258,3.25639230,-182.480277,0.018163
3480.000000,3.43895006,3.25657840,-182.371665,0.018215
3490.000000,3.43902540,3.25676449,-182.260908,0.018267
3500.000000,3.43910718,3.25695043,-182.156745,0.018319
3510.000000,3.43918538,3.25713515,-182.050232,0.018372
3520.000000,3.43926334,3.25731986,-181.943481,0.018424
3530.000000,3.43933010,3.25750458,-181.825524,0.018476
3540.000000,3.43940639,3.25768929,-181.717103,0.018528
3550.000000,3.43947673,3.25787401,-181.602723,0.018580
3560.000000,3.43956256,3.25805769,-181.504868,0.018633
3570.000000,3.43962407,3.25824103,-181.383039,0.018685
3580.000000,3.43970490,3.25842437,-181.280521,0.018737
3590.000000,3.43977332,3.25860771,-181.165606,0.018789
3600.000000,3.43983912,3.25879106,-181.048069,0.018841
3610.000000,3.43992233,3.25897387,-180.948459,0.018894
3620.000000,3.43998766,3.25915585,-180.831808,0.018946
3630.000000,3.44006085,3.25933783,-180.723024,0.018998
3640.000000,3.44013500,3.25951981,-180.615193,0.019050
3650.000000,3.44021344,3.25970179,-180.511655,0.019102
3660.000000,3.44027638,3.25988374,-180.392646,0.019155
3670.000000,3.44034743,3.26006436,-180.283068,0.019207
3680.000000,3.44041061,3.26024499,-180.165623,0.019259
3690.000000,3.44049072,3.26042562,-180.065106,0.019311
3700.000000,3.44053960,3.26060624,-179.933356,0.019363
3710.000000,3.44061947,3.26078687,-179.832601,0.019416
3720.000000,3.44068813,3.26096661,-179.721519,0.019468
3730.000000,3.44076037,3.26114590,-179.614476,0.019520
3740.000000,3.44082260,3.26132518,-179.497420,0.019572
3750.000000,3.44088507,3.26150446,-179.380603,0.019624
3760.000000,3.44096351,3.26168375,-179.279759,0.019676
3770.000000,3.44102836,3.26186264,-179.165712,0.019729
3780.000000,3.44109702,3.26204060,-179.056426,0.019781
3790.000000,3.44116569,3.26221855,-178.947140,0.019833
3800.000000,3.44123340,3.26239650,-178.836900,0.019885
