capacity_Ah,voltage_exp_V,voltage_sim_V,residual_V
0.0,4.0266,4.052213023660091,0.02561302366009066
0.00047224999999999996,4.0153,4.050825238539613,0.03552523853961276
0.00256949,4.0049,4.044662150204892,0.03976215020489171
0.00663895,3.9945,4.032703365585767,0.03820336558576676
0.012236180000000001,3.9841,4.016254974881913,0.03215497488191277
0.01977788,3.9738,4.001471141519044,0.027671141519043818
0.02927788,3.9637,3.9863272566177086,0.022627256617708813
0.040847379999999996,3.9535,3.973536461079683,0.020036461079683043
0.05533357999999999,3.9434,3.9620775706933746,0.018677570693374612
0.07327808,3.933,3.9526572246154736,0.01965722461547381
0.09611148,3.9228,3.9448299962051685,0.022029996205168434
0.12540348,3.9126,3.939213913855959,0.026613913855959126
0.16426448000000002,3.9023,3.9354043376192953,0.03310433761929543
0.20593148,3.8943,3.932656148430695,0.038356148430695125
0.24759848,3.8877,3.929501836366724,0.041801836366723855
0.28926547999999996,3.8814,3.925183609029042,0.04378360902904177
0.33093148,3.8762,3.9195441886382647,0.043344188638264836
0.37259848,3.8712,3.9127228908840412,0.041522890884041264
0.41426547999999996,3.8662,3.9049814163922827,0.03878141639228261
0.45593248,3.8614,3.8966048436863017,0.0352048436863015
0.49759948,3.8567,3.887855337071489,0.031155337071488987
0.53926548,3.8518,3.878950965456282,0.02715096545628226
0.58093248,3.8466,3.8700599641972895,0.023459964197289462
0.62259948,3.8413,3.8613054772698363,0.02000547726983637
0.66426648,3.8357,3.8527713896190887,0.017071389619088606
0.70593348,3.8296,3.8445097377993585,0.014909737799358336
0.74760048,3.8227,3.8365480368367075,0.013848036836707323
0.78926648,3.8157,3.828895778056178,0.013195778056177776
0.83093348,3.8077,3.821548034182401,0.01384803418240077
0.87260048,3.7992,3.8144904848954453,0.015290484895445378
0.91426748,3.7905,3.8077016108548665,0.017201610854866267
0.95593448,3.7813,3.8011549004205047,0.019854900420504862
0.9976014799999999,3.7714,3.794820141233548,0.023420141233548186
1.03926848,3.7618,3.7886640376542013,0.02686403765420131
1.0809384800000001,3.752,3.78264981379075,0.03064981379075027
1.1225984800000002,3.7429,3.776739382700198,0.03383938270019771
1.16426848,3.7334,3.7708852149511474,0.037485214951147316
1.2059384800000001,3.7241,3.7650372577769207,0.0409372577769207
1.2475984800000002,3.7153,3.7591357264103795,0.04383572641037947
1.28926848,3.7066,3.753102814227053,0.04650281422705316
1.3309384800000001,3.698,3.746846287759974,0.04884628775997424
1.3725984800000002,3.6895,3.7402505498549163,0.05075054985491656
