capacity_Ah,voltage_exp_V,voltage_sim_V,residual_V
0.0,3.9437,4.011701486866833,0.06800148686683238
0.00052084,3.9316,4.0102213928477495,0.0786213928477495
0.0021875,3.9208,4.005485171555518,0.08468517155551858
0.00531246,3.91,3.9966048347805505,0.08660483478055037
0.009916580000000001,3.8994,3.9835211037400358,0.08412110374003579
0.015812279999999998,3.8891,3.96676703280019,0.07766703280019005
0.02335388,3.8787,3.948870383664226,0.07017038366422623
0.03247878,3.8683,3.9357359107747936,0.0674359107747935
0.04366618,3.8579,3.9208832320117923,0.06298323201179246
0.05706178,3.8479,3.9099796264413986,0.06207962644139853
0.07376998,3.8376,3.8999833838600657,0.06238338386006559
0.09466548,3.8276,3.891596746453659,0.06399674645365927
0.12081108,3.8173,3.8846210377463404,0.06732103774634046
0.15697708000000002,3.8073,3.8775234121921622,0.0702234121921621
0.20578908,3.7971,3.8681441872706865,0.07104418727068662
0.26828808,3.7877,3.8538454593539484,0.06614545935394833
0.33078708,3.7795,3.8374413642683147,0.057941364268314643
0.39328708,3.7722,3.8203017026835218,0.04810170268352154
0.45578608,3.7649,3.8034976313248903,0.03859763132489036
0.51828508,3.7575,3.7876308223049797,0.030130822304979876
0.58078408,3.7499,3.7729431842341623,0.023043184234162517
0.64328308,3.7418,3.7594558677264525,0.017655867726452446
0.70578308,3.7327,3.7470681608376104,0.0143681608376105
0.76828208,3.7226,3.7356219318347708,0.01302193183477085
0.82553108,3.7124,3.725814330733425,0.013414330733424684
0.87919708,3.7021,3.717067902201762,0.014967902201761696
0.9290090799999999,3.6921,3.7092432375134856,0.017143237513485676
0.97573708,3.6818,3.70206920121319,0.02026920121318998
1.02152608,3.6718,3.69512382242437,0.023323822424369922
1.06654608,3.6617,3.6883033044850873,0.026603304485087076
1.11085608,3.6515,3.6815255314789748,0.0300255314789748
1.15696608,3.6413,3.6743233847429497,0.033023384742949524
1.20308608,3.631,3.6668774134792503,0.03587741347925055
1.25037608,3.6208,3.658881369837194,0.03808136983719379
1.29796608,3.6107,3.6503013229156713,0.03960132291567131
1.34694608,3.6007,3.6407617884839176,0.04006178848391784
1.39698608,3.5904,3.6300638004650936,0.03966380046509377
1.44800608,3.5804,3.6178811719955544,0.03748117199555434
1.4986460799999999,3.5703,3.60447536982676,0.03417536982676017
1.54883608,3.5601,3.589966751418423,0.02986675141842321
1.59974608,3.55,3.5745884339280725,0.02458843392807264
1.65095608,3.5398,3.5592496476192412,0.019449647619241173
1.70122608,3.5297,3.5450603349170393,0.015360334917039253
1.75078608,3.5195,3.5322831231495293,0.012783123149529452
1.79970608,3.5094,3.5209792345174877,0.01157923451748788
1.84730608,3.4994,3.511044165766945,0.011644165766945047
1.89539608,3.489,3.5019109586637693,0.012910958663769456
1.94401608,3.4788,3.4934752492557286,0.014675249255728495
1.99103608,3.4685,3.485909751304162,0.01740975130416178
2.03813608,3.4583,3.4788175163113872,0.020517516311387318
2.0844560800000003,3.4482,3.472244810400878,0.024044810400877914
2.13078608,3.4382,3.4660107621689704,0.02781076216897027
2.17730608,3.4281,3.4600270254012924,0.03192702540129222
2.22428608,3.4179,3.454217996994142,0.03631799699414184
2.27240608,3.4076,3.448470787026203,0.04087078702620284
2.3214460800000003,3.3976,3.442789241139557,0.04518924113955691
2.37090608,3.3875,3.4371942957339185,0.04969429573391837
2.42309608,3.3774,3.431407579053659,0.054007579053658716
2.4759460800000004,3.3672,3.4256343064922645,0.058434306492264554
2.53215608,3.3571,3.4195564026299263,0.062456402629926355
2.59027608,3.3469,3.4133020430956407,0.06640204309564046
2.65277608,3.3368,3.406569121345605,0.06976912134560465
2.71527608,3.3269,3.399782331784817,0.07288233178481685
2.77777608,3.3178,3.392890065423233,0.07509006542323293
2.84027608,3.3088,3.385833115831937,0.07703311583193662
2.90277608,3.3001,3.378541314691541,0.07844131469154103
2.96527608,3.2914,3.3709303822041514,0.07953038220415154
3.02777608,3.2833,3.3629004035616137,0.07960040356161358
3.09027608,3.2746,3.3543363220018865,0.07973632200188652
3.15277608,3.2667,3.345113610387567,0.078413610387567
3.21527608,3.2583,3.3351111516878245,0.07681115168782426
3.27776608,3.2499,3.324235259624152,0.074335259624152
3.34026608,3.2413,3.31244282287495,0.07114282287495
3.40276608,3.2326,3.2997847829810993,0.0671847829810992
3.46526608,3.2239,3.2864209317413926,0.06252093174139262
3.52776608,3.2146,3.272617323983418,0.0580173239834183
3.59026608,3.2055,3.2587075230882685,0.053207523088268704
3.65276608,3.1955,3.2450273736736315,0.04952737367363147
3.71390608,3.1855,3.2321241266106853,0.046624126610685046
3.7730360800000002,3.1754,3.2202300643284802,0.04483006432848047
3.82920608,3.1652,3.209489115545501,0.04428911554550119
3.88338608,3.1551,3.1995596858607303,0.044459685860730236
3.9337160800000004,3.145,3.190575060619439,0.04557506061943917
3.98273608,3.135,3.18185689887191,0.046856898871910246
4.02840608,3.1249,3.173524946711813,0.048624946711813166
4.07225608,3.1148,3.165052367022044,0.050252367022044275
4.11271608,3.1048,3.1565042349426293,0.051704234942629324
4.1516760800000005,3.0945,3.147248740785855,0.05274874078585512
4.18873608,3.0843,3.1371396327682493,0.052839632768249434
4.22363608,3.0742,3.125945028525193,0.05174502852519325
4.25613608,3.064,3.1137941167428815,0.04979411674288148
4.286926080000001,3.0539,3.1004693987980456,0.04656939879804556
4.31563608,3.0437,3.086280156273903,0.042580156273903214
4.34277608,3.0335,3.071177208307598,0.0376772083075978
4.36854608,3.0234,3.0555207703634117,0.032120770363411655
4.39146608,3.0134,3.0406038617583877,0.02720386175838785
4.4133360800000005,3.0033,3.0256561538116618,0.022356153811661894
4.433886080000001,2.9931,3.0111444165937917,0.018044416593791635
4.45321608,2.983,2.9972420063741807,0.014242006374180605
4.47181608,2.9729,2.983763556431854,0.010863556431853993
4.48933608,2.9628,2.971062524222824,0.00826252422282403
4.50587608,2.9528,2.9591136828651665,0.006313682865166648
4.52235608,2.9425,2.947273378867864,0.004773378867863887
4.53775608,2.9323,2.9362959167307228,0.003995916730722637
4.55354608,2.9223,2.925092774770673,0.002792774770673301
4.56802608,2.912,2.9148346295095093,0.002834629509509412
4.5825860800000005,2.9018,2.9045193951851997,0.0027193951851995912
4.59700608,2.8916,2.894209792261877,0.0026097922618770752
4.61089608,2.8814,2.884168886071345,0.002768886071344845
4.62519608,2.8713,2.873711109597982,0.002411109597981742
4.63852608,2.8612,2.8636187829472584,0.002418782947258169
4.6522160800000005,2.851,2.8530103583067796,0.002010358306779647
4.66575608,2.8406,2.842242411996901,0.001642411996901405
4.67935608,2.8305,2.8307729993147794,0.0002729993147796428
4.69231608,2.8203,2.8194795748236547,-0.0008204251763452852
4.70529608,2.8101,2.807628391451584,-0.0024716085484159933
4.71766608,2.7999,2.795564833749281,-0.004335166250719169
4.729776080000001,2.7897,2.7834486208151503,-0.006251379184849526
4.74173608,2.7793,2.7703435812735724,-0.008956418726427717
4.75306608,2.7692,2.757560815820838,-0.01163918417916232
4.76385608,2.759,2.744442597086108,-0.01455740291389196
4.77445608,2.7485,2.7310406751468657,-0.017459324853134284
4.78462608,2.7382,2.717231337802334,-0.02096866219766591
4.79425608,2.7279,2.7037233083419365,-0.024176691658063465
4.80333608,2.7176,2.689879423759387,-0.02772057624061297
4.81222608,2.7073,2.676325223986384,-0.03097477601361609
4.82070608,2.6967,2.6617982079473355,-0.034901792052664415
4.828876080000001,2.6867,2.647750861208258,-0.03894913879174222
4.83627608,2.6766,2.634361208326894,-0.04223879167310596
4.84347608,2.6662,2.6203516011022523,-0.04584839889774761
4.8504160800000005,2.656,2.6068478963607222,-0.04915210363927791
4.85706608,2.6456,2.593147424253585,-0.05245257574641515
4.86341608,2.6352,2.5791249696035594,-0.056075030396440795
4.86945608,2.6249,2.5657870757317256,-0.05911292426827419
4.87529608,2.6145,2.552800904296008,-0.061699095703992235
4.88070608,2.6041,2.539211011524799,-0.06488898847520064
4.885956080000001,2.5936,2.526023037948303,-0.06757696205169683
4.89089608,2.5834,2.513613782811564,-0.06978621718843625
4.89560608,2.5728,2.5017822865172215,-0.07101771348277852
