cycle,pulse_id,branch,step,SOC_start,SOC_end,I_A,pulse_time_s,relax_time_s,delta_V_pulse_V,delta_V_relax_V,capacity_increment_mAh,t_pulse_start_s,V_pulse_start_V,V_pulse_end_V,n_pulse_samples,n_relax_samples,relax_step,relax_coverage_s,V_relax_end_V,sqrt_t_slope_V_per_sqrt_s,sqrt_t_slope_stderr,sqrt_t_intercept_V,sqrt_t_r2,n_fit_samples,quad_sqrt_t_slope_V_per_sqrt_s,quad_sqrt_t_slope_stderr,quad_t_slope_V_per_s,quad_intercept_V,quad_r2,quad_n_fit_samples,sqrt_t_slope_excess_over_quad,ir_skip_s
1,1,lithiation,4,0.0,0.009629646462066254,4.41545e-05,1799.9799999999996,9000.0,-2.3852299452,0.36327934269999995,0.022077004697222218,23400.02,2.9485411644,0.5633112192,1801,90811,3,8999.970000000001,0.9265905619,-0.015419963318562846,0.00014791300452051453,1.1591248324512808,0.8620619464842832,1741,-0.04996877327535634,0.00031941788503729156,0.0006402617234626306,1.5683340632742375,0.9825808241185191,1741,0.0345488099567935,60.0
1,2,lithiation,4,0.009629646462066254,0.019259358351075163,4.41548e-05,1799.9800000000032,9000.0,-0.49057793619999995,0.2637710572,0.022077154695555594,34200.02,0.9101910591,0.4196131229,1801,90811,3,8999.970000000001,0.6833841801,-0.005827271224196222,9.540997292127146e-06,0.669931514188739,0.9953597993672538,1741,-0.006545553647223788,5.5285705850310096e-05,1.3311275921680102e-05,0.6784391240950868,0.9957809691548077,1741,0.0007182824230275667,60.0
1,3,lithiation,4,0.019259358351075163,0.028889048431103195,4.41547e-05,1799.9800000000032,9000.0,-0.33152711390000006,0.22281444069999995,0.02207710469611115,45000.02,0.6655469537,0.3340198398,1801,90811,3,8999.970000000001,0.5568342805,-0.006393123799614996,1.95739721352338e-05,0.59061976376362,0.9839598413873032,1741,-0.011103856147377949,3.201731717390599e-05,8.729972509969848e-05,0.6464154673797847,0.9988378602053163,1741,0.004710732347762953,60.0
1,4,lithiation,4,0.0288890484311032,0.0385187603201121,4.41548e-05,1799.9800000000032,9000.0,-0.26674443490000005,0.18492844700000005,0.022077154695555594,55800.02,0.5403915644,0.2736471295,1801,90811,3,8999.970000000001,0.4585755765,-0.005638670467354024,1.6095313506437205e-05,0.5010558444247806,0.9860287706885805,1741,-0.00957390246008964,2.020543697620688e-05,7.292808120004958e-05,0.5476662272099185,0.9994037752449458,1741,0.003935231992735617,60.0
1,5,lithiation,4,0.0385187603201121,0.048148472209120975,4.41548e-05,1799.979999999996,9000.0,-0.2114718557,0.15569442510000003,0.022077154695555504,66600.02,0.4415096641,0.2300378084,1801,90811,3,8999.970000000001,0.3857322335,-0.004509325584388359,1.4152770314618224e-05,0.4112914282151755,0.983158420672634,1741,-0.007988950684463722,1.537216320767669e-05,6.448471661281957e-05,0.4525054357641412,0.9994619688127815,1741,0.003479625100075363,60.0
1,6,lithiation,4,0.048148472209120975,0.05777818409812984,4.41548e-05,1799.979999999996,9000.0,-0.1742257178,0.13493016359999999,0.022077154695555504,77400.02,0.3679288626,0.1937031448,1801,90811,3,8999.970000000001,0.3286333084,-0.003676014129811924,1.2285186600677576e-05,0.3411433313436786,0.9809473903874788,1741,-0.006710619683756586,1.128663499983685e-05,5.623758920865011e-05,0.37708635242411437,0.9995645305584382,1741,0.0030346055539446624,60.0
1,7,lithiation,4,0.05777818409812984,0.06740789598713871,4.41548e-05,1799.979999999996,9000.0,-0.14491724970000003,0.11541590089999998,0.022077154695555504,88200.02,0.3119567335,0.1670394838,1801,90811,3,8999.970000000001,0.2824553847,-0.002946788752547712,1.1742594807359681e-05,0.28401826675780684,0.9731280178590265,1741,-0.005855212711495739,9.456756006026823e-06,5.389918028565249e-05,0.3184667450885226,0.9995280525012132,1741,0.002908423958948027,60.0
1,8,lithiation,4,0.06740789598713871,0.07703758606716671,4.41547e-05,1799.979999999996,9000.0,-0.11817300320000002,0.09725531940000001,0.02207710469611106,99000.02,0.2652080953,0.1470350921,1801,90811,3,8999.970000000001,0.2442904115,-0.0022589637325818586,1.0840727467952472e-05,0.23619385453470076,0.9614926282972149,1741,-0.004952806604549158,6.945781776092987e-06,4.9922543847396304e-05,0.2681007529481286,0.9995719376196561,1741,0.0026938428719672993,60.0
1,9,lithiation,4,0.07703758606716671,0.08666723252923293,4.41545e-05,1799.979999999996,9000.0,-0.0935934186,0.08339113000000001,0.02207700469722217,109800.02,0.2267244756,0.133131057,1801,90811,3,8999.970000000001,0.216522187,-0.0016455939825607937,8.699463886162762e-06,0.1979351040224466,0.9536521928032922,1741,-0.003802704731774326,6.551953567024022e-06,3.997577478698876e-05,0.2234847432600846,0.9992880924419772,1741,0.0021571107492135326,60.0
1,10,lithiation,4,0.08666723252923293,0.09629687899129917,4.41545e-05,1799.979999999996,9000.0,-0.07457396390000001,0.0824963749,0.02207700469722217,120600.02,0.2002979219,0.125723958,1801,90811,3,8999.970000000001,0.2082203329,-0.0011834829144813628,8.388725794258946e-06,0.17084001515341074,0.9196492703551,1741,-0.0032725433237487853,4.210191896084287e-06,3.871465962873508e-05,0.19558364031121828,0.9994519257746658,1741,0.0020890604092674223,60.0
