cell,model,rate,rmse_Qaligned_mV,mae_Qaligned_mV,bias_Qaligned_mV,Q_exp_Ah,Q_sim_Ah,cutoff_capacity_error_pct,initial_voltage_error_mV,common_end_voltage_error_mV,n_points,t_exp_s,t_sim_s,cutoff_time_error_pct
03,SPME,C10,81.44898449543462,64.52417308958194,64.52417308958194,5.00180595,5.1196263558733905,2.355557313721676,3.560223454783795,381.21073298565153,1214,36014.35998,36861.30976228495,2.351700218344271
03,SPME,C2,114.18554021513314,85.32003361633994,84.77691769439147,4.92379012,5.0550448404451735,2.665725330412214,-4.381266138617335,352.3517182575797,284,7090.30998,7279.264570240935,2.664969384609831
03,SPME,1C,62.86664800638257,56.6807773083911,56.6807773083911,4.93466859,4.978707653896805,0.892442179117137,17.61302369001605,127.09027606542821,176,3552.94998,3584.6695108056883,0.8927660390447846
03,SPME,1p5C,42.74048079129259,35.32916004375073,15.265663163887986,4.9317671,4.8962848737235,-0.7194627312490035,54.001486895994155,-93.13052167376324,138,2367.2800199999997,2350.2167393872805,-0.7207968837044955
