variant,time_s,soc_experiment,soc_model_average,soc_model_surface,voltage_sim_V,voltage_exp_V
A5_geom_only,0.0,0.0,0.0015151515151514,0.0015151515151514002,1.3722294052556052,3.0160996914
A5_geom_only,70.02000000000044,0.00043325185932337537,0.0017090966010200102,0.0017775317021568628,1.3231537956959951,1.2847762108
A5_geom_only,150.02000000000044,0.0009283376149395181,0.002145895648752922,0.0022212269025439924,1.2555723673737365,1.1034879684
A5_geom_only,230.02000000000044,0.0014234191519774933,0.002582700510999122,0.0026583964789302227,1.1973218702181785,0.9563981891
A5_geom_only,310.02000000000044,0.001918497900463798,0.0030195047845889378,0.0030955705347464196,1.146170378986288,0.8753169775
A5_geom_only,390.02000000000044,0.00241358422809054,0.003456306842118946,0.003532745323817351,1.1011028561812086,0.8065068722
A5_geom_only,470.02000000000044,0.002908668196173561,0.003893111423024173,0.003969924778016581,1.0612453688086585,0.7577255964
A5_geom_only,550.0200000000004,0.0034037521642565818,0.00432991499440559,0.004407103739522232,1.0258502956358078,0.7269951701
A5_geom_only,630.0200000000004,0.0038988282671938673,0.00476671452846893,0.004844280681211058,0.994278380514367,0.7066518068
A5_geom_only,710.0200000000004,0.0043939065866722225,0.005203512548596702,0.005281458465727744,0.9659838331802318,0.6915127039
A5_geom_only,790.0200000000004,0.0048889864076784,0.005640316120402377,0.005718645514595888,0.9405008666164055,0.6789465547
A5_geom_only,870.0200000000004,0.005384066514689878,0.006077118682177887,0.006155829604963502,0.9174337026915735,0.6677412391
A5_geom_only,960.0200000000004,0.005941030446368264,0.006568515913307923,0.006647660777185495,0.8939512711359607,0.6559622288
A5_geom_only,1040.0200000000004,0.006436111768902266,0.007005310905153564,0.007084841929074014,0.8749560551692377,0.6461623907
A5_geom_only,1120.0200000000004,0.006931190517388571,0.0074421018599000535,0.0075220220579867835,0.8574760205336632,0.6363824606
A5_geom_only,1200.0200000000004,0.007426272983943769,0.007878891805235794,0.007959202878815026,0.8413057589573287,0.6270896792
A5_geom_only,1280.0200000000004,0.007921352232939348,0.008315682255411546,0.008396386895916014,0.8262700273598299,0.6179020405
A5_geom_only,1360.0200000000004,0.008416429694401805,0.008752474219498218,0.008833573983337261,0.812219510314879,0.6095260382
A5_geom_only,1440.0200000000004,0.008911510587927857,0.009189273576435848,0.00927077233451451,0.799026483128734,0.6001324654
A5_geom_only,1520.0200000000004,0.009406593340488354,0.009626073614931802,0.00970796997834986,0.7865826987375837,0.5915697217
A5_geom_only,1600.0200000000004,0.009901677809080656,0.010062875672912306,0.010145174734877905,0.7747949247554774,0.5834258199
A5_geom_only,1680.0200000000004,0.010396763564696803,0.010499679748737332,0.010582380379215583,0.7635841813963559,0.5752137303
A5_geom_only,1760.0200000000004,0.010891845888249355,0.010936473730964727,0.01101957676596077,0.7528828606071984,0.5676487684
A5_geom_only,1840.0200000000004,0.011386927282284683,0.01137326519071009,0.011456775854353595,0.7426326059210067,0.5585923791
A5_geom_only,1930.0200000000004,0.011943896290557138,0.011864660692424341,0.01194863165173339,0.7315787925215734,0.5493432879
A5_geom_only,2010.0200000000004,0.012438976397568613,0.012301457198490597,0.012385838813210481,0.7221313301984017,0.5420066118
A5_geom_only,2090.0200000000004,0.012934057720102612,0.012738255218831443,0.012823050325777248,0.7130022929243647,0.5342252254
A5_geom_only,2170.0200000000004,0.013429141187676361,0.013175057276541197,0.013260267976586523,0.7041610030323422,0.5302929878
A5_geom_only,2250.0200000000004,0.013924226585785885,0.01361186185743752,0.013697489622395063,0.6955811660245919,0.5199002624
A5_geom_only,2330.0200000000004,0.01441931291341263,0.014048664924028434,0.01413471081070986,0.6872401946299872,0.5121892095
A5_geom_only,2410.0200000000004,0.014914394521951934,0.014485462943787001,0.014571928510473349,0.6791185797388893,0.5051593781
