variant,time_s,soc_experiment,soc_model_average,soc_model_surface,voltage_sim_V,voltage_exp_V
A5_geom_only,0.0,1.0,0.9582079957067061,0.9582079957067062,0.08009750995166146,0.0824038908
A5_geom_only,59.99900000001071,0.9999999381396278,0.9579672645530699,0.9566959364341456,0.08119492741611697,0.0966956839
A5_geom_only,129.9990000000107,0.9995667515814635,0.9575851344124202,0.9551168058775517,0.08139949846452017,0.1093002856
A5_geom_only,209.9990000000107,0.9990716659688499,0.9571483304114954,0.9538968408618647,0.08154939539975115,0.1107856184
A5_geom_only,279.9990000000107,0.9986384653964259,0.9567661300956329,0.9530228528738944,0.08165274191863922,0.1114801168
A5_geom_only,359.9990000000107,0.9981433794263057,0.9563293315394035,0.9521445017607197,0.08175334075088642,0.1120612025
A5_geom_only,429.9990000000107,0.9977101810704228,0.9559471333410882,0.9514441481009921,0.08183126203192315,0.1124718189
A5_geom_only,509.9990000000107,0.9972150954578093,0.9555103320230559,0.9506986667870967,0.08191205575882778,0.1129113585
A5_geom_only,579.9990000000107,0.9967818940273693,0.9551281280542481,0.95008320001382,0.08197709992697354,0.1132307947
A5_geom_only,649.9990000000107,0.9963486939554546,0.9547459273756161,0.9494947761536341,0.08203791778614264,0.1134968847
A5_geom_only,729.9990000000107,0.9958536094868622,0.9543091282698097,0.948849247236403,0.08210315951362372,0.1137874275
A5_geom_only,799.9990000000107,0.9954204081994249,0.9539269248647086,0.9483040942269392,0.08215707394529001,0.1140431464
A5_geom_only,879.9990000000107,0.994925323158822,0.9534901221033762,0.9476999806759019,0.08221554112429051,0.1142677218
A5_geom_only,949.9990000000107,0.9944921245169337,0.9531079239153515,0.9471856544864352,0.0822643133357757,0.1144448668
A5_geom_only,1029.9990000000107,0.9939970381178057,0.9526711231071776,0.9466118467635999,0.08231766425952129,0.1146568358
A5_geom_only,1099.9990000000107,0.9935638391184107,0.9522889229063609,0.9461205854546264,0.08236242881776534,0.1147717237
A5_geom_only,1169.9990000000107,0.9931306418350476,0.9519067211974225,0.9456382050670056,0.08240563160466062,0.1149229258
A5_geom_only,1249.9990000000107,0.9926355530763759,0.951469924847788,0.9450966571919388,0.08245317515270432,0.115021497
