t_s,V_exp,V_sim,residual_mV,cap_fraction
990.000000,3.40143347,3.20148013,-199.953341,0.005219
1000.000000,3.40169024,3.20174262,-199.947630,0.005271
1010.000000,3.40194941,3.20200509,-199.944312,0.005324
1020.000000,3.40220881,3.20226757,-199.941240,0.005376
1030.000000,3.40245891,3.20252991,-199.928993,0.005428
1040.000000,3.40271688,3.20279073,-199.926143,0.005480
1050.000000,3.40297890,3.20305123,-199.927668,0.005532
1060.000000,3.40321541,3.20331172,-199.903685,0.005585
1070.000000,3.40348268,3.20357221,-199.910464,0.005637
1080.000000,3.40371227,3.20383269,-199.879578,0.005689
1090.000000,3.40395522,3.20409215,-199.863072,0.005741
1100.000000,3.40419149,3.20435067,-199.840822,0.005793
1110.000000,3.40443611,3.20460920,-199.826907,0.005846
1120.000000,3.40466857,3.20486773,-199.800835,0.005898
1130.000000,3.40491414,3.20512626,-199.787881,0.005950
1140.000000,3.40512514,3.20538441,-199.740728,0.006002
1150.000000,3.40538096,3.20564105,-199.739916,0.006054
1160.000000,3.40560961,3.20589764,-199.711965,0.006106
1170.000000,3.40585041,3.20615423,-199.696177,0.006159
1180.000000,3.40607691,3.20641082,-199.666086,0.006211
1190.000000,3.40630794,3.20666734,-199.640597,0.006263
1200.000000,3.40653276,3.20692245,-199.610309,0.006315
1210.000000,3.40676403,3.20717712,-199.586906,0.006367
1220.000000,3.40698791,3.20743180,-199.556109,0.006420
1230.000000,3.40719080,3.20768647,-199.504333,0.006472
1240.000000,3.40741205,3.20794113,-199.470917,0.006524
1250.000000,3.40763640,3.20819496,-199.441444,0.006576
1260.000000,3.40785217,3.20844773,-199.404440,0.006628
1270.000000,3.40805888,3.20870050,-199.358379,0.006681
1280.000000,3.40828133,3.20895327,-199.328055,0.006733
1290.000000,3.40848207,3.20920604,-199.276036,0.006785
1300.000000,3.40870285,3.20945854,-199.244308,0.006837
1310.000000,3.40890884,3.20970954,-199.199303,0.006889
1320.000000,3.40912008,3.20996043,-199.159657,0.006942
1330.000000,3.40933204,3.21021131,-199.120728,0.006994
1340.000000,3.40954924,3.21046219,-199.087045,0.007046
1350.000000,3.40974808,3.21071303,-199.035043,0.007098
1360.000000,3.40995383,3.21096263,-198.991207,0.007150
1370.000000,3.41017485,3.21121163,-198.963213,0.007203
1380.000000,3.41036296,3.21146065,-198.902312,0.007255
1390.000000,3.41055822,3.21170966,-198.848565,0.007307
1400.000000,3.41076684,3.21195867,-198.808170,0.007359
1410.000000,3.41095829,3.21220703,-198.751263,0.007411
1420.000000,3.41116047,3.21245419,-198.706277,0.007463
1430.000000,3.41135383,3.21270135,-198.652476,0.007516
1440.000000,3.41155553,3.21294851,-198.607021,0.007568
1450.000000,3.41175985,3.21319566,-198.564190,0.007620
1460.000000,3.41195774,3.21344264,-198.515104,0.007672
1470.000000,3.41214991,3.21368816,-198.461743,0.007724
1480.000000,3.41233921,3.21393348,-198.405728,0.007777
1490.000000,3.41253614,3.21417880,-198.357346,0.007829
1500.000000,3.41271400,3.21442411,-198.289890,0.007881
1510.000000,3.41291595,3.21466941,-198.246534,0.007933
1520.000000,3.41311717,3.21491362,-198.203552,0.007985
1530.000000,3.41328192,3.21515710,-198.124813,0.008038
1540.000000,3.41348934,3.21540059,-198.088747,0.008090
1550.000000,3.41366553,3.21564408,-198.021449,0.008142
1560.000000,3.41386342,3.21588757,-197.975848,0.008194
1570.000000,3.41404247,3.21613059,-197.911885,0.008246
1580.000000,3.41423345,3.21637228,-197.861170,0.008299
1590.000000,3.41442442,3.21661395,-197.810465,0.008351
1600.000000,3.41459703,3.21685563,-197.741404,0.008403
1610.000000,3.41478920,3.21709731,-197.691893,0.008455
1620.000000,3.41497350,3.21733886,-197.634637,0.008507
1630.000000,3.41515446,3.21757906,-197.575398,0.008560
1640.000000,3.41532731,3.21781894,-197.508373,0.008612
1650.000000,3.41551900,3.21805882,-197.460184,0.008664
1660.000000,3.41570091,3.21829869,-197.402220,0.008716
1670.000000,3.41587114,3.21853857,-197.332577,0.008768
1680.000000,3.41604328,3.21877751,-197.265771,0.008820
1690.000000,3.41623735,3.21901560,-197.221752,0.008873
1700.000000,3.41641831,3.21925370,-197.164619,0.008925
1710.000000,3.41658020,3.21949179,-197.088413,0.008977
1720.000000,3.41675162,3.21972988,-197.021744,0.009029
1730.000000,3.41693902,3.21996763,-196.971394,0.009081
1740.000000,3.41710401,3.22020401,-196.899999,0.009134
1750.000000,3.41727996,3.22044033,-196.839630,0.009186
1760.000000,3.41745734,3.22067665,-196.780693,0.009238
1770.000000,3.41763377,3.22091297,-196.720803,0.009290
1780.000000,3.41780949,3.22114921,-196.660275,0.009342
1790.000000,3.41797924,3.22138421,-196.595031,0.009395
1800.000000,3.41814804,3.22161877,-196.529270,0.009447
1810.000000,3.41832304,3.22185333,-196.469707,0.009499
1820.000000,3.41849947,3.22208789,-196.411575,0.009551
1830.000000,3.41864347,3.22232246,-196.321019,0.009603
1840.000000,3.41883135,3.22255626,-196.275087,0.009656
1850.000000,3.41899824,3.22278908,-196.209161,0.009708
1860.000000,3.41915917,3.22302190,-196.137276,0.009760
1870.000000,3.41933441,3.22325471,-196.079698,0.009812
1880.000000,3.41948962,3.22348753,-196.002093,0.009864
1890.000000,3.41966057,3.22372009,-195.940475,0.009917
1900.000000,3.41982651,3.22395131,-195.875194,0.009969
1910.000000,3.41999364,3.22418240,-195.811241,0.010021
1920.000000,3.42015505,3.22441348,-195.741567,0.010073
1930.000000,3.42032552,3.22464456,-195.680953,0.010125
1940.000000,3.42048168,3.22487560,-195.606077,0.010177
1950.000000,3.42063570,3.22510553,-195.530175,0.010230
1960.000000,3.42081237,3.22533489,-195.477478,0.010282
