t_s,V_exp,V_sim,residual_mV,cap_fraction
0.000000,3.21070051,3.20971898,-0.981535,0.000052
10.000000,3.22552252,3.21145894,-14.063575,0.000104
20.000000,3.23668265,3.21225296,-24.429689,0.000157
30.000000,3.24650550,3.21286055,-33.644953,0.000209
40.000000,3.25530505,3.21338081,-41.924242,0.000261
50.000000,3.26324511,3.21384156,-49.403547,0.000313
60.000000,3.27041769,3.21427061,-56.147082,0.000365
70.000000,3.27694488,3.21467297,-62.271906,0.000418
80.000000,3.28287768,3.21505063,-67.827050,0.000470
90.000000,3.28830647,3.21541370,-72.892771,0.000522
100.000000,3.29325604,3.21576331,-77.492732,0.000574
110.000000,3.29781079,3.21610134,-81.709448,0.000626
120.000000,3.30199957,3.21642777,-85.571801,0.000679
130.000000,3.30587602,3.21674594,-89.130072,0.000731
140.000000,3.30946159,3.21705701,-92.404584,0.000783
150.000000,3.31281376,3.21736165,-95.452113,0.000835
160.000000,3.31591749,3.21765894,-98.258554,0.000888
170.000000,3.31881452,3.21795114,-100.863380,0.000940
180.000000,3.32152295,3.21823897,-103.283982,0.000992
190.000000,3.32407689,3.21852288,-105.554015,0.001044
200.000000,3.32645679,3.21880211,-107.654672,0.001096
210.000000,3.32869935,3.21907676,-109.622592,0.001149
220.000000,3.33080292,3.21934899,-111.453927,0.001201
230.000000,3.33283305,3.21961858,-113.214474,0.001253
240.000000,3.33468413,3.21988567,-114.798464,0.001305
250.000000,3.33646870,3.22014879,-116.319909,0.001357
260.000000,3.33816004,3.22040952,-117.750513,0.001410
270.000000,3.33978486,3.22066869,-119.116168,0.001462
280.000000,3.34131646,3.22092616,-120.390304,0.001514
290.000000,3.34277964,3.22118191,-121.597728,0.001566
300.000000,3.34418249,3.22143454,-122.747948,0.001618
310.000000,3.34551597,3.22168562,-123.830343,0.001671
320.000000,3.34679365,3.22193566,-124.857991,0.001723
330.000000,3.34801793,3.22218457,-125.833366,0.001775
340.000000,3.34918165,3.22243230,-126.749355,0.001827
350.000000,3.35032606,3.22267753,-127.648529,0.001879
360.000000,3.35141301,3.22292159,-128.491417,0.001932
370.000000,3.35245848,3.22316495,-129.293523,0.001984
380.000000,3.35347033,3.22340755,-130.062776,0.002036
390.000000,3.35444880,3.22364938,-130.799419,0.002088
400.000000,3.35539031,3.22388921,-131.501100,0.002141
410.000000,3.35631156,3.22412797,-132.183586,0.002193
420.000000,3.35717702,3.22436626,-132.810757,0.002245
430.000000,3.35803747,3.22460403,-133.433441,0.002297
440.000000,3.35886812,3.22484131,-134.026814,0.002349
450.000000,3.35967326,3.22507711,-134.596150,0.002402
460.000000,3.36045480,3.22531173,-135.143068,0.002454
470.000000,3.36122227,3.22554602,-135.676243,0.002506
480.000000,3.36195731,3.22577996,-136.177348,0.002558
490.000000,3.36267185,3.22601357,-136.658279,0.002610
500.000000,3.36337209,3.22624633,-137.125753,0.002663
510.000000,3.36406541,3.22647760,-137.587811,0.002715
520.000000,3.36472201,3.22670863,-138.013384,0.002767
530.000000,3.36537480,3.22693942,-138.435386,0.002819
540.000000,3.36601663,3.22716998,-138.846646,0.002871
550.000000,3.36664128,3.22740012,-139.241159,0.002924
560.000000,3.36724257,3.22762873,-139.613845,0.002976
570.000000,3.36783481,3.22785700,-139.977803,0.003028
580.000000,3.36840987,3.22808511,-140.324762,0.003080
590.000000,3.36897111,3.22831306,-140.658047,0.003132
600.000000,3.36954141,3.22854083,-141.000580,0.003185
610.000000,3.37008619,3.22876734,-141.318850,0.003237
620.000000,3.37060785,3.22899319,-141.614662,0.003289
630.000000,3.37113214,3.22921894,-141.913194,0.003341
640.000000,3.37164116,3.22944459,-142.196574,0.003394
650.000000,3.37214661,3.22967013,-142.476475,0.003446
660.000000,3.37263870,3.22989496,-142.743744,0.003498
670.000000,3.37312865,3.23011865,-143.010002,0.003550
680.000000,3.37358880,3.23034227,-143.246531,0.003602
690.000000,3.37406111,3.23056582,-143.495292,0.003655
700.000000,3.37452340,3.23078929,-143.734107,0.003707
710.000000,3.37496662,3.23101249,-143.954131,0.003759
720.000000,3.37542582,3.23123435,-144.191463,0.003811
730.000000,3.37585473,3.23145599,-144.398738,0.003863
740.000000,3.37629843,3.23167759,-144.620839,0.003916
750.000000,3.37672400,3.23189914,-144.824866,0.003968
760.000000,3.37712765,3.23212060,-145.007043,0.004020
770.000000,3.37754154,3.23234099,-145.200554,0.004072
780.000000,3.37793493,3.23256077,-145.374164,0.004124
790.000000,3.37836981,3.23278052,-145.589288,0.004177
800.000000,3.37873864,3.23300024,-145.738403,0.004229
810.000000,3.37912679,3.23321993,-145.906859,0.004281
820.000000,3.37952256,3.23343905,-146.083511,0.004333
830.000000,3.37989068,3.23365706,-146.233620,0.004385
840.000000,3.38028431,3.23387504,-146.409267,0.004438
850.000000,3.38062239,3.23409300,-146.529386,0.004490
860.000000,3.38095880,3.23431094,-146.647856,0.004542
870.000000,3.38138270,3.23452868,-146.854021,0.004594
880.000000,3.38171506,3.23474519,-146.969866,0.004647
890.000000,3.38204980,3.23496146,-147.088340,0.004699
900.000000,3.38238406,3.23517771,-147.206350,0.004751
910.000000,3.38272071,3.23539395,-147.326759,0.004803
920.000000,3.38305402,3.23561015,-147.443867,0.004855
930.000000,3.38341069,3.23582541,-147.585283,0.004908
940.000000,3.38372493,3.23604000,-147.684923,0.004960
950.000000,3.38404918,3.23625459,-147.794587,0.005012
960.000000,3.38439322,3.23646917,-147.924050,0.005064
970.000000,3.38469505,3.23668373,-148.011322,0.005116
980.000000,3.38500690,3.23689787,-148.109031,0.005169
990.000000,3.38531780,3.23711085,-148.206950,0.005221
