branch,soc_bin,soc_start_measured,soc_end_measured,n_pulses,I_A,Ds_app_m2_s,Ds_app_cm2_s,model,parameter_set,soc_start,current_A,pulse_time_s,x_avg_start,x_avg_end,x_surf_end,x_surf_excess,OCP_avg_start_V,OCP_avg_end_V,V_start_V,V_end_V,dV_total_mV,dE_equilibrium_mV,dE_polarisation_mV,dE_solid_mV,dE_other_mV,dE_reaction_mV,dE_electrolyte_mV,dE_concentration_var_mV,dE_solid_pybamm_mV,c_e_start_mol_m3,c_e_end_mol_m3,dc_e_mol_m3,dc_e_relative,f_solid,D_bias_predicted,dE_1term_mV,dE_2term_mV,drift_mV,r2_1term,r2_2term,m1,m2,b,D_bias_of_1term_fit,D_bias_of_2term_fit,dE_solid_over_dE_1term,dE_solid_over_dE_2term,R_m,D_eff_at_end_m2_s,tau_solid_s,Fourier_solid,u_prime_V_per_soc,Q_th_As,dE_solid_WH_predicted_mV,dE_polarisation_at_ir_skip_mV,n_eval,ir_skip_s,D_model_at_composition_m2_s,ratio_measured_Dapp_over_Dmodel,log10_ratio_measured,log10_ratio_predicted_f2
lithiation,0.05,0.06049125706672265,0.07057312759626955,6,4.41546e-05,1.383948308864174e-13,1.383948308864174e-09,SPM,sintef_graphite_ocp_lith_capmatch_v1_v2,0.06049125706672265,4.41546e-05,1799.9799999999814,0.060491257066722655,0.07185673232771551,0.07204594864313989,0.00018921631542437312,0.22617729266499592,0.19093492833908418,0.2253074065828766,0.18963351477029267,-35.67389181258393,-35.24236432591174,-1.3014135687915152,-0.49124991518384453,-0.8101636536076706,-0.7057713479719638,0.0,0.0,-0.49124991518384453,1000.0,1000.0,0.0,0.0,0.3774740996745687,0.14248669592512622,45.27978079747034,10.11635809537393,27.248266699712666,0.984141050679834,0.9997324249423037,-0.0010672605976597414,-0.000238446171709646,-1.513809414533103e-05,0.00011770538856085145,0.0023580694341706473,-0.010849211425760466,-0.048559957106350984,1.37e-05,4.1710682752516437e-13,449.9806467173604,4.000127590221843,-3.862333099115411,6.992879319182075,8.255325646614095,-1.445516025167043,181,60.0,4.1710682752516437e-13,0.3317970883084333,-0.47912742945430087,-0.8462256841188998
lithiation,0.05,0.06049125706672265,0.07057312759626955,6,4.41546e-05,1.383948308864174e-13,1.383948308864174e-09,SPMe,sintef_graphite_ocp_lith_capmatch_v1_v2,0.06049125706672265,4.41546e-05,1799.9799999999814,0.060491257066722655,0.0718567323277155,0.07204594864313989,0.000189216315424387,0.22617729266499592,0.19093492833908424,0.22524564278578438,0.18950438134588185,-35.74126143990253,-35.24236432591169,-1.4305469932023862,-0.49124991518390004,-0.9392970780184862,-0.7059032628252194,-0.12860631022533264,-0.06722603658305526,-0.49124991518390004,1000.0000000000002,999.5300924377804,-0.4699075622198734,-0.0004699075622198733,0.34340005432761106,0.11792359731220622,45.53068609052682,10.415119923778533,27.014017555643733,0.9844726974510865,0.9997255412094606,-0.0010731745249868458,-0.0002454880946590351,-1.5007954285960962e-05,0.00011641168823418102,0.00222472546999557,-0.01078942483333477,-0.047166995558288106,1.37e-05,4.171068275251644e-13,449.98064671736034,4.000127590221844,-3.862333099115411,6.992879319182075,8.255325646614095,-1.5743783444350234,181,60.0,4.171068275251644e-13,0.33179708830843324,-0.4791274294543009,-0.9283992809350629
lithiation,0.05,0.06049125706672265,0.07057312759626955,6,4.41546e-05,1.383948308864174e-13,1.383948308864174e-09,DFN,sintef_graphite_ocp_lith_capmatch_v1_v2,0.06049125706672265,4.41546e-05,1799.9799999999814,0.06049125706672268,0.07185673230853559,0.07204594864780041,0.00018921633926481662,0.2261772926649958,0.19093492838887977,0.225245916283658,0.18950492992123494,-35.740986362423065,-35.24236427611604,-1.4299984676448274,-0.49124997707925,-0.9387484905655774,-0.7059374201633661,-0.12802339381105118,-0.06704896489932073,-0.49124997707925,1000.0000000000002,999.5302457554242,-0.46975424457605186,-0.00046975424457605176,0.3435318206237848,0.11801411178109225,45.258012348733786,10.192472772351083,27.167071611395958,0.9837714644741303,0.9997228960547818,-0.0010667475075519818,-0.00024024022181789767,-1.5092985261723042e-05,0.00011781867465668785,0.002322982650851316,-0.01085443110700362,-0.04819733032908893,1.37e-05,4.171068327865939e-13,449.9806410412571,4.0001276406798745,-3.862333099115411,6.992879319182075,8.255325594547323,-1.5718151926857604,181,60.0,4.171068327865939e-13,0.3317970841231098,-0.4791274349325373,-0.9280660579293027
lithiation,0.1,0.1004641546061363,0.1105106588027173,17,4.41546e-05,2.1962465308681152e-14,2.1962465308681152e-10,SPM,sintef_graphite_ocp_lith_capmatch_v1_v2,0.1004641546061363,4.41546e-05,1799.9799999999814,0.1004641546061363,0.11182962986712916,0.11212321824960739,0.00029358838247822705,0.14097027021595038,0.12983914850769976,0.1402588472314729,0.12891847563103065,-11.34037160044224,-11.13112170825062,-0.9206728766691097,-0.23791806333450793,-0.6827548133346018,-0.5783625076988894,0.0,0.0,-0.23791806333450793,1000.0,1000.0,0.0,0.0,0.2584175871404712,0.06677964934350303,14.208245203507602,4.159594450425494,7.730975412102027,0.986851400961414,0.9997091091549477,-0.0003348934115961719,-9.804312611494073e-05,-4.2950340626574226e-06,0.0002803973759627628,0.0032715446490515572,-0.016745070198800685,-0.05719741820267377,1.37e-05,2.6896938929094106e-13,697.8117491168405,2.5794635906862546,-1.2286170183487772,6.992879319182075,3.2701918453454124,-0.9899182385526561,181,60.0,2.6896938929094106e-13,0.08165414423767238,-1.0880217683813433,-1.1753558657336023
lithiation,0.1,0.1004641546061363,0.1105106588027173,17,4.41546e-05,2.1962465308681152e-14,2.1962465308681152e-10,SPMe,sintef_graphite_ocp_lith_capmatch_v1_v2,0.1004641546061363,4.41546e-05,1799.9799999999814,0.1004641546061363,0.11182962986712913,0.11212321824960733,0.0002935883824781993,0.14097027021595038,0.1298391485076998,0.1401970461923981,0.12878934967855793,-11.40769651384016,-11.13112170825059,-1.049798829141857,-0.23791806333448018,-0.8118807658073768,-0.5784869506140964,-0.12860631022533198,-0.06722603658305049,-0.23791806333448018,1000.0000000000002,999.5300924377816,-0.46990756221862284,-0.0004699075622186227,0.22663205247519935,0.05136208720912151,14.326485132667974,4.226065403006226,7.682077874074001,0.9867785511806508,0.9996858118367163,-0.00033768036893652183,-9.960987019649086e-05,-4.267868461912955e-06,0.00027578810147416117,0.003169439047410841,-0.016606869105107114,-0.05629777124727799,1.37e-05,2.6896938929094116e-13,697.8117491168402,2.579463590686256,-1.2286170183487772,6.992879319182075,3.270191845345411,-1.1193979948934119,181,60.0,2.6896938929094116e-13,0.08165414423767234,-1.0880217683813436,-1.2893573360882344
lithiation,0.1,0.1004641546061363,0.1105106588027173,17,4.41546e-05,2.1962465308681152e-14,2.1962465308681152e-10,DFN,sintef_graphite_ocp_lith_capmatch_v1_v2,0.1004641546061363,4.41546e-05,1799.9799999999814,0.10046415460613635,0.11182962985279009,0.11212321837753425,0.0002935885247441622,0.14097027021595032,0.12983914851931985,0.14019745400415956,0.128789931954241,-11.407522049918573,-11.13112169663047,-1.0492165650788643,-0.23791817862392484,-0.8112983864549395,-0.5784985457906455,-0.12801210728771212,-0.06704286708533849,-0.23791817862398035,1000.0000000000002,999.5302969816382,-0.46970301836199724,-0.0004697030183619971,0.22675793210150255,0.05141915977094964,14.210386582083647,4.16445707499689,7.727759911689879,0.986874582252639,0.9997101009340906,-0.00033494388465365224,-9.815773991197911e-05,-4.293247653690574e-06,0.00028031314722612303,0.0032639122403607624,-0.016742554979038385,-0.05713065937271127,1.37e-05,2.689694220706408e-13,697.8116640734945,2.5794639050493213,-1.2286170183487772,6.992879319182075,3.270191646073857,-1.1172800672549776,181,60.0,2.689694220706408e-13,0.08165413428636151,-1.088021821309455,-1.2888750243446851
lithiation,0.15000000000000002,0.141550227201384,0.1516609511733363,25,4.41546e-05,8.510777078196417e-16,8.510777078196417e-12,SPM,sintef_graphite_ocp_lith_capmatch_v1_v2,0.141550227201384,4.41546e-05,1799.9799999999814,0.141550227201384,0.15291570246237696,0.15337358775836107,0.0004578852959841173,0.11593319547837917,0.11263527194457913,0.11530531125826825,0.11189826819217102,-3.4070430660972235,-3.29792353380004,-0.737003752408108,-0.12620270158580915,-0.6108010508222989,-0.5064087451865625,0.0,0.0,-0.12620270158580915,1000.0,1000.0,0.0,0.0,0.17123752921671115,0.029322291412244003,4.327358002441143,0.3785120893893393,3.004161794711105,0.978463171969356,0.9999430053455097,-0.00010199737292524652,-8.921665070553356e-06,-1.6689973192541782e-06,0.0008505339465925642,0.11116748831875697,-0.029163915145133792,-0.333417888420458,1.37e-05,1.7260149108118407e-13,1087.4181840741976,1.6552785546182882,-0.33086678232341266,6.992879319182075,1.0993577169979771,-0.7306920315707788,181,60.0,1.7260149108118407e-13,0.004930882708419551,-2.3070753279681537,-1.5328020944398781
lithiation,0.15000000000000002,0.141550227201384,0.1516609511733363,25,4.41546e-05,8.510777078196417e-16,8.510777078196417e-12,SPMe,sintef_graphite_ocp_lith_capmatch_v1_v2,0.141550227201384,4.41546e-05,1799.9799999999814,0.141550227201384,0.15291570246237696,0.15337358775836107,0.0004578852959841173,0.11593319547837917,0.11263527194457913,0.11524350172719688,0.11176915304741669,-3.4743486797801926,-3.29792353380004,-0.8661188971624406,-0.12620270158580915,-0.7399161955766315,-0.5065223803833271,-0.12860631022533123,-0.06722603658304571,-0.12620270158580915,1000.0000000000002,999.5300924377824,-0.46990756221782704,-0.0004699075622178269,0.14571059700841493,0.021231578080548697,4.328660432341411,0.37896611134699737,3.0038572377532424,0.9785145523445964,0.9999430469881178,-0.00010202807166294552,-8.932366530174996e-06,-1.6688281190642526e-06,0.0008500221974239145,0.11090127851909805,-0.029155140154420705,-0.3330184357045388,1.37e-05,1.7260149108118404e-13,1087.4181840741976,1.6552785546182882,-0.33086678232341266,6.992879319182075,1.0993577169979771,-0.8597710893467336,181,60.0,1.7260149108118404e-13,0.004930882708419551,-2.3070753279681537,-1.6730177248069835
lithiation,0.15000000000000002,0.141550227201384,0.1516609511733363,25,4.41546e-05,8.510777078196417e-16,8.510777078196417e-12,DFN,sintef_graphite_ocp_lith_capmatch_v1_v2,0.141550227201384,4.41546e-05,1799.9799999999814,0.141550227201384,0.1529157024514603,0.15337358910357138,0.00045788665211107804,0.11593319547837917,0.11263527194758799,0.11524399236310179,0.11176976910989542,-3.474223253206371,-3.297923530791183,-0.8655028376925722,-0.1262030753625687,-0.7392997623300035,-0.5065276821835663,-0.12798420469849162,-0.06702798073491087,-0.12620307536259645,1000.0000000000002,999.5304222344236,-0.4695777655766733,-0.0004695777655766732,0.14581474475465117,0.02126193978786407,4.329402200708246,0.38419321225751646,3.0010203323640194,0.9785421785662164,0.9999438522606122,-0.00010204555540815303,-9.05557116463957e-06,-1.6672520430027282e-06,0.0008497359824356717,0.1079047345746909,-0.029150231258699675,-0.32848856079731437,1.37e-05,1.7260166400872636e-13,1087.4170946029278,1.655280213023731,-0.33086678232341266,6.992879319182075,1.0993571662811668,-0.8575594963416144,181,60.0,1.7260166400872636e-13,0.004930877768227154,-2.3070757630828176,-1.6723971160716502
lithiation,0.2,0.1910073474232504,0.201060250672581,23,4.41546e-05,1.3551558393152674e-15,1.3551558393152674e-11,SPM,sintef_graphite_ocp_lith_capmatch_v1_v2,0.1910073474232504,4.41546e-05,1799.9799999999814,0.19100734742325043,0.2023728226842433,0.2031430635165421,0.0007702408322987908,0.1013783364432956,0.0978274698205123,0.10080972337162487,0.09703012691780127,-3.7795964538235998,-3.550866622783297,-0.7973429027110235,-0.23939488561110223,-0.5579480170999213,-0.4535557114641906,0.0,0.0,-0.23939488561110223,1000.0,1000.0,0.0,0.0,0.3002408183444567,0.09014454900014905,4.723517520149282,0.1217768231829899,3.4997574433471073,0.9756336715296415,0.9999895862627473,-0.0001113349941811649,-2.87032319508586e-06,-1.944331294429462e-06,0.0025686129919000114,3.864563567188088,-0.050681485691522615,-1.9658493246401383,1.37e-05,1.0275865831824189e-13,1826.5127539786197,0.9854735457385431,-0.30866067606994874,6.992879319182075,1.3291690603460782,-0.7261608170972406,181,60.0,1.0275865831824189e-13,0.013187753338685796,-1.8798291844170756,-1.0450605297372602
lithiation,0.2,0.1910073474232504,0.201060250672581,23,4.41546e-05,1.3551558393152674e-15,1.3551558393152674e-11,SPMe,sintef_graphite_ocp_lith_capmatch_v1_v2,0.1910073474232504,4.41546e-05,1799.9799999999814,0.19100734742325043,0.20237282268424323,0.2031430635165417,0.0007702408322984855,0.1013783364432956,0.09782746982051232,0.10074791050466278,0.09690102157977906,-3.846888924883718,-3.550866622783269,-0.926448240733263,-0.23939488561100508,-0.687053355122258,-0.4536595399289493,-0.12860631022533064,-0.06722603658305547,-0.23939488561100508,1000.0000000000002,999.5300924377827,-0.469907562217486,-0.0004699075622174859,0.2584007126199834,0.06677092828251524,4.723540403112486,0.1219796881361314,3.4996205618166973,0.9756357298656896,0.9999895548497776,-0.00011133553354077653,-2.8751047944514233e-06,-1.944255248289833e-06,0.0025685881049152016,3.8517199110827494,-0.050681240167493945,-1.962579912024667,1.37e-05,1.0275865831824154e-13,1826.5127539786256,0.9854735457385397,-0.30866067606994874,6.992879319182075,1.3291690603460804,-0.8551620211939143,181,60.0,1.0275865831824154e-13,0.01318775333868584,-1.879829184417074,-1.1754125859475624
lithiation,0.2,0.1910073474232504,0.201060250672581,23,4.41546e-05,1.3551558393152674e-15,1.3551558393152674e-11,DFN,sintef_graphite_ocp_lith_capmatch_v1_v2,0.1910073474232504,4.41546e-05,1799.9799999999814,0.19100734742325023,0.20237282267460116,0.2031430648709946,0.0007702421963934336,0.10137833644329565,0.09782746982350914,0.10074847305387989,0.09690161802716618,-3.846855026713711,-3.5508666197865137,-0.9258517963429552,-0.2393953095788659,-0.6864564867640893,-0.4536623775708293,-0.12800634594709065,-0.06703985833655803,-0.23939530957883814,1000.0000000000002,999.5303222867906,-0.4696777132096486,-0.00046967771320964845,0.2585676352570242,0.0668572220024095,4.725032813087625,0.12760592692721087,3.496476664947878,0.9756934343863307,0.9999896049125321,-0.00011137071017666055,-3.0077172512475784e-06,-1.94250861951128e-06,0.0025669748671577567,3.5195697880954224,-0.05066532213612933,-1.8760516485681897,1.37e-05,1.0275873697951357e-13,1826.511355792731,0.985474300113927,-0.30866067606994874,6.992879319182075,1.329168551610025,-0.8529182290475668,181,60.0,1.0275873697951357e-13,0.013187743243530106,-1.8798295168673402,-1.1748516728240526
lithiation,0.25,0.2412720230428384,0.2513249490597312,19,4.41546e-05,3.029240935010443e-15,3.029240935010443e-11,SPM,sintef_graphite_ocp_lith_capmatch_v1_v2,0.2412720230428384,4.41546e-05,1799.9799999999814,0.2412720230428384,0.25263749830383125,0.25391041130421393,0.0012729130003826805,0.08655690650542712,0.08386655046638775,0.08602600815565545,0.08307114207183271,-2.9548660838227407,-2.690356039039374,-0.7954083945550389,-0.27175363578306466,-0.5236547587719742,-0.4192624531362342,0.0,0.0,-0.27175363578306466,1000.0,1000.0,0.0,0.0,0.34165296424245933,0.1167267479756592,3.5814508950875314,0.4752042974404974,2.3623907488211118,0.9805218631862186,0.9999224818904558,-8.441607612627132e-05,-1.1200734932116916e-05,-1.3124538877216058e-06,0.005757483797770884,0.32703181711602974,-0.07587808509557212,-0.5718669575312336,1.37e-05,6.231194430942865e-14,3012.1030900266724,0.5975824685283405,-0.24970037044637747,6.992879319182075,1.380834623899712,-0.7092560521430036,181,60.0,6.231194430942865e-14,0.048614129579520715,-1.3132374857466294,-0.9328296138160964
lithiation,0.25,0.2412720230428384,0.2513249490597312,19,4.41546e-05,3.029240935010443e-15,3.029240935010443e-11,SPMe,sintef_graphite_ocp_lith_capmatch_v1_v2,0.2412720230428384,4.41546e-05,1799.9799999999814,0.2412720230428384,0.2526374983038315,0.2539104113035868,0.001272912999755349,0.08655690650542712,0.08386655046638769,0.08596419395677768,0.08294204369295274,-3.022150263824935,-2.6903560390394294,-0.9245067734349466,-0.27175363564913013,-0.6527531377858165,-0.4193593225924973,-0.12860631022533106,-0.06722603658305135,-0.27175363564913013,1000.0000000000002,999.5300924377826,-0.46990756221759966,-0.00046990756221759956,0.2939444506603739,0.08640334007402899,3.5814771159661754,0.4754086482939592,2.362255275801983,0.9805242963671653,0.9999224541468673,-8.441669416174146e-05,-1.1205551554683474e-05,-1.3123786240969386e-06,0.005757399488482255,0.3267507328542532,-0.07587752953597168,-0.5716211445129136,1.37e-05,6.231194430880796e-14,3012.103090056676,0.597582468522388,-0.24970037044637747,6.992879319182075,1.3808346239065894,-0.8382565065420816,181,60.0,6.231194430880796e-14,0.04861412958000496,-1.3132374857423035,-1.0634694687747839
