dataset,cell,window,chemistry,model,parameter_set,parameter_match_grade,parameter_match_level,protocol,c_rate,initial_state_value,time_s,elapsed_fraction,q_fraction,current_A,abs_current_A,dI_dt_A_s,abs_dI_dt_A_s,voltage_exp_V,voltage_sim_V,residual_mV,abs_residual_mV
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,660.0,0.018340858159482814,0.0183408756784585,0.499886,0.499886,1.01999999999991e-05,1.01999999999991e-05,4.1163,4.126560848962093,10.260848962093227,10.260848962093227
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,690.0,0.019174533530368396,0.019174549844763123,0.49958,0.49958,-1.01999999999991e-05,1.01999999999991e-05,4.1149,4.12530783046252,10.407830462520806,10.407830462520806
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,720.0,0.02000820890125398,0.0200081639841267,0.500191,0.500191,2.0366666666667608e-05,2.0366666666667608e-05,4.1134,4.124038742131509,10.638742131508394,10.638742131508394
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,750.0,0.020841884272139562,0.020841938195333073,0.499886,0.499886,-1.0166666666668507e-05,1.0166666666668507e-05,4.1123,4.122830037268281,10.530037268281056,10.530037268281056
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,780.0,0.021675559643025144,0.021675512316735944,0.499733,0.499733,-5.100000000000475e-06,5.100000000000475e-06,4.1112,4.121642354754931,10.442354754930605,10.442354754930605
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,810.0,0.022509235013910726,0.02250928652794232,0.499886,0.499886,5.100000000000475e-06,5.100000000000475e-06,4.1099,4.12046263476845,10.56263476845043,10.56263476845043
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,840.0,0.02334291038479631,0.023342860649345196,0.499886,0.499886,0.0,0.0,4.1086,4.119309079567689,10.70907956768874,10.70907956768874
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,870.0,0.024176585755681892,0.02417663486055157,0.500038,0.500038,5.066666666666183e-06,5.066666666666183e-06,4.1076,4.118169210863146,10.569210863145884,10.569210863145884
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,900.0,0.025010261126567474,0.025010208981954444,0.499733,0.499733,-1.0166666666666657e-05,1.0166666666666657e-05,4.1062,4.117069876429039,10.869876429039138,10.869876429039138
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,930.0,0.025843936497453056,0.02584398319316082,0.499886,0.499886,5.100000000000475e-06,5.100000000000475e-06,4.1051,4.115972038452175,10.87203845217477,10.87203845217477
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,960.0,0.02667761186833864,0.026677557314563696,0.499428,0.499428,-1.526666666666713e-05,1.526666666666713e-05,4.1041,4.114919843499765,10.819843499764836,10.819843499764836
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,990.0,0.027511287239224223,0.027511331525770073,0.500191,0.500191,2.543333333333564e-05,2.543333333333564e-05,4.1028,4.113833331666862,11.033331666861379,11.033331666861379
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1020.0,0.028344962610109804,0.028344905647172944,0.500191,0.500191,0.0,0.0,4.1021,4.112791990764628,10.691990764628123,10.691990764628123
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1050.0,0.029178637980995386,0.029178679858379315,0.499733,0.499733,-1.526666666666898e-05,1.526666666666898e-05,4.1007,4.111793077411557,11.093077411556962,11.093077411556962
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1080.0,0.03001231335188097,0.03001225397978219,0.499886,0.499886,5.100000000000475e-06,5.100000000000475e-06,4.0998,4.110788553140657,10.988553140657054,10.988553140657054
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1110.0,0.030845988722766553,0.030846028190988566,0.499733,0.499733,-5.100000000000475e-06,5.100000000000475e-06,4.0992,4.109813000438759,10.613000438759457,10.613000438759457
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1140.0,0.03167966409365214,0.03167960231239144,0.500343,0.500343,2.0333333333333314e-05,2.0333333333333314e-05,4.0981,4.1088209656922565,10.72096569225689,10.72096569225689
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1170.0,0.032513339464537716,0.032513376523597814,0.500038,0.500038,-1.0166666666666657e-05,1.0166666666666657e-05,4.097,4.107882436794758,10.88243679475731,10.88243679475731
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1200.0,0.0333470148354233,0.033346950645000685,0.499733,0.499733,-1.0166666666666657e-05,1.0166666666666657e-05,4.0963,4.106966154110864,10.666154110864134,10.666154110864134
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1230.0,0.03418069020630888,0.034180724856207066,0.500496,0.500496,2.543333333333564e-05,2.543333333333564e-05,4.0954,4.1060198520517925,10.619852051792833,10.619852051792833
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1260.0,0.035014365577194465,0.03501429897760994,0.500191,0.500191,-1.0166666666666657e-05,1.0166666666666657e-05,4.0945,4.105131269761002,10.631269761002038,10.631269761002038
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,1290.0,0.03584804094808005,0.03584807318881631,0.500191,0.500191,0.0,0.0,4.0938,4.104250854039086,10.450854039086188,10.450854039086188
