time_s,voltage_exp_V,voltage_sim_V,residual_V
0.0,0.1100081354,0.11666139761463169,0.006653262214631694
70.0,0.1110087186,0.1169218880459181,0.005913169445918104
140.0,0.1116424352,0.11726054690370781,0.005618111703707809
220.0,0.1121872067,0.11690694180297226,0.004719735102972258
290.0,0.1125911474,0.11638028384269593,0.003789136442695934
370.0,0.1129839867,0.11581768786638905,0.0028337011663890493
440.0,0.1132937968,0.11543786462468716,0.0021440678246871653
510.0,0.1135895252,0.11510663302650236,0.0015171078265023563
590.0,0.1138600558,0.11479755715448993,0.0009375013544899308
660.0,0.1140950322,0.11459498494837926,0.0004999527483792593
740.0,0.1143173873,0.11435780172814924,4.041442814924079e-05
810.0,0.1145100892,0.11415965093785788,-0.00035043826214212204
890.0,0.1146813035,0.11395872475030612,-0.0007225787496938779
960.0,0.1148287952,0.11379116364046504,-0.0010376315595349572
1030.0,0.1149399728,0.11363410144658692,-0.0013058713534130767
1110.0,0.1150837541,0.11351109391328634,-0.001572660186713662
1180.0,0.1151356399,0.11343471889861755,-0.0017009210013824577
1260.0,0.1152364463,0.11330039117694098,-0.0019360551230590273
1330.0,0.1152727753,0.11317678122492415,-0.002095994075075852
1410.0,0.1153468937,0.1130293981134211,-0.0023174955865788993
1480.0,0.115393579,0.11294193769536706,-0.0024516413046329344
1550.0,0.1153735667,0.11285152515078958,-0.002522041549210416
1630.0,0.1154165566,0.11275818402384183,-0.002658372576158169
1700.0,0.1154069304,0.11272068377423568,-0.0026862466257643186
1780.0,0.1153965443,0.11264676105028107,-0.0027497832497189317
1850.0,0.1153794974,0.11257026414777906,-0.0028092332522209468
1920.0,0.1153239161,0.11251358495627406,-0.002810331143725947
2000.0,0.1153090894,0.11248654351573407,-0.00282254588426592
2070.0,0.1152890772,0.11247513906338681,-0.002813938136613195
2150.0,0.1152119786,0.11243664593268739,-0.0027753326673126133
2220.0,0.115163058,0.11237801127374866,-0.002785046726251336
2300.0,0.1150985807,0.11238501900426266,-0.002713561695737332
2370.0,0.1150644869,0.11237608949627903,-0.0026883974037209685
2440.0,0.1150103807,0.11241799608086823,-0.002592384619131763
2520.0,0.1149755418,0.11240621540565945,-0.002569326394340543
2590.0,0.114906624,0.11241519248782458,-0.0024914315121754155
2670.0,0.1148577034,0.11244721356665488,-0.002410489833345117
2740.0,0.1147813648,0.11246533658914266,-0.0023160282108573294
2820.0,0.1147576421,0.11253567316555808,-0.0022219689344419175
2890.0,0.1146798134,0.11259915942504237,-0.0020806539749576303
2960.0,0.1146301627,0.11267007238556212,-0.001960090314437876
3040.0,0.1145901382,0.11280265374730114,-0.0017874844526988565
3110.0,0.114544183,0.11290457476133679,-0.001639608238663201
3190.0,0.1144826561,0.11299673584378779,-0.001485920256212206
3260.0,0.1144337505,0.11315109507426485,-0.0012826554257351491
3330.0,0.1143877953,0.11330251722819434,-0.0010852780718056537
3410.0,0.1143196076,0.11344428358853255,-0.0008753240114674488
3480.0,0.1142536402,0.11361429886624787,-0.0006393413337521386
3560.0,0.1142047197,0.11383591491882589,-0.00036880478117411186
3630.0,0.1141357869,0.1139991807680508,-0.00013660613194919902
3710.0,0.1141076237,0.1142779744937995,0.0001703507937995119
3780.0,0.1140727848,0.11448823185153484,0.0004154470515348452
3850.0,0.1140127629,0.1147288296071117,0.0007160667071117038
3930.0,0.1139801443,0.11502532574886744,0.0010451814488674355
4000.0,0.1139490157,0.11528381191426088,0.0013347962142608721
4080.0,0.1138711721,0.1155897186937515,0.0017185465937514938
4150.0,0.1138222516,0.11592620440389582,0.002103952803895831
4230.0,0.1137881577,0.11627387298785999,0.0024857152878599853
4300.0,0.1137340516,0.11661416000937946,0.002880108409379467
4370.0,0.1137029231,0.11696337972559212,0.0032604566255921147
4450.0,0.1136740297,0.117362337001726,0.003688307301726007
4520.0,0.1136213988,0.11772458883238254,0.004103190032382548
4600.0,0.1135798991,0.11815409583298565,0.004574196732985647
4670.0,0.1135687828,0.11853571175217446,0.00496692895217446
4750.0,0.1135035455,0.11898511943725193,0.005481573937251932
4820.0,0.1135065109,0.11940552803543358,0.005899017135433587
4890.0,0.1134709418,0.11983144975190557,0.00636050795190557
4970.0,0.1133946031,0.12031225577710429,0.006917652677104286
5040.0,0.1133605093,0.1207230532019472,0.0073625439019472105
5120.0,0.1133278906,0.12124553990460397,0.00791764930460398
5190.0,0.1133145541,0.12169393498769673,0.008379380887696727
5260.0,0.113322705,0.1221196816793312,0.0087969766793312
5340.0,0.1132723093,0.12257765221328566,0.009305342913285664
5410.0,0.1132285744,0.12299331012160003,0.009764735721600026
5490.0,0.1132293195,0.12346088249903148,0.010231562999031482
5560.0,0.1131500155,0.12384410287824525,0.010694087378245246
5640.0,0.1131692827,0.12429315106998476,0.01112386836998476
5710.0,0.113101095,0.12468329951034451,0.011582204510344515
5780.0,0.1130803376,0.12505862474304366,0.011978287143043664
5860.0,0.1130543947,0.12546888536916115,0.012414490669161143
5930.0,0.1130284518,0.12581336131386883,0.012784909513868833
6010.0,0.1129921377,0.1262009202845042,0.013208782584504197
6080.0,0.1129654646,0.12654835845593657,0.01358289385593657
6160.0,0.1129254401,0.12693105565665275,0.01400561555665275
6230.0,0.1129017174,0.12725658682535443,0.014354869425354425
6300.0,0.1128750294,0.1276067526395949,0.014731723239594902
6380.0,0.1128772497,0.12799619433809067,0.015118944638090673
6450.0,0.1128424257,0.1283087036277802,0.015466277927780214
6530.0,0.1128439009,0.1286594290432805,0.015815528143280508
6600.000999999989,0.1128016561,0.1289627507944781,0.016161094694478115
6670.000999999989,0.1128031462,0.12926815502145156,0.016465008821451563
6750.000999999989,0.1127801687,0.12963369475488193,0.016853526054881926
6820.000999999989,0.1127312481,0.12995636092332177,0.017225112823321773
6900.000999999989,0.1127186418,0.13033124644403815,0.017612604644038146
6970.000999999989,0.1126897335,0.1306708502382855,0.017981116738285507
7050.000999999989,0.1127060503,0.13107394079627777,0.018367890496277767
7120.000999999989,0.1126549095,0.13143929846805974,0.018784388968059743
7190.000999999989,0.112667501,0.13181786450671457,0.019150363506714563
7270.000999999989,0.1126356274,0.1322649346701537,0.019629307270153717
7340.000999999989,0.1125941128,0.132674302085463,0.020080189285462985
7420.000999999989,0.1126163602,0.13316672380860414,0.02055036360860414
7490.000999999989,0.1125659496,0.1336241358963945,0.021058186296394485
7570.000999999989,0.1125489026,0.1341717660223441,0.021622863422344096
7640.000999999989,0.1125703901,0.13465431635359063,0.022083926253590624
7710.000999999989,0.1125185192,0.1351468934509249,0.0226283742509249
7790.000999999989,0.1125237048,0.135728949889716,0.023205245089716012
7860.000999999989,0.1125022024,0.1362478443645947,0.023745641964594694
7940.000999999989,0.1124992371,0.13686012997079705,0.024360892870797055
8010.000999999989,0.1125140637,0.13739950098484544,0.024885437284845435
8090.000999999989,0.1124666333,0.13801210986090132,0.025545476560901323
8160.000999999989,0.1124821901,0.13851505866746114,0.026032868567461134
8230.00099999999,0.1124703288,0.13904115931052188,0.02657083051052188
8310.00099999999,0.1124532819,0.13961499838829847,0.027161716488298474
8380.00099999999,0.1124103069,0.14012150606907564,0.027711199169075634
8460.00099999999,0.1123977005,0.14069238278232316,0.028294682282323153
8530.00099999999,0.1124140024,0.14116298862554252,0.02874898622554252
8600.00099999999,0.1124221534,0.14159739555109985,0.029175242151099845
8680.00099999999,0.1124065965,0.14206251499884323,0.029655918498843234
8750.00099999999,0.1123636067,0.14246983099245963,0.03010622429245964
8830.00099999999,0.1123406291,0.14293794211422123,0.030597313014221222
8900.00099999999,0.1123717576,0.14328090315724687,0.030909145557246873
8980.00099999999,0.1123228371,0.1436570064426091,0.03133416934260909
9050.00099999999,0.1123102456,0.14398420216088403,0.03167395656088404
9120.00099999999,0.1123339534,0.14428871995931172,0.03195476655931172
9200.00099999999,0.1122657657,0.1446441013098723,0.032378335609872286
9270.00099999999,0.112268731,0.14493322158532035,0.03266449058532035
9350.00099999999,0.1122739166,0.14520705173512674,0.032933135135126745
9420.00099999999,0.1122657657,0.1454757742504561,0.0332100085504561
9500.00099999999,0.1122650355,0.14574664537598442,0.03348160987598442
9570.00099999999,0.1122309417,0.14595868700194375,0.03372774530194375
9640.00099999999,0.1121872067,0.14612798295088889,0.033940776250888885
9720.00099999999,0.1121864617,0.1463395526054926,0.03415309090549261
9790.00099999999,0.1121612638,0.1465378905924003,0.034376626792400305
9870.00099999999,0.1121568233,0.1467256235941949,0.03456880029419489
9940.00099999999,0.1121560782,0.14686880558290916,0.03471272738290916
10010.00099999999,0.1121575534,0.1470128801428202,0.034855326742820214
10090.00099999999,0.1121108681,0.14718645655944154,0.035075588459441545
10160.00099999999,0.1121434718,0.14731156170801835,0.03516808990801834
10240.00099999999,0.112136066,0.14744969420422777,0.03531362820422776
10310.00099999999,0.1120856702,0.14758336701131541,0.03549769681131541
10390.00099999999,0.1120893657,0.14771402150483767,0.035624655804837674
10460.00099999999,0.1120960414,0.14783039269714057,0.035734351297140574
10530.00099999999,0.1120626926,0.14794659401338184,0.03588390141338184
10610.00099999999,0.1120441556,0.14808346665233624,0.03603931105233624
