model,rate,branch,rule,x0,model_start_voltage_V,n_points_removed,duration_removed_s,fraction_removed,n_points,rmse_mV,mae_mV,bias_mV,max_abs_mV,v_exp_start_V,v_sim_start_V,duration_s
SPM,pOCV-lith,lithiation,off,0.001,1.075918497608994,18,160.02000000000044,0.0009902881214884157,1978,44.74139818058967,3.2103121261757814,-3.206150861404477,1939.1811937909824,3.0160996914,1.0769184976090176,159810.021
SPM,pOCV-lith,lithiation,on,0.001,1.075918497608994,18,160.02000000000044,0.0009902881214884157,1980,1.627135158827957,1.1996379088420523,-1.1860601465736942,13.3073772205016,1.0567988157,1.0701061929205016,159800.00100000002
SPM,pOCV-deli,delithiation,off,0.999,0.11084888941717082,17,149.9990000000107,0.0010099493466628506,2000,6.312674857813415,2.6538712748080897,2.6538712748080897,64.6617965291038,0.0824038908,0.1098488894171469,148521.31000000003
SPM,pOCV-deli,delithiation,on,0.999,0.11084888941717082,17,149.9990000000107,0.0010099493466628506,2000,2.8488388850811117,1.726452041489419,1.726452041489419,26.232116013272098,0.1100081354,0.1166613976146316,148361.31100000002
SPMe,pOCV-lith,lithiation,off,0.001,1.075918497608994,18,160.02000000000044,0.0009902881214884157,1978,44.74342128066493,3.334790241039912,-3.330743447850291,1939.1811937909824,3.0160996914,1.0769184976090176,159810.021
SPMe,pOCV-lith,lithiation,on,0.001,1.075918497608994,18,160.02000000000044,0.0009902881214884157,1980,1.7205083174600453,1.3252931569684898,-1.310838912600822,14.309701923991,1.0567988157,1.071108517623991,159800.00100000002
SPMe,pOCV-deli,delithiation,off,0.999,0.11084888941717082,17,149.9990000000107,0.0010099493466628506,2000,6.262144797312737,2.75307124637283,2.75307124637283,63.6630723152469,0.0824038908,0.1098488894171469,148521.31000000003
SPMe,pOCV-deli,delithiation,on,0.999,0.11084888941717082,17,149.9990000000107,0.0010099493466628506,2000,2.925695520103905,1.8521755570689795,1.8521755570689795,26.3565467164113,0.1100081354,0.1156590432588408,148361.31100000002
