model,rate,case,n_points,rmse_mV,mae_mV,max_abs_mV,region|V_exp<=0.15,region|0.15<V_exp<=0.60,region|0.60<V_exp<=1.43,region|V_exp>1.43_outside_ref_table,n|V_exp<=0.15,n|0.15<V_exp<=0.60,n|0.60<V_exp<=1.43,n|V_exp>1.43_outside_ref_table
SPM,pOCV-lith,rule_off,1960,2.6290047690154137,1.6695438134550282,17.4703058487382,1.2702134658888486,5.808551443467703,16.9785764847748,,1790,169,1,0
SPM,pOCV-lith,rule_on,1980,1.627135158827957,1.1996379088420523,13.3073772205016,1.1467773433498023,1.3820868330031821,5.188108995448544,,1794,170,16,0
SPM,pOCV-deli,rule_off,1983,6.283250702066056,2.623174047103559,64.6617965291038,1.220337294646382,2.8920226160869187,35.99491461174778,,1111,832,40,0
SPM,pOCV-deli,rule_on,2000,2.8488388850811117,1.726452041489419,26.232116013272098,1.196767036210286,1.8268785809340662,14.558944381294227,,1127,833,40,0
SPMe,pOCV-lith,rule_off,1960,2.7082781605575774,1.795073474947223,17.585439757180797,1.396069371522708,5.930693657072194,17.0926078257089,,1790,169,1,0
SPMe,pOCV-lith,rule_on,1980,1.7205083174600453,1.3252931569684898,14.309701923991,1.2726138086182965,1.5067299162952728,5.3041995228868055,,1794,170,16,0
SPMe,pOCV-deli,rule_off,1983,6.231505138838949,2.722324411611207,63.6630723152469,1.3449861724645507,2.9869283449229833,35.47413219102462,,1111,832,40,0
SPMe,pOCV-deli,rule_on,2000,2.925695520103905,1.8521755570689795,26.3565467164113,1.3220188122676364,1.9532585204745418,14.68428912892598,,1127,833,40,0
