Time [s],Voltage [V],Current [mA],Capacity [mAh],Temperature [K]
557463.7828848138,4.1933937,0.0,0.0,298.15
557583.7968973331,4.1839008,-0.6879981820586324,7.644534773296781e-07,298.15
557583.8388973381,4.1788192,-0.6879841316843841,8.790935973326366e-06,298.15
557583.920897346,4.1738167,-0.6879703586856806,2.446137342188094e-05,298.15
557584.2108973768,4.1688142,-0.6879747121155374,7.988156444496579e-05,298.15
557592.8088982736,4.1637726,-0.6879708638841335,0.001722985482414563,298.15
557652.8089045321,4.159873,-0.6879711073269782,0.01318917180054718,298.15
557712.8089107906,4.158967,-0.6879711173147288,0.02465535828514231,298.15
557772.8089170491,4.1583366,-0.6879727821497698,0.03612157251699103,298.15
557832.8089233076,4.1579037,-0.687972686148552,0.04758778514881928,298.15
557892.8089295661,4.1574702,-0.6879718033104745,0.05905398306667804,298.15
557952.8089358245,4.1570764,-0.687972118221648,0.0705201862330569,298.15
558012.808942083,4.1568398,-0.6879708835910332,0.08198636882225671,298.15
558072.8089483415,4.1564856,-0.6879707562596308,0.09345254928926626,298.15
558132.8089546,4.1563277,-0.6879700959634184,0.1049187187513378,298.15
558192.8089608585,4.1559734,-0.6879708783895351,0.116384901253846,298.15
558252.808967117,4.1556978,-0.6879712943822286,0.1278510906895664,298.15
558312.8089733755,4.1555009,-0.6879699804059188,0.1393172582256794,298.15
558372.808979634,4.1550674,-0.687968406909026,0.1507833995368414,298.15
558432.8089858925,4.1549492,-0.6879652519421264,0.1622494882652163,298.15
558492.8089921509,4.1545949,-0.6879668044720944,0.1737156028690934,298.15
558552.8089984094,4.1543584,-0.687964768902162,0.1851816835468014,298.15
558612.8090046679,4.1539645,-0.687964667268306,0.1966477625306116,298.15
558672.8090109264,4.1535311,-0.6879656963682194,0.2081138586660888,298.15
558732.8090171849,4.1530585,-0.6879642129319485,0.2195799300776256,298.15
558792.8090234434,4.1526647,-0.6879644305743127,0.2310460051165356,298.15
558852.8090297019,4.1519952,-0.6879654862857103,0.2425120977506373,298.15
558912.8090359604,4.1513648,-0.6879657620366364,0.2539781949805882,298.15
558972.8090422188,4.1507344,-0.6879657280182824,0.2654442916435665,298.15
559032.8090484773,4.1497498,-0.6879682316157576,0.2769104300331738,298.15
559092.8090547358,4.1488833,-0.6879678764754266,0.2883765625037749,298.15
559152.8090609943,4.1479378,-0.6879685427440236,0.2998427060788538,298.15
559212.8090672528,4.1467957,-0.6879696837039622,0.3113088686699337,298.15
559272.8090735113,4.145535,-0.68796964735308,0.3227750306551654,298.15
559332.8090797698,4.1440778,-0.6879674234901075,0.3342411555760105,298.15
559392.8090860283,4.1423445,-0.6879660791929182,0.3457072580919,298.15
559452.8090922867,4.1406112,-0.6879663044865311,0.3571733643626835,298.15
559512.8090985452,4.1386027,-0.6879660028632181,0.3686394656064112,298.15
559572.8091048037,4.1362391,-0.6879661624625851,0.3801055695101286,298.15
559632.8091110622,4.1338758,-0.687967716415117,0.3915716993130577,298.15
559692.8091173207,4.1312366,-0.6879674833391252,0.4030378252313864,298.15
559752.8091235792,4.1283216,-0.6879650076405944,0.4145039098880687,298.15
559812.8091298377,4.1251707,-0.6879648354249123,0.4259699916744893,298.15
559872.8091360962,4.1219802,-0.6879657470043467,0.4374360886539021,298.15
559932.8091423546,4.1185532,-0.6879655369377321,0.4489021821322043,298.15
559992.8091486131,4.1148505,-0.6879655775423987,0.460368276287251,298.15
560052.8091548716,4.1110296,-0.6879658046400453,0.4718343742272588,298.15
560112.8091611301,4.107091,-0.6879659089739913,0.4833004739061659,298.15
560172.8091673886,4.1029549,-0.6879636286713868,0.4947665355800257,298.15
560232.8091736471,4.0988188,-0.6879631757973298,0.5062325897059837,298.15
560292.8091799056,4.094368,-0.6879643211680116,0.517698662921455,298.15
560352.809186164,4.0899167,-0.6879660232499912,0.5291647645049624,298.15
560412.8091924225,4.0853872,-0.6879656090970944,0.5406308591859207,298.15
560472.809198681,4.0808969,-0.6879644629376445,0.5520969347642195,298.15
560532.8092049395,4.0762091,-0.6879644439813827,0.5635630100265806,298.15
560592.809211198,4.0717583,-0.6879641789016736,0.5750290808709461,298.15
560652.8092174565,4.0671496,-0.6879656570410788,0.5864951763509709,298.15
560712.809223715,4.0627379,-0.6879652730322344,0.5979612654308477,298.15
560772.8092299735,4.0582476,-0.6879660804128265,0.6094273679670691,298.15
560832.809236232,4.0539145,-0.687966006944149,0.6208934692788124,298.15
560892.8092424904,4.0497789,-0.6879647254901169,0.6323595492329862,298.15
560952.8092487489,4.0456429,-0.6879645875828647,0.6438256268887056,298.15
561012.8092550074,4.041625,-0.6879650178310008,0.655291711715228,298.15
561072.8092612659,4.0378041,-0.6879667796706042,0.666757825905747,298.15
561132.8092675244,4.0340228,-0.6879657843466527,0.6782239235075316,298.15
561192.8092737829,4.0303993,-0.6879648430781479,0.6896900054215062,298.15
561252.8092800414,4.026854,-0.6879651383714482,0.7011560922570362,298.15
561312.8092862999,4.0235057,-0.6879653563893214,0.7126221827261979,298.15
561372.8092925583,4.0201974,-0.6879658698316253,0.7240882817527322,298.15
561432.8092988168,4.0170856,-0.6879651921547004,0.7355543694846499,298.15
561492.8093050753,4.0140524,-0.6879665531471489,0.7470204798997775,298.15
561552.8093113338,4.0109406,-0.6879673500830216,0.7584866035971709,298.15
561612.8093175923,4.0080652,-0.6879658200180421,0.7699527017934787,298.15
561672.8093238508,4.0051899,-0.6879643055595437,0.7814187747488089,298.15
561732.8093301093,4.0024719,-0.6879659844751871,0.7928848756860695,298.15
561792.8093363678,3.9998329,-0.6879655828571457,0.8043509699296952,298.15
561852.8093426262,3.9972725,-0.6879660180027963,0.8158170714257493,298.15
561912.8093488847,3.9948304,-0.6879659406916064,0.8272831716332835,298.15
561972.8093551432,3.9924669,-0.6879657322978955,0.8387492683675887,298.15
562032.8093614017,3.9900641,-0.6879659076765972,0.8502153680248725,298.15
562092.8093676602,3.9875433,-0.6879661631261834,0.86168147193965,298.15
562152.8093739187,3.9852192,-0.687967073757904,0.8731475910316243,298.15
562212.8093801772,3.9830134,-0.6879673145368019,0.8846137141365807,298.15
562272.8093864357,3.9806499,-0.6879667311405075,0.8960798275182645,298.15
562332.8093926942,3.9783261,-0.6879657968636268,0.9075459253286654,298.15
562392.8093989526,3.9760416,-0.6879662103191494,0.9190120300299924,298.15
562452.8094052111,3.9738357,-0.6879685092144276,0.9304781730462446,298.15
562512.8094114696,3.9714723,-0.6879681882295412,0.9419443107127482,298.15
562572.8094177281,3.9691877,-0.6879681107653661,0.953410447088182,298.15
562632.8094239866,3.9668636,-0.6879683516455919,0.9648765874782868,298.15
562692.8094302451,3.9644215,-0.687967392112239,0.9763427118761674,298.15
562752.8094365036,3.9619794,-0.6879664388353863,0.9878088203860989,298.15
562812.809442762,3.959419,-0.6879687146934718,0.999274966827002,298.15
562872.8094490205,3.9570162,-0.6879748208986161,1.010741215038002,298.15
562932.809455279,3.9544954,-0.6879745938327587,1.02220745946457,298.15
562992.8094615375,3.9519744,-0.6879737206824217,1.033673689338631,298.15
563052.809467796,3.9492564,-0.6879702001185506,1.045139860536622,298.15
563112.8094740545,3.9466567,-0.687971253187476,1.056606049285763,298.15
563172.809480313,3.9440176,-0.6879716752816977,1.068072245069809,298.15
563232.8094865715,3.9411817,-0.6879708014776964,1.079538426290453,298.15
563292.80949283,3.9383061,-0.687970587596385,1.091004603946408,298.15
563352.8094990884,3.9356277,-0.6879703683168802,1.102470777947705,298.15
563412.8095053469,3.9326735,-0.687971684405181,1.113936973883808,298.15
563472.8095116054,3.9298375,-0.6879742879020172,1.12540321321153,298.15
563532.8095178639,3.9268439,-0.6879736191518804,1.136869441393416,298.15
563592.8095241224,3.9238107,-0.6879729678420607,1.148335658720136,298.15
563652.8095303809,3.9208171,-0.6879725522606394,1.159801869120499,298.15
563712.8095366394,3.9176266,-0.687972005415896,1.171268070406782,298.15
563772.8095428979,3.9144754,-0.6879714843581062,1.182734263008767,298.15
563832.8095491563,3.9113243,-0.6879708723555589,1.194200445410709,298.15
