Time [s],Current [mA],Discharge capacity [A.h],Voltage [V],Absolute error [V]
0,0,0,4.1894,4.2847e-05
0.0856,3.4398,4.1074e-08,4.0817,0.067338
0.0936,3.4393,4.8717e-08,4.0816,0.061071
0.1016,3.4392,5.636e-08,4.0816,0.055509
0.1096,3.4394,6.4002e-08,4.0815,0.050546
0.1196,3.4392,7.3556e-08,4.0815,0.044867
0.1296,3.4395,8.3109e-08,4.0814,0.039829
0.1416,3.4395,9.4574e-08,4.0814,0.034201
0.1556,3.4395,1.0795e-07,4.0813,0.028776
0.1716,3.4396,1.2324e-07,4.0813,0.023319
0.1896,3.4397,1.4044e-07,4.0812,0.018219
0.2116,3.4397,1.6146e-07,4.0812,0.012972
0.2396,3.4397,1.8821e-07,4.0811,0.0080164
0.2776,3.4397,2.2452e-07,4.081,0.0031241
0.3376,3.4396,2.8184e-07,4.0808,0.0017514
0.4656,3.4397,4.0414e-07,4.0805,0.0064577
1.0796,3.4397,9.908e-07,4.0792,0.010164
4.1756,3.4397,3.9489e-06,4.0755,0.011479
12.73,3.4397,1.2122e-05,4.0717,0.012658
72.73,3.4397,6.945e-05,4.0668,0.0081937
132.73,3.4397,0.00012678,4.0647,0.0041192
192.73,3.4397,0.00018411,4.0617,0.0017219
252.73,3.4397,0.00024143,4.0572,0.00038323
312.73,3.4397,0.00029876,4.0509,0.0020857
360.25,3.4397,0.00034417,4.0449,0.0030614
398.77,3.4398,0.00038097,4.039,0.0039915
431.35,3.4397,0.00041211,4.0331,0.0049317
459.79,3.4398,0.00043928,4.0271,0.0058906
485.58,3.4397,0.00046392,4.021,0.0070303
509.55,3.4397,0.00048683,4.0146,0.0084396
532,3.4397,0.00050827,4.0079,0.010117
552.85,3.4398,0.00052819,4.0011,0.011869
572.98,3.4398,0.00054743,3.9942,0.013774
592.61,3.4398,0.00056619,3.9873,0.015705
611.91,3.4398,0.00058462,3.9804,0.017625
630.83,3.4398,0.00060271,3.9735,0.019416
649.6,3.4398,0.00062064,3.9669,0.021032
668.42,3.4397,0.00063862,3.9603,0.022549
687.19,3.4398,0.00065656,3.954,0.023874
706.56,3.4398,0.00067506,3.9477,0.025154
726.17,3.4398,0.0006938,3.9417,0.026224
746.32,3.4397,0.00071305,3.9357,0.027216
766.8,3.4397,0.00073262,3.9299,0.028013
788.5,3.4397,0.00075336,3.9241,0.02879
811.01,3.4398,0.00077486,3.9183,0.029563
834.2,3.4398,0.00079703,3.9126,0.030194
858.1,3.4398,0.00081985,3.9072,0.030677
882.75,3.4398,0.00084341,3.9018,0.031028
908.17,3.4398,0.0008677,3.8966,0.031195
934.14,3.4397,0.00089251,3.8916,0.031243
960.46,3.4398,0.00091766,3.8866,0.031254
986.22,3.4398,0.00094227,3.8817,0.031113
1012.7,3.4398,0.00096754,3.8767,0.031077
1038.2,3.4398,0.00099191,3.872,0.030825
1063.3,3.4398,0.0010159,3.8672,0.030594
1087.8,3.4398,0.0010394,3.8624,0.030453
1111.5,3.4398,0.001062,3.8575,0.030296
1134.7,3.4398,0.0010841,3.8527,0.030156
1157.3,3.4398,0.0011057,3.8478,0.030027
1179,3.4398,0.0011265,3.843,0.029805
1200.4,3.4398,0.0011469,3.8382,0.029576
1221.5,3.4398,0.001167,3.8335,0.029315
1242.1,3.4398,0.0011867,3.8287,0.029112
1262.3,3.4398,0.001206,3.8237,0.029099
1281.9,3.4398,0.0012248,3.8187,0.029042
1301.7,3.4398,0.0012437,3.8136,0.029169
1320.6,3.4398,0.0012618,3.8086,0.029152
1339.6,3.4398,0.0012799,3.8035,0.02924
1358.6,3.4398,0.0012981,3.7984,0.029375
1377.2,3.4398,0.0013159,3.7933,0.029436
1395.7,3.4398,0.0013335,3.7883,0.029396
1414,3.4398,0.001351,3.7836,0.029144
1432.8,3.4398,0.001369,3.7787,0.029002
1451.3,3.4397,0.0013867,3.7738,0.028937
1469.6,3.4398,0.0014042,3.7687,0.029038
1488.1,3.4398,0.0014219,3.7635,0.029244
1506.9,3.4398,0.0014398,3.7582,0.029521
1525.9,3.4398,0.001458,3.7529,0.02983
1544.8,3.4398,0.001476,3.7477,0.030056
1564.2,3.4398,0.0014945,3.7424,0.030249
1584.1,3.4398,0.0015135,3.7371,0.03059
1604,3.4398,0.0015326,3.7318,0.030842
1624.7,3.4398,0.0015524,3.7266,0.031113
1646,3.4398,0.0015727,3.7213,0.031408
1667.9,3.4398,0.0015936,3.716,0.031654
1690.1,3.4398,0.0016149,3.7109,0.031756
1713.4,3.4398,0.0016371,3.7057,0.031913
1737.1,3.4398,0.0016598,3.7007,0.031974
1761.8,3.4397,0.0016833,3.6956,0.032021
1787.3,3.4398,0.0017077,3.6906,0.032014
1813.5,3.4398,0.0017327,3.6856,0.032001
1840.1,3.4398,0.0017581,3.6808,0.031885
1867.7,3.4398,0.0017845,3.6759,0.031766
1896.1,3.4398,0.0018116,3.671,0.031588
1924.8,3.4398,0.0018391,3.6663,0.031306
1953.7,3.4398,0.0018667,3.6617,0.030907
1983.2,3.4398,0.0018949,3.6571,0.030483
2012.7,3.4398,0.0019231,3.6525,0.030044
2042.5,3.4398,0.0019515,3.648,0.029587
2072,3.4398,0.0019797,3.6435,0.02907
2101.2,3.4397,0.0020076,3.6391,0.028496
2130.2,3.4397,0.0020353,3.6347,0.027818
2159.3,3.4397,0.0020632,3.6303,0.027191
2187.9,3.4397,0.0020905,3.626,0.026564
2215.6,3.4397,0.002117,3.6217,0.025842
2243.2,3.4397,0.0021433,3.6175,0.025031
2270.3,3.4397,0.0021692,3.6134,0.024168
2296.6,3.4397,0.0021944,3.6093,0.023252
2322.7,3.4397,0.0022192,3.6052,0.022314
2348.3,3.4397,0.0022437,3.6013,0.021265
2373.4,3.4397,0.0022678,3.5973,0.020129
2397.9,3.4397,0.0022911,3.5935,0.018917
2422,3.4397,0.0023142,3.5897,0.017693
2445,3.4397,0.0023362,3.5861,0.016307
2467.9,3.4397,0.002358,3.5825,0.014945
2490.1,3.4397,0.0023792,3.579,0.013469
2511.7,3.4397,0.0023998,3.5755,0.011911
2532.7,3.4397,0.0024199,3.5722,0.010259
2552.8,3.4397,0.0024391,3.5689,0.008507
2572.3,3.4397,0.0024577,3.5657,0.0066759
2591.4,3.4397,0.002476,3.5626,0.0047993
2609.5,3.4397,0.0024933,3.5596,0.0028364
2626.9,3.4397,0.0025099,3.5564,0.00099307
2643.5,3.4397,0.0025258,3.553,0.00061695
2659.6,3.4397,0.0025412,3.5494,0.001954
2674.9,3.4397,0.0025558,3.5456,0.0032335
2689.5,3.4397,0.0025697,3.5421,0.0046942
2703.5,3.4397,0.0025831,3.5384,0.006063
2716.7,3.4397,0.0025958,3.5347,0.0074025
2729.4,3.4397,0.0026079,3.5308,0.0085286
2741.3,3.4397,0.0026192,3.5268,0.0095215
2752.6,3.4397,0.00263,3.5226,0.010248
2763.3,3.4397,0.0026402,3.5181,0.010763
2773.4,3.4397,0.0026499,3.5135,0.011166
2783,3.4397,0.002659,3.5088,0.011522
2792,3.4397,0.0026677,3.5045,0.01218
2800.7,3.4397,0.0026759,3.5004,0.013199
2808.8,3.4397,0.0026838,3.4964,0.014146
2816.5,3.4397,0.0026911,3.4924,0.01518
2823.8,3.4397,0.0026981,3.4885,0.016418
2830.9,3.4397,0.0027048,3.485,0.01791
2837.5,3.4397,0.0027111,3.4817,0.019646
2843.6,3.4397,0.002717,3.4786,0.021589
2849.6,3.4397,0.0027228,3.4755,0.02349
2855.3,3.4397,0.0027281,3.4725,0.025507
2860.7,3.4397,0.0027333,3.4695,0.027551
2865.9,3.4397,0.0027382,3.4666,0.029614
2870.8,3.4397,0.002743,3.4637,0.031728
2875.5,3.4397,0.0027474,3.4609,0.033908
2880,3.4397,0.0027518,3.4581,0.036129
2884.3,3.4397,0.0027558,3.4554,0.038431
2888.4,3.4397,0.0027598,3.4527,0.040732
2892.3,3.4397,0.0027635,3.4501,0.043114
2896.1,3.4397,0.0027671,3.4475,0.045524
2899.7,3.4397,0.0027706,3.4448,0.047935
2903.2,3.4397,0.002774,3.4422,0.050353
2906.7,3.4397,0.0027772,3.4396,0.052715
2909.8,3.4397,0.0027803,3.437,0.055201
2913,3.4397,0.0027833,3.4345,0.057614
2916,3.4397,0.0027862,3.4319,0.060077
2918.9,3.4397,0.0027889,3.4294,0.062537
2921.7,3.4397,0.0027916,3.4269,0.065017
2924.4,3.4397,0.0027942,3.4244,0.067572
2927.1,3.4397,0.0027967,3.4219,0.070065
2929.6,3.4397,0.0027992,3.4194,0.072585
2932.1,3.4397,0.0028015,3.4169,0.075099
2934.5,3.4397,0.0028038,3.4144,0.07759
2936.8,3.4397,0.002806,3.4119,0.080152
2939.1,3.4397,0.0028082,3.4094,0.082644
2941.3,3.4397,0.0028103,3.4069,0.085136
2943.4,3.4397,0.0028123,3.4044,0.087631
2945.5,3.4397,0.0028143,3.4019,0.090154
2947.5,3.4397,0.0028163,3.3994,0.092622
2949.5,3.4397,0.0028181,3.3968,0.095079
2951.3,3.4397,0.0028199,3.3943,0.097605
2953.2,3.4397,0.0028217,3.3918,0.10005
2955,3.4397,0.0028235,3.3892,0.10248
2956.8,3.4397,0.0028251,3.3866,0.10492
2958.5,3.4397,0.0028268,3.3841,0.10735
2960.2,3.4397,0.0028284,3.3815,0.10978
2961.9,3.4396,0.00283,3.3788,0.11217
2963.5,3.4397,0.0028315,3.3762,0.11452
2965,3.4396,0.002833,3.3735,0.11686
2966.6,3.4396,0.0028345,3.3708,0.11917
2968.1,3.4397,0.0028359,3.3681,0.12146
2969.5,3.4397,0.0028373,3.3653,0.1237
2971,3.4397,0.0028387,3.3625,0.12593
2972.4,3.4396,0.00284,3.3598,0.12815
2973.7,3.4397,0.0028413,3.357,0.13039
2975,3.4397,0.0028425,3.3543,0.13265
2976.3,3.4397,0.0028438,3.3514,0.13475
2977.5,3.4397,0.002845,3.3485,0.13698
2978.8,3.4397,0.0028462,3.3455,0.13901
2980,3.4397,0.0028473,3.3426,0.14109
2981.2,3.4397,0.0028485,3.3396,0.14311
2982.4,3.4397,0.0028496,3.3366,0.14508
2983.5,3.4397,0.0028507,3.3336,0.14713
2984.6,3.4397,0.0028517,3.3306,0.14911
2985.7,3.4397,0.0028528,3.3275,0.15103
2986.8,3.4397,0.0028538,3.3244,0.15294
2987.8,3.4397,0.0028548,3.3212,0.15477
2988.9,3.4397,0.0028558,3.3181,0.1566
2989.9,3.4397,0.0028567,3.3149,0.15847
2990.9,3.4397,0.0028577,3.3116,0.16017
2991.8,3.4397,0.0028586,3.3083,0.16193
2992.7,3.4397,0.0028595,3.3052,0.16376
2993.7,3.4397,0.0028604,3.3019,0.16548
2994.6,3.4397,0.0028612,3.2985,0.16713
2995.5,3.4397,0.0028621,3.2952,0.16886
2996.4,3.4397,0.0028629,3.2918,0.17044
2997.2,3.4397,0.0028637,3.2885,0.17218
2998.1,3.4397,0.0028645,3.285,0.17372
2998.9,3.4397,0.0028653,3.2817,0.17536
2999.7,3.4397,0.0028661,3.2782,0.17689
3000.5,3.4397,0.0028669,3.2747,0.17839
3001.3,3.4397,0.0028676,3.2712,0.17994
3002.1,3.4397,0.0028684,3.2676,0.18134
3002.8,3.4397,0.0028691,3.2641,0.18289
3003.6,3.4397,0.0028698,3.2605,0.18428
3004.3,3.4396,0.0028705,3.2569,0.18571
3005,3.4396,0.0028712,3.2533,0.18711
3005.7,3.4397,0.0028719,3.2496,0.18844
3006.4,3.4397,0.0028726,3.246,0.18986
3007.1,3.4396,0.0028732,3.2423,0.19117
3007.8,3.4397,0.0028739,3.2386,0.1924
3008.5,3.4397,0.0028745,3.2349,0.19376
3009.2,3.4397,0.0028752,3.2312,0.19501
3009.8,3.4397,0.0028758,3.2275,0.19632
3010.5,3.4397,0.0028764,3.2235,0.19735
3011.1,3.4396,0.0028771,3.2195,0.19837
3011.8,3.4397,0.0028777,3.2156,0.19943
3012.4,3.4397,0.0028783,3.2116,0.20047
3013.1,3.4397,0.0028789,3.2075,0.20135
3013.7,3.4397,0.0028795,3.2034,0.20228
