Time [s],Current [mA],Discharge capacity [A.h],Voltage [V],Absolute error [V]
1257.5,6.8795,0.002403,3.4655,0.018367
1265.3,6.8795,0.0024178,3.463,0.01591
1272.7,6.8795,0.002432,3.4605,0.013367
1280,6.8795,0.0024459,3.4581,0.010763
1286.9,6.8795,0.0024591,3.4558,0.0080911
1293.6,6.8795,0.002472,3.4534,0.0054229
1299.9,6.8795,0.002484,3.4511,0.0027081
1306.2,6.8795,0.0024961,3.4488,8.0208e-05
1312.2,6.8795,0.0025074,3.4465,0.0026046
1317.9,6.8795,0.0025183,3.4442,0.0053123
1323.4,6.8795,0.0025289,3.4418,0.0079746
1328.8,6.8795,0.0025392,3.4394,0.010531
1333.9,6.8795,0.0025489,3.4369,0.013052
1338.7,6.8795,0.0025582,3.4343,0.015508
1343.5,6.8795,0.0025673,3.4316,0.017815
1348,6.8795,0.0025759,3.429,0.020151
1352.4,6.8794,0.0025843,3.4263,0.022475
1356.6,6.8795,0.0025923,3.4236,0.024795
1360.6,6.8795,0.0025999,3.4209,0.027088
1364.5,6.8794,0.0026074,3.4181,0.029281
1368.2,6.8794,0.0026145,3.4152,0.031454
1371.8,6.8795,0.0026214,3.4123,0.033488
1375.2,6.8795,0.0026279,3.4093,0.035526
1378.6,6.8795,0.0026343,3.4062,0.037536
1381.8,6.8795,0.0026405,3.4031,0.039365
1384.8,6.8795,0.0026462,3.3999,0.041261
1387.8,6.8795,0.0026519,3.3968,0.043095
1390.6,6.8795,0.0026574,3.3936,0.044958
1393.3,6.8795,0.0026626,3.3905,0.04686
1396,6.8794,0.0026676,3.3874,0.048745
1398.5,6.8795,0.0026725,3.3844,0.050846
1401,6.8794,0.0026772,3.3816,0.05299
1403.3,6.8794,0.0026817,3.3788,0.055214
1405.6,6.8795,0.002686,3.3761,0.057542
1407.8,6.8794,0.0026901,3.3734,0.059887
1409.9,6.8794,0.0026942,3.3708,0.062238
1411.9,6.8794,0.0026981,3.3681,0.064588
1413.9,6.8794,0.0027018,3.3656,0.067027
1415.8,6.8795,0.0027055,3.3629,0.0694
1417.6,6.8795,0.002709,3.3604,0.071848
1419.4,6.8794,0.0027124,3.3579,0.074368
1421.1,6.8795,0.0027156,3.3555,0.077022
1422.8,6.8795,0.0027189,3.3531,0.079647
1424.5,6.8794,0.002722,3.3508,0.082363
1426,6.8794,0.002725,3.3486,0.085118
1427.5,6.8795,0.0027278,3.3464,0.087987
1429,6.8794,0.0027306,3.3442,0.090812
1430.4,6.8794,0.0027334,3.342,0.093632
1431.8,6.8794,0.002736,3.3399,0.096543
1433.2,6.8794,0.0027386,3.3377,0.099428
1434.5,6.8794,0.0027412,3.3356,0.10229
1435.7,6.8794,0.0027436,3.3335,0.10521
1437,6.8795,0.0027459,3.3314,0.10812
1438.1,6.8795,0.0027482,3.3294,0.11106
1439.3,6.8794,0.0027504,3.3273,0.11398
1440.4,6.8795,0.0027526,3.3252,0.11691
1441.5,6.8794,0.0027547,3.3231,0.11982
1442.6,6.8794,0.0027567,3.321,0.12278
1443.7,6.8795,0.0027587,3.3189,0.12565
1444.7,6.8794,0.0027607,3.3168,0.12852
1445.7,6.8794,0.0027626,3.3147,0.13148
1446.6,6.8794,0.0027644,3.3126,0.13439
1447.6,6.8794,0.0027663,3.3105,0.13727
1448.5,6.8794,0.002768,3.3085,0.14024
1449.4,6.8795,0.0027697,3.3064,0.14314
1450.3,6.8794,0.0027714,3.3043,0.14605
1451.1,6.8794,0.002773,3.3022,0.14898
1452,6.8795,0.0027746,3.3001,0.15188
1452.8,6.8794,0.0027762,3.298,0.15481
1453.6,6.8795,0.0027778,3.2959,0.15768
1454.4,6.8795,0.0027793,3.2938,0.16067
1455.2,6.8795,0.0027808,3.2917,0.16353
1456,6.8794,0.0027822,3.2895,0.1664
1456.7,6.8795,0.0027836,3.2874,0.1693
1457.4,6.8794,0.002785,3.2853,0.1722
1458.1,6.8794,0.0027863,3.2832,0.17509
1458.8,6.8794,0.0027876,3.2811,0.17796
1459.5,6.8794,0.0027889,3.279,0.18086
1460.1,6.8794,0.0027902,3.2768,0.18376
1460.8,6.8794,0.0027915,3.2746,0.18652
1461.4,6.8795,0.0027927,3.2724,0.1894
1462.1,6.8794,0.0027939,3.2703,0.19227
1462.7,6.8794,0.002795,3.2681,0.19508
1463.3,6.8794,0.0027962,3.2658,0.19795
1463.9,6.8795,0.0027974,3.2635,0.20066
1464.5,6.8795,0.0027984,3.2613,0.20348
1465,6.8795,0.0027995,3.259,0.20621
1465.6,6.8795,0.0028006,3.2567,0.20884
1466.1,6.8795,0.0028017,3.2544,0.2116
1466.7,6.8794,0.0028028,3.2519,0.21413
1467.2,6.8794,0.0028038,3.2495,0.21675
1467.8,6.8794,0.0028048,3.2471,0.21928
1468.3,6.8795,0.0028058,3.2445,0.22178
1468.8,6.8794,0.0028068,3.242,0.22425
1469.4,6.8794,0.0028078,3.2393,0.22659
1469.9,6.8794,0.0028088,3.2367,0.22897
1470.4,6.8794,0.0028098,3.234,0.23134
1470.9,6.8794,0.0028107,3.2313,0.23361
1471.4,6.8795,0.0028116,3.2285,0.23586
1471.8,6.8794,0.0028126,3.2257,0.23807
1472.3,6.8795,0.0028135,3.2228,0.24025
1472.8,6.8795,0.0028144,3.2199,0.24228
1473.3,6.8794,0.0028153,3.2168,0.24422
1473.8,6.8795,0.0028162,3.2137,0.2462
1474.2,6.8794,0.0028171,3.2105,0.24801
1474.7,6.8794,0.002818,3.2073,0.24981
1475.2,6.8794,0.0028189,3.2039,0.25145
1475.6,6.8794,0.0028198,3.2005,0.25312
1476.1,6.8795,0.0028207,3.197,0.25462
1476.6,6.8795,0.0028216,3.1934,0.25598
1477,6.8794,0.0028224,3.1898,0.25751
1477.4,6.8794,0.0028232,3.1862,0.25884
1477.9,6.8795,0.0028241,3.1824,0.2601
1478.3,6.8794,0.0028249,3.1787,0.26138
1478.7,6.8794,0.0028257,3.1746,0.26233
1479.2,6.8795,0.0028266,3.1704,0.26315
1479.6,6.8794,0.0028273,3.1665,0.26435
1480,6.8794,0.0028282,3.1622,0.26502
1480.4,6.8795,0.002829,3.1578,0.26563
1480.9,6.8794,0.0028298,3.1533,0.26611
1481.3,6.8795,0.0028306,3.1488,0.26665
1481.7,6.8795,0.0028314,3.144,0.26682
1482.1,6.8794,0.0028323,3.139,0.26686
1482.6,6.8794,0.0028331,3.134,0.26692
1483,6.8794,0.0028338,3.129,0.26687
1483.4,6.8795,0.0028347,3.1235,0.26644
1483.8,6.8794,0.0028355,3.1181,0.26606
1484.2,6.8794,0.0028362,3.1127,0.26573
1484.7,6.8795,0.002837,3.107,0.26507
1485.1,6.8795,0.0028378,3.1013,0.26442
1485.5,6.8794,0.0028386,3.0955,0.26362
1485.9,6.8794,0.0028394,3.0895,0.26266
1486.3,6.8795,0.0028401,3.0833,0.26148
1486.7,6.8794,0.0028409,3.0769,0.26011
1487.1,6.8794,0.0028417,3.0706,0.25874
1487.5,6.8795,0.0028424,3.0639,0.2571
1487.9,6.8794,0.0028432,3.0574,0.25556
1488.2,6.8795,0.0028439,3.0505,0.25369
1488.6,6.8795,0.0028447,3.0432,0.25141
1489,6.8795,0.0028454,3.0359,0.24915
1489.5,6.8795,0.0028462,3.028,0.24626
1489.9,6.8795,0.002847,3.0202,0.24337
1490.3,6.8795,0.0028478,3.0118,0.24009
1490.6,6.8795,0.0028485,3.0039,0.23727
1491.1,6.8795,0.0028493,2.9953,0.23368
1491.4,6.8795,0.00285,2.9866,0.22996
1491.9,6.8795,0.0028508,2.9773,0.22576
1492.3,6.8794,0.0028516,2.9681,0.22161
1492.6,6.8795,0.0028523,2.9588,0.21731
1493,6.8794,0.0028531,2.949,0.21251
1493.4,6.8795,0.0028538,2.9391,0.20756
1493.8,6.8795,0.0028545,2.9291,0.20254
1494.2,6.8794,0.0028553,2.9187,0.19725
1494.6,6.8795,0.002856,2.9079,0.19145
1495,6.8794,0.0028568,2.8971,0.1856
1495.4,6.8794,0.0028575,2.8861,0.17965
1495.7,6.8795,0.0028582,2.8746,0.17317
1496.1,6.8795,0.0028589,2.8633,0.16682
1496.5,6.8795,0.0028596,2.8518,0.16042
1496.8,6.8795,0.0028603,2.84,0.15363
1497.2,6.8794,0.0028611,2.8278,0.14645
1497.6,6.8794,0.0028618,2.815,0.13878
1498,6.8794,0.0028625,2.8026,0.13131
1498.3,6.8795,0.0028632,2.7897,0.12349
1498.7,6.8794,0.0028639,2.7769,0.11564
1499,6.8795,0.0028645,2.7642,0.10794
1499.4,6.8795,0.0028652,2.751,0.099764
1499.7,6.8795,0.0028659,2.7376,0.091358
1500.1,6.8795,0.0028666,2.7234,0.08233
1500.5,6.8795,0.0028672,2.7098,0.073744
1500.8,6.8795,0.0028679,2.6952,0.064127
1501.2,6.8794,0.0028686,2.681,0.05511
1501.5,6.8795,0.0028693,2.6666,0.045797
1501.9,6.8795,0.0028699,2.6519,0.036052
1502.2,6.8795,0.0028706,2.6373,0.026523
1502.5,6.8795,0.0028712,2.623,0.01735
1502.9,6.8795,0.0028718,2.608,0.0073146
1503.2,6.8795,0.0028725,2.593,0.0027039
1503.5,6.8795,0.0028731,2.5777,0.012922
1503.9,6.8795,0.0028737,2.5623,0.023258
1504.2,6.8795,0.0028744,2.547,0.033551
1504.5,6.8795,0.002875,2.5316,0.043918
1504.8,6.8795,0.0028756,2.5165,0.054021
1505.1,6.8795,0.0028762,2.5009,0.064594
1505.5,6.8795,0.0028768,2.4849,0.075445
1505.8,6.8795,0.0028774,2.4691,0.086133
1506.1,6.8795,0.002878,2.4531,0.097143
1506.4,6.8795,0.0028786,2.4374,0.1077
1506.7,6.8794,0.0028792,2.4218,0.11831
1507,6.8795,0.0028798,2.4058,0.12922
1507.3,6.8795,0.0028803,2.3904,0.13964
1507.6,6.8794,0.0028809,2.3745,0.15038
1507.9,6.8795,0.0028815,2.3591,0.1607
1508.2,6.8795,0.0028821,2.3439,0.17091
1508.5,6.8795,0.0028826,2.3286,0.1812
1508.8,6.8794,0.0028832,2.3131,0.19164
1509.1,6.8795,0.0028837,2.2983,0.2015
1509.1,6.8797,0.0028837,2.2982,0.20157
1509.1,6.3505,0.0028838,2.314,0.48977
1509.1,0,0.0028838,2.5215,0.28937
1509.1,0,0.0028838,2.5271,0.29007
1509.1,0,0.0028838,2.5284,0.29452
1509.1,0,0.0028838,2.5298,0.29867
1509.1,0,0.0028838,2.5311,0.3027
1509.1,0,0.0028838,2.5331,0.30809
1509.1,0,0.0028838,2.535,0.31321
1509.1,0,0.0028838,2.537,0.31786
1509.2,0,0.0028838,2.539,0.32235
1509.2,0,0.0028838,2.5409,0.32653
1509.2,0,0.0028838,2.5429,0.3304
1509.2,0,0.0028838,2.5449,0.33416
1509.2,0,0.0028838,2.5468,0.33776
1509.2,0,0.0028838,2.5488,0.34117
1509.2,0,0.0028838,2.5507,0.34446
1509.2,0,0.0028838,2.5527,0.34752
1509.2,0,0.0028838,2.5546,0.35062
1509.2,0,0.0028838,2.5572,0.35446
1509.2,0,0.0028838,2.5598,0.35811
1509.2,0,0.0028838,2.5623,0.3616
1509.2,0,0.0028838,2.5649,0.36498
1509.2,0,0.0028838,2.5675,0.36812
1509.2,0,0.0028838,2.57,0.37112
1509.3,0,0.0028838,2.5726,0.37409
1509.3,0,0.0028838,2.5751,0.37686
1509.3,0,0.0028838,2.5777,0.37952
1509.3,0,0.0028838,2.5802,0.38215
1509.3,0,0.0028838,2.5827,0.38463
1509.3,0,0.0028838,2.5859,0.38758
1509.3,0,0.0028838,2.589,0.39049
1509.3,0,0.0028838,2.5922,0.3932
1509.3,0,0.0028838,2.5953,0.39577
1509.3,0,0.0028838,2.5985,0.39823
1509.3,0,0.0028838,2.6016,0.40058
1509.4,0,0.0028838,2.6047,0.40283
1509.4,0,0.0028838,2.6078,0.40508
1509.4,0,0.0028838,2.6109,0.40706
1509.4,0,0.0028838,2.614,0.40904
1509.4,0,0.0028838,2.6171,0.41096
1509.4,0,0.0028838,2.6208,0.41319
1509.4,0,0.0028838,2.6245,0.41518
1509.4,0,0.0028838,2.6281,0.41717
1509.4,0,0.0028838,2.6318,0.4191
1509.5,0,0.0028838,2.6355,0.42076
1509.5,0,0.0028838,2.6391,0.42243
1509.5,0,0.0028838,2.6427,0.42408
1509.5,0,0.0028838,2.6463,0.4256
1509.5,0,0.0028838,2.6499,0.427
1509.5,0,0.0028838,2.6535,0.42841
1509.5,0,0.0028838,2.6577,0.42995
1509.5,0,0.0028838,2.6618,0.43139
1509.6,0,0.0028838,2.666,0.43277
1509.6,0,0.0028838,2.6701,0.43391
1509.6,0,0.0028838,2.6742,0.43514
1509.6,0,0.0028838,2.6783,0.43621
1509.6,0,0.0028838,2.683,0.4374
1509.6,0,0.0028838,2.6876,0.43841
1509.6,0,0.0028838,2.6922,0.43944
1509.7,0,0.0028838,2.6968,0.44032
1509.7,0,0.0028838,2.7014,0.44109
1509.7,0,0.0028838,2.7059,0.44194
1509.7,0,0.0028838,2.7105,0.4425
1509.7,0,0.0028838,2.7149,0.44325
1509.7,0,0.0028838,2.72,0.44382
1509.8,0,0.0028838,2.725,0.4443
1509.8,0,0.0028838,2.7299,0.4448
