Stoichiometry,Diffusivity [m2.s-1]
0,4.1705e-16
0.33711,4.1705e-16
0.34595,2.2991e-16
0.35488,1.7505e-16
0.36377,2.1209e-16
0.37266,3.4516e-16
0.38154,7.1991e-16
0.44387,2.4732e-15
0.45279,2.4044e-15
0.46165,2.317e-15
0.47058,2.3436e-15
0.47952,2.2312e-15
0.48838,2.2299e-15
0.4973,2.1765e-15
0.5062,2.025e-15
0.5151,2.0501e-15
0.52401,2.433e-15
0.53287,2.2716e-15
0.54178,2.2144e-15
0.55068,2.2282e-15
0.55962,3.3822e-15
0.56848,3.2602e-15
0.57739,3.1523e-15
0.5863,2.9611e-15
0.59521,2.9044e-15
0.6041,2.9414e-15
0.61299,2.9095e-15
0.62188,2.9363e-15
0.63083,2.7799e-15
0.63965,2.6855e-15
0.64858,2.7411e-15
0.65752,2.677e-15
0.66641,2.532e-15
0.67529,2.4107e-15
0.68428,2.3809e-15
0.69307,2.0705e-15
0.702,2.1019e-15
0.71084,1.9991e-15
0.71982,2.0259e-15
0.72876,2.0634e-15
0.7376,2.0626e-15
0.74648,1.9229e-15
0.75537,1.7675e-15
0.76426,1.6434e-15
0.77324,5.9851e-16
0.78213,3.9514e-16
0.79102,2.1981e-16
0.79995,1.2296e-16
0.80889,7.2459e-17
1,7.2459e-17
