Charge capacity [mA.h],Stoichiometry,Voltage [V]
4.0923,0.33708,4.2038
4.035,0.34598,4.1927
3.9776,0.35488,4.1863
3.9203,0.36378,4.1824
3.8629,0.37268,4.1792
3.8056,0.38158,4.1757
3.7482,0.39048,4.1696
3.6908,0.39938,4.157
3.6335,0.40828,4.1393
3.5761,0.41718,4.1188
3.5188,0.42608,4.0962
3.4614,0.43498,4.0738
3.404,0.44388,4.0538
3.3467,0.45278,4.0364
3.2893,0.46168,4.0212
3.2319,0.47058,4.0082
3.1746,0.47949,3.9961
3.1172,0.48839,3.9842
3.0598,0.49729,3.9719
3.0025,0.50619,3.9589
2.9451,0.51509,3.9449
2.8877,0.52399,3.93
2.8304,0.53289,3.9142
2.773,0.54179,3.898
2.7157,0.55069,3.8816
2.6583,0.55959,3.8655
2.6009,0.56849,3.85
2.5436,0.57739,3.8352
2.4862,0.58629,3.8221
2.4288,0.59519,3.81
2.3715,0.6041,3.7988
2.3141,0.613,3.7886
2.2568,0.6219,3.7793
2.1994,0.6308,3.7702
2.142,0.6397,3.7615
2.0847,0.6486,3.753
2.0273,0.6575,3.7445
1.9699,0.6664,3.7359
1.9126,0.6753,3.7274
1.8552,0.6842,3.7186
1.7979,0.6931,3.7099
1.7405,0.702,3.7012
1.6831,0.7109,3.6924
1.6258,0.7198,3.6839
1.5684,0.7287,3.6753
1.511,0.7376,3.6666
1.4537,0.7465,3.6575
1.3963,0.75541,3.6481
1.339,0.76431,3.6382
1.2816,0.77321,3.6278
1.2242,0.78211,3.6168
1.1669,0.79101,3.6057
1.1095,0.79991,3.5949
1.0522,0.80881,3.5847
0.99479,0.81771,3.5753
0.93743,0.82661,3.5668
0.88007,0.83551,3.5587
0.82272,0.84441,3.5511
0.76537,0.85331,3.5436
0.70803,0.8622,3.5357
0.65068,0.8711,3.5258
0.59334,0.88,3.5119
0.53599,0.8889,3.4872
0.47865,0.8978,3.4406
0.4213,0.90669,3.3386
0.36396,0.91559,3.0966
0.30661,0.92449,2.7066
