Time [s],Current [mA],Discharge capacity [A.h],Voltage [V],Absolute error [V]
0,0,0,4.1934,4.5411e-06
0.0969,0.688,9.2594e-09,4.1718,0.012139
0.1389,0.68798,1.7286e-08,4.1717,0.0071006
0.2209,0.68797,3.2957e-08,4.1717,0.0021538
0.5109,0.68797,8.8377e-08,4.1715,0.0026822
9.1089,0.68797,1.7315e-06,4.1691,0.0053514
69.109,0.68797,1.3198e-05,4.1639,0.0040653
129.11,0.68797,2.4664e-05,4.161,0.0020244
189.11,0.68797,3.613e-05,4.1593,0.00097323
249.11,0.68797,4.7596e-05,4.1582,0.00031339
309.11,0.68797,5.9062e-05,4.1574,7.8424e-05
369.11,0.68797,7.0529e-05,4.1567,0.00039181
429.11,0.68797,8.1995e-05,4.1561,0.0007565
489.11,0.68797,9.3461e-05,4.1556,0.00090539
549.11,0.68797,0.00010493,4.1551,0.0012074
609.11,0.68797,0.00011639,4.1547,0.0012822
669.11,0.68797,0.00012786,4.1543,0.0014163
729.11,0.68797,0.00013933,4.1539,0.0016093
789.11,0.68797,0.00015079,4.1535,0.0015636
849.11,0.68797,0.00016226,4.1531,0.0018621
909.11,0.68797,0.00017372,4.1526,0.0019788
969.11,0.68796,0.00018519,4.1521,0.002254
1029.1,0.68796,0.00019666,4.1515,0.00242
1089.1,0.68797,0.00020812,4.1509,0.0026239
1149.1,0.68796,0.00021959,4.1502,0.0028296
1209.1,0.68796,0.00023105,4.1495,0.0031601
1269.1,0.68797,0.00024252,4.1487,0.0032736
1329.1,0.68797,0.00025399,4.1479,0.0035106
1389.1,0.68797,0.00026545,4.1469,0.0038133
1449.1,0.68797,0.00027692,4.1459,0.0038232
1509.1,0.68797,0.00028839,4.1449,0.0040211
1569.1,0.68797,0.00029985,4.1437,0.0042218
1629.1,0.68797,0.00031132,4.1425,0.004331
1689.1,0.68797,0.00032278,4.1412,0.0043604
1749.1,0.68797,0.00033425,4.1399,0.0042266
1809.1,0.68797,0.00034572,4.1385,0.0038589
1869.1,0.68797,0.00035718,4.137,0.0035724
1929.1,0.68797,0.00036865,4.1355,0.0030967
1989.1,0.68797,0.00038011,4.1339,0.0023599
2049.1,0.68797,0.00039158,4.1321,0.0017489
2109.1,0.68797,0.00040305,4.1302,0.00099872
2169.1,0.68797,0.00041451,4.1282,0.00010274
2229.1,0.68796,0.00042598,4.1261,0.00089215
2289.1,0.68797,0.00043744,4.1238,0.0017789
2349.1,0.68797,0.00044891,4.1213,0.0027596
2409.1,0.68797,0.00046038,4.1187,0.003842
2469.1,0.68797,0.00047184,4.1159,0.0048526
2529.1,0.68797,0.00048331,4.1129,0.005774
2589.1,0.68796,0.00049478,4.1097,0.0067025
2649.1,0.68796,0.00050624,4.1062,0.0074248
2709.1,0.68796,0.00051771,4.1026,0.0082633
2769.1,0.68797,0.00052917,4.0989,0.0089401
2829.1,0.68797,0.00054064,4.0949,0.0095424
2889.1,0.68796,0.00055211,4.0909,0.0099632
2949.1,0.68796,0.00056357,4.0867,0.010466
3009.1,0.68796,0.00057504,4.0824,0.010626
3069.1,0.68797,0.0005865,4.0781,0.010901
3129.1,0.68797,0.00059797,4.0737,0.010962
3189.1,0.68797,0.00060944,4.0693,0.011058
3249.1,0.68797,0.0006209,4.0649,0.010968
3309.1,0.68796,0.00063237,4.0605,0.010713
3369.1,0.68796,0.00064383,4.0562,0.010535
3429.1,0.68797,0.0006553,4.0519,0.010302
3489.1,0.68797,0.00066677,4.0478,0.0099466
3549.1,0.68797,0.00067823,4.0436,0.0096217
3609.1,0.68796,0.0006897,4.0396,0.0092362
3669.1,0.68797,0.00070116,4.0357,0.0088795
3729.1,0.68797,0.00071263,4.032,0.0084528
3789.1,0.68797,0.0007241,4.0283,0.0080786
3849.1,0.68797,0.00073556,4.0247,0.0075954
3909.1,0.68797,0.00074703,4.0212,0.0071182
3969.1,0.68797,0.0007585,4.0178,0.0068561
4029.1,0.68797,0.00076996,4.0145,0.0064755
4089.1,0.68796,0.00078143,4.0113,0.0061522
4149.1,0.68797,0.00079289,4.0082,0.0057571
4209.1,0.68797,0.00080436,4.0052,0.0053751
4269.1,0.68797,0.00081583,4.0023,0.0050126
4329.1,0.68797,0.00082729,3.9994,0.0046014
4389.1,0.68797,0.00083876,3.9967,0.0042095
4449.1,0.68797,0.00085022,3.994,0.0039285
4509.1,0.68797,0.00086169,3.9914,0.0038196
4569.1,0.68797,0.00087316,3.9888,0.0035984
4629.1,0.68797,0.00088462,3.9864,0.0033572
4689.1,0.68797,0.00089609,3.984,0.003346
4749.1,0.68797,0.00090755,3.9817,0.0033303
4809.1,0.68797,0.00091902,3.9793,0.0032929
4869.1,0.68797,0.00093049,3.977,0.0032075
4929.1,0.68797,0.00094195,3.9748,0.0032978
4989.1,0.68797,0.00095342,3.9725,0.0033237
5049.1,0.68797,0.00096489,3.9703,0.0033913
5109.1,0.68797,0.00097635,3.968,0.0035748
5169.1,0.68797,0.00098782,3.9657,0.0037583
5229.1,0.68797,0.00099928,3.9635,0.0040824
5289.1,0.68797,0.0010107,3.9613,0.0042656
5349.1,0.68797,0.0010222,3.9591,0.0045581
5409.1,0.68797,0.0010337,3.9568,0.0048232
5469.1,0.68797,0.0010451,3.9545,0.0052382
5529.1,0.68797,0.0010566,3.9521,0.0054802
5589.1,0.68797,0.0010681,3.9497,0.0056921
5649.1,0.68797,0.0010795,3.9473,0.0060779
5709.1,0.68797,0.001091,3.9448,0.0064922
5769.1,0.68797,0.0011025,3.9423,0.0066757
5829.1,0.68797,0.0011139,3.9398,0.0070785
5889.1,0.68797,0.0011254,3.9372,0.0073425
