Stoichiometry,Voltage [V]
0.497604,3.97389
0.498191,3.97322
0.498779,3.97254
0.499366,3.97186
0.499953,3.97118
0.50054,3.9705
0.501127,3.96982
0.501715,3.96914
0.502302,3.96846
0.502889,3.96778
0.503476,3.9671
0.504063,3.96641
0.50465,3.96572
0.505238,3.96503
0.505825,3.96434
0.506412,3.96364
0.506999,3.96293
0.507586,3.96222
0.508174,3.9615
0.508761,3.96078
0.509348,3.96006
0.509935,3.95934
0.510522,3.95862
0.51111,3.95789
0.511697,3.95716
0.512284,3.95642
0.512871,3.95568
0.513458,3.95494
0.514045,3.95419
0.514633,3.95344
0.51522,3.95268
0.515807,3.95192
0.516394,3.95116
0.516981,3.95039
0.517569,3.94961
0.518156,3.94884
0.518743,3.94806
0.51933,3.94728
0.519917,3.9465
0.520504,3.94571
0.521092,3.94493
0.521679,3.94415
0.522266,3.94336
0.522853,3.94257
0.52344,3.94178
0.524028,3.94097
0.524615,3.94017
0.525202,3.93935
0.525789,3.93853
0.526376,3.9377
0.526964,3.93687
0.527551,3.93603
0.528138,3.93519
0.528725,3.93435
0.529312,3.9335
0.5299,3.93266
0.530487,3.93182
0.531074,3.93097
0.531661,3.93012
0.532248,3.92927
0.532835,3.92842
0.533423,3.92757
0.53401,3.92671
0.534597,3.92585
0.535184,3.92499
0.535771,3.92413
0.536359,3.92326
0.536946,3.92238
0.537533,3.9215
0.53812,3.92062
0.538707,3.91973
0.539295,3.91884
0.539882,3.91794
0.540469,3.91705
0.541056,3.91615
0.541643,3.91526
0.542231,3.91436
0.542818,3.91346
0.543405,3.91256
0.543992,3.91165
0.544579,3.91074
0.545167,3.90983
0.545754,3.90892
0.546341,3.90801
0.546928,3.9071
0.547515,3.90618
0.548102,3.90527
0.54869,3.90435
0.549277,3.90343
0.549864,3.9025
0.550451,3.90157
0.551038,3.90064
0.551626,3.89971
0.552213,3.89878
0.5528,3.89784
0.553387,3.89691
0.553974,3.89597
0.554562,3.89503
0.555149,3.8941
0.555736,3.89317
0.556323,3.89223
0.55691,3.8913
0.557498,3.89036
0.558085,3.88943
0.558672,3.88849
0.559259,3.88755
0.559846,3.88661
0.560433,3.88566
0.561021,3.88472
0.561608,3.88378
0.562195,3.88284
0.562782,3.88189
0.563369,3.88095
0.563957,3.88001
0.564544,3.87906
0.565131,3.87812
0.565718,3.87718
0.566305,3.87623
0.566893,3.87529
0.56748,3.87435
0.568067,3.87341
0.568654,3.87246
0.569241,3.87152
0.569828,3.87058
0.570416,3.86964
0.571003,3.8687
0.57159,3.86776
0.572177,3.86682
0.572764,3.86589
0.573352,3.86496
0.573939,3.86402
0.574526,3.86309
0.575113,3.86216
0.5757,3.86122
0.576288,3.86029
0.576875,3.85937
0.577462,3.85845
0.578049,3.85754
0.578636,3.85663
0.579224,3.85573
0.579811,3.85482
0.580398,3.85393
0.580985,3.85303
0.581572,3.85214
0.58216,3.85124
0.582747,3.85035
0.583334,3.84946
0.583921,3.84856
0.584508,3.84767
0.585096,3.84678
0.585683,3.8459
0.58627,3.84502
0.586857,3.84414
0.587444,3.84326
0.588032,3.84239
0.588619,3.84153
0.589206,3.84067
0.589793,3.83982
0.59038,3.83897
0.590967,3.83813
0.591555,3.83729
0.592142,3.83644
0.592729,3.8356
0.593316,3.83477
0.593903,3.83393
0.594491,3.8331
0.595078,3.83227
0.595665,3.83144
0.596252,3.83062
0.596839,3.82981
0.597427,3.829
0.598014,3.82819
0.598601,3.82739
0.599188,3.82659
0.599775,3.8258
0.600363,3.82502
0.60095,3.82424
0.601537,3.82347
0.602124,3.82271
0.602711,3.82195
0.603299,3.8212
0.603886,3.82045
0.604473,3.8197
0.60506,3.81895
0.605647,3.81821
0.606235,3.81746
0.606822,3.81673
0.607409,3.81599
0.607996,3.81526
0.608583,3.81454
0.609171,3.81382
0.609758,3.8131
0.610345,3.81239
0.610932,3.81168
0.611519,3.81099
0.612107,3.81029
0.612694,3.8096
0.613281,3.80892
0.613868,3.80823
0.614455,3.80755
0.615042,3.80687
0.61563,3.80619
0.616217,3.80552
0.616804,3.80485
0.617391,3.80419
0.617978,3.80353
0.618566,3.80288
0.619153,3.80224
0.61974,3.80159
0.620327,3.80095
0.620914,3.80031
0.621502,3.79966
0.622089,3.79902
0.622676,3.79839
0.623263,3.79775
0.62385,3.79712
0.624438,3.79649
0.625025,3.79586
0.625612,3.79524
0.626199,3.79463
0.626786,3.79401
0.627374,3.7934
0.627961,3.7928
0.628548,3.7922
0.629135,3.7916
0.629722,3.791
0.63031,3.79041
0.630897,3.78982
0.631484,3.78923
0.632071,3.78864
0.632658,3.78806
0.633245,3.78748
0.633833,3.7869
0.63442,3.78633
0.635007,3.78575
0.635594,3.78518
0.636181,3.78462
0.636769,3.78406
0.637356,3.7835
0.637943,3.78294
0.63853,3.78238
0.639117,3.78183
0.639705,3.78128
0.640292,3.78072
0.640879,3.78017
0.641466,3.77962
0.642053,3.77906
0.64264,3.77852
0.643228,3.77797
0.643815,3.77743
0.644402,3.7769
0.644989,3.77636
0.645576,3.77583
0.646164,3.7753
0.646751,3.77477
0.647338,3.77424
0.647925,3.7737
0.648512,3.77317
0.6491,3.77264
0.649687,3.7721
0.650274,3.77157
0.650861,3.77105
0.651448,3.77053
0.652036,3.77002
0.652623,3.7695
0.65321,3.76899
0.653797,3.76849
0.654384,3.76797
0.654972,3.76746
0.655559,3.76695
0.656146,3.76643
0.656733,3.76592
0.65732,3.76541
0.657907,3.7649
0.658495,3.76439
0.659082,3.76387
0.659669,3.76336
0.660256,3.76285
0.660843,3.76235
0.661431,3.76184
0.662018,3.76134
0.662605,3.76084
0.663192,3.76034
0.663779,3.75985
0.664367,3.75936
0.664954,3.75886
0.665541,3.75837
0.666128,3.75787
0.666715,3.75737
0.667303,3.75687
0.66789,3.75637
0.668477,3.75587
0.669064,3.75537
0.669651,3.75487
0.670239,3.75437
0.670826,3.75387
0.671413,3.75337
0.672,3.75287
0.672587,3.75238
0.673175,3.75188
0.673762,3.75138
0.674349,3.75088
0.674936,3.75038
0.675523,3.74988
0.67611,3.74938
0.676698,3.74889
0.677285,3.74839
0.677872,3.74789
0.678459,3.7474
0.679046,3.74691
0.679634,3.74642
0.680221,3.74593
0.680808,3.74544
0.681395,3.74495
0.681982,3.74446
0.68257,3.74396
0.683157,3.74347
0.683744,3.74297
0.684331,3.74248
0.684918,3.74199
0.685506,3.7415
0.686093,3.741
0.68668,3.74051
0.687267,3.74001
0.687854,3.73952
0.688442,3.73902
0.689029,3.73852
0.689616,3.73802
0.690203,3.73752
0.69079,3.73702
0.691378,3.73653
0.691965,3.73603
0.692552,3.73553
0.693139,3.73503
0.693726,3.73453
0.694314,3.73403
0.694901,3.73353
0.695488,3.73303
0.696075,3.73254
0.696662,3.73204
0.69725,3.73154
0.697837,3.73104
0.698424,3.73054
0.699011,3.73004
0.699598,3.72954
0.700186,3.72903
0.700773,3.72853
0.70136,3.72803
0.701947,3.72754
0.702534,3.72704
0.703122,3.72654
0.703709,3.72604
0.704296,3.72553
0.704883,3.72503
0.70547,3.72452
0.706058,3.72402
0.706645,3.72351
0.707232,3.723
0.707819,3.7225
0.708406,3.72199
0.708994,3.72148
0.709581,3.72097
0.710168,3.72045
0.710755,3.71993
0.711342,3.71941
0.71193,3.71889
0.712517,3.71838
0.713104,3.71786
0.713691,3.71735
0.714278,3.71685
0.714866,3.71634
0.715453,3.71583
0.71604,3.71533
0.716627,3.71482
0.717215,3.71432
0.717802,3.71381
0.718389,3.7133
0.718976,3.71279
0.719563,3.71228
0.720151,3.71178
0.720738,3.71127
0.721325,3.71075
0.721912,3.71024
0.722499,3.70972
0.723087,3.7092
0.723674,3.70867
0.724261,3.70815
0.724848,3.70762
0.725435,3.7071
0.726023,3.70658
0.72661,3.70606
0.727197,3.70554
0.727784,3.70503
0.728371,3.70451
0.728959,3.704
0.729546,3.70349
0.730133,3.70298
0.73072,3.70247
0.731307,3.70195
0.731895,3.70144
0.732482,3.70092
0.733069,3.7004
0.733656,3.69988
0.734243,3.69936
0.734831,3.69884
0.735418,3.69832
0.736005,3.69779
0.736592,3.69727
0.737179,3.69675
0.737767,3.69623
0.738354,3.69571
0.738941,3.69519
0.739528,3.69467
0.740116,3.69415
0.740703,3.69363
0.74129,3.69311
0.741877,3.69259
0.742464,3.69207
0.743052,3.69155
0.743639,3.69103
0.744226,3.69052
0.744813,3.69
0.7454,3.68949
0.745988,3.68898
0.746575,3.68847
0.747162,3.68797
0.747749,3.68746
0.748336,3.68695
0.748924,3.68643
0.749511,3.68592
0.750098,3.6854
0.750685,3.68489
0.751272,3.68438
0.75186,3.68387
0.752447,3.68336
0.753034,3.68284
0.753621,3.68233
0.754209,3.68181
0.754796,3.68129
0.755383,3.68076
0.75597,3.68024
0.756557,3.67972
0.757145,3.67919
0.757732,3.67866
0.758319,3.67814
0.758906,3.67761
0.759493,3.67709
0.760081,3.67657
0.760668,3.67605
0.761255,3.67554
0.761842,3.67502
0.762429,3.6745
0.763017,3.67398
0.763604,3.67346
0.764191,3.67295
0.764778,3.67243
0.765365,3.67191
0.765953,3.6714
0.76654,3.67089
0.767127,3.67037
0.767714,3.66986
0.768301,3.66934
0.768889,3.66882
0.769476,3.6683
0.770063,3.66778
0.77065,3.66726
0.771237,3.66674
0.771825,3.66622
0.772412,3.6657
0.772999,3.66518
0.773586,3.66466
0.774173,3.66413
0.774761,3.66361
0.775348,3.6631
0.775935,3.66258
0.776522,3.66205
0.777109,3.66153
0.777697,3.66101
0.778284,3.66049
0.778871,3.65996
0.779458,3.65944
0.780045,3.65891
0.780633,3.65838
0.78122,3.65785
0.781807,3.65732
0.782394,3.65678
0.782981,3.65625
0.783569,3.65572
0.784156,3.65518
0.784743,3.65464
0.78533,3.6541
0.785917,3.65356
0.786505,3.65301
0.787092,3.65246
0.787679,3.65191
0.788266,3.65135
0.788853,3.6508
0.789441,3.65026
0.790028,3.64971
0.790615,3.64917
0.791202,3.64862
0.791789,3.64807
0.792377,3.64752
0.792964,3.64697
0.793551,3.64641
0.794138,3.64586
0.794725,3.6453
0.795313,3.64474
0.7959,3.64419
0.796487,3.64363
0.797074,3.64307
0.797661,3.6425
0.798249,3.64193
0.798836,3.64135
0.799423,3.64076
0.80001,3.64017
0.800598,3.63958
0.801185,3.63898
0.801772,3.63839
0.802359,3.63779
0.802946,3.63719
0.803534,3.63659
0.804121,3.63599
0.804708,3.63538
0.805295,3.63477
0.805882,3.63416
0.80647,3.63355
0.807057,3.63294
0.807644,3.63232
0.808231,3.6317
0.808818,3.63108
0.809406,3.63046
0.809993,3.62983
0.81058,3.6292
0.811167,3.62856
0.811754,3.62792
0.812342,3.62728
0.812929,3.62664
0.813516,3.626
0.814103,3.62535
0.81469,3.6247
0.815278,3.62405
0.815865,3.62339
0.816452,3.62273
0.817039,3.62206
0.817626,3.62139
0.818214,3.62072
0.818801,3.62003
0.819388,3.61935
0.819975,3.61865
0.820562,3.61795
0.82115,3.61724
0.821737,3.61652
0.822324,3.61581
0.822911,3.61509
0.823498,3.61436
0.824086,3.61363
0.824673,3.61289
0.82526,3.61215
0.825847,3.6114
0.826434,3.61064
0.827022,3.60988
0.827609,3.60911
0.828196,3.60833
0.828783,3.60754
0.82937,3.60674
0.829958,3.60594
0.830545,3.60513
0.831132,3.60431
0.831719,3.60349
0.832306,3.60266
0.832894,3.60182
0.833481,3.60097
0.834068,3.60011
0.834655,3.59924
0.835243,3.59836
0.83583,3.59747
0.836417,3.59657
0.837004,3.59566
0.837591,3.59473
0.838179,3.59379
0.838766,3.59284
0.839353,3.59187
0.83994,3.59089
0.840527,3.58989
0.841115,3.58889
0.841702,3.58786
0.842289,3.58682
0.842876,3.58577
0.843464,3.58469
0.844051,3.58361
0.844638,3.5825
0.845225,3.58137
0.845812,3.58023
0.8464,3.57907
0.846987,3.57789
0.847574,3.57669
0.848161,3.57547
0.848748,3.57422
0.849336,3.57295
0.849923,3.57164
0.85051,3.57031
0.851097,3.56896
0.851684,3.56757
0.852272,3.56615
0.852859,3.5647
0.853446,3.56321
0.854033,3.56169
0.854621,3.56013
0.855208,3.55854
0.855795,3.55691
0.856382,3.55523
0.856969,3.55352
0.857557,3.55176
0.858144,3.54995
0.858731,3.54809
0.859318,3.54618
0.859905,3.54421
0.860493,3.54219
0.86108,3.54011
0.861667,3.53797
0.862254,3.53576
0.862842,3.53349
0.863429,3.53114
0.864016,3.52871
0.864603,3.52619
0.86519,3.52358
0.865778,3.52087
0.866365,3.51805
0.866952,3.51512
0.867539,3.51207
0.868127,3.5089
0.868714,3.50559
0.869301,3.50213
0.869888,3.4985
0.870475,3.49469
0.871063,3.49067
0.87165,3.48642
0.872237,3.48193
0.872824,3.47716
0.873381,3.47237
0.873936,3.4673
0.874459,3.46224
0.87495,3.4572
0.875415,3.45216
0.875858,3.4471
0.876276,3.44206
0.876674,3.43702
0.877054,3.43197
0.877415,3.42693
0.87776,3.42191
0.878089,3.4169
0.878405,3.41188
0.87871,3.40684
0.879003,3.40179
0.879287,3.39673
0.879559,3.39168
0.879815,3.38678
0.880073,3.38166
0.880315,3.37669
0.880554,3.37163
0.880786,3.36659
0.88101,3.36154
0.881225,3.35658
0.881437,3.35152
0.88164,3.34656
0.881839,3.34156
0.882035,3.33651
0.882225,3.33148
0.882412,3.32642
0.882593,3.3214
0.882768,3.31641
0.88294,3.3114
0.88311,3.30633
0.883275,3.30131
0.883437,3.29628
0.883595,3.29123
0.883752,3.28615
0.883903,3.28113
0.884051,3.27612
0.884198,3.27104
0.884339,3.26607
0.884481,3.26097
0.884618,3.25593
0.884755,3.25082
0.884888,3.24577
0.885018,3.24071
0.885147,3.23564
0.885272,3.23059
0.885394,3.22561
0.885513,3.22065
0.885635,3.21551
0.885753,3.21043
0.885868,3.20539
0.885981,3.20035
0.886095,3.1952
0.886206,3.19015
0.886314,3.18509
0.886421,3.18004
0.886526,3.17499
0.88663,3.16993
0.88673,3.16496
0.88683,3.15998
0.88693,3.15489
0.887028,3.14984
0.887124,3.14483
