Time [s],Current [mA],Discharge capacity [A.h],Voltage [V],Absolute error [V]
0,0,0,4.1935,2.3994e-05
0.0991,0.34393,5.036e-09,4.1827,0.0068551
0.2011,0.34394,1.4781e-08,4.1827,0.0018967
2.9231,0.34394,2.7484e-07,4.1821,0.0025084
62.923,0.34393,6.0071e-06,4.1781,0.0018374
122.92,0.34393,1.1739e-05,4.176,0.00060816
182.92,0.34393,1.7471e-05,4.1743,0.00041588
242.92,0.34393,2.3204e-05,4.1729,0.0011967
302.92,0.34393,2.8936e-05,4.1718,0.0018523
362.92,0.34393,3.4668e-05,4.1709,0.0022073
422.92,0.34393,4.04e-05,4.1703,0.0024674
482.92,0.34393,4.6132e-05,4.1697,0.002739
542.92,0.34393,5.1864e-05,4.1693,0.0028945
602.92,0.34393,5.7597e-05,4.1689,0.0030327
662.92,0.34393,6.3329e-05,4.1685,0.0032068
722.92,0.34392,6.9061e-05,4.1681,0.0032439
782.92,0.34392,7.4793e-05,4.1678,0.0032697
842.92,0.34392,8.0525e-05,4.1675,0.0033852
902.92,0.34392,8.6257e-05,4.1672,0.0035444
962.92,0.34392,9.1989e-05,4.1669,0.0034836
1022.9,0.34392,9.7721e-05,4.1667,0.0035671
1082.9,0.34392,0.00010345,4.1665,0.0036039
1142.9,0.34392,0.00010918,4.1662,0.0036302
1202.9,0.34392,0.00011492,4.166,0.0036478
1262.9,0.34392,0.00012065,4.1658,0.0037017
1322.9,0.34392,0.00012638,4.1656,0.0037511
1382.9,0.34392,0.00013211,4.1654,0.0036399
1442.9,0.34392,0.00013785,4.1652,0.0036021
1502.9,0.34392,0.00014358,4.165,0.0037548
1562.9,0.34392,0.00014931,4.1648,0.0037444
1622.9,0.34392,0.00015504,4.1646,0.0037348
1682.9,0.34392,0.00016077,4.1645,0.0038126
1742.9,0.34392,0.00016651,4.1642,0.0036713
1802.9,0.34392,0.00017224,4.164,0.003744
1862.9,0.34392,0.00017797,4.1638,0.0039036
1922.9,0.34392,0.0001837,4.1635,0.0039105
1982.9,0.34392,0.00018943,4.1633,0.0039265
2042.9,0.34392,0.00019517,4.163,0.0039517
2102.9,0.34392,0.0002009,4.1627,0.0039594
2162.9,0.34392,0.00020663,4.1624,0.0040286
2222.9,0.34393,0.00021236,4.1621,0.0041097
2282.9,0.34393,0.00021809,4.1618,0.0042412
2342.9,0.34393,0.00022383,4.1614,0.0042667
2402.9,0.34393,0.00022956,4.1611,0.0043353
2462.9,0.34393,0.00023529,4.1607,0.0044864
2522.9,0.34393,0.00024102,4.1604,0.0045377
2582.9,0.34393,0.00024675,4.16,0.0046503
2642.9,0.34393,0.00025249,4.1596,0.0046552
2702.9,0.34393,0.00025822,4.1592,0.004803
2762.9,0.34393,0.00026395,4.1587,0.004852
2822.9,0.34393,0.00026968,4.1583,0.0049568
2882.9,0.34393,0.00027542,4.1578,0.0049902
2942.9,0.34393,0.00028115,4.1573,0.0051692
3002.9,0.34393,0.00028688,4.1568,0.0052017
3062.9,0.34393,0.00029261,4.1563,0.0052735
3122.9,0.34393,0.00029834,4.1558,0.0052565
3182.9,0.34393,0.00030408,4.1552,0.0052773
3242.9,0.34393,0.00030981,4.1546,0.0052833
3302.9,0.34393,0.00031554,4.154,0.0052771
3362.9,0.34393,0.00032127,4.1533,0.0050339
3422.9,0.34393,0.000327,4.1527,0.0050862
3482.9,0.34393,0.00033274,4.152,0.0048375
3542.9,0.34393,0.00033847,4.1514,0.004615
3602.9,0.34393,0.0003442,4.1507,0.0044091
3662.9,0.34393,0.00034993,4.15,0.0040004
3722.9,0.34393,0.00035567,4.1493,0.0037192
3782.9,0.34393,0.0003614,4.1486,0.0033855
3842.9,0.34393,0.00036713,4.1479,0.002992
3902.9,0.34393,0.00037286,4.1471,0.0025046
3962.9,0.34393,0.00037859,4.1463,0.0020395
4022.9,0.34393,0.00038433,4.1455,0.0015225
4082.9,0.34393,0.00039006,4.1446,0.0010382
4142.9,0.34393,0.00039579,4.1437,0.00035501
4202.9,0.34393,0.00040152,4.1428,0.0002131
4262.9,0.34393,0.00040725,4.1418,0.00086075
4322.9,0.34392,0.00041299,4.1408,0.0014349
4382.9,0.34393,0.00041872,4.1398,0.0020505
4442.9,0.34393,0.00042445,4.1387,0.0027876
4502.9,0.34393,0.00043018,4.1376,0.0033653
4562.9,0.34393,0.00043592,4.1364,0.0040201
4622.9,0.34393,0.00044165,4.1352,0.0045528
4682.9,0.34393,0.00044738,4.134,0.005441
4742.9,0.34392,0.00045311,4.1327,0.0060122
4802.9,0.34392,0.00045884,4.1314,0.0066111
4862.9,0.34392,0.00046458,4.13,0.0071577
4922.9,0.34392,0.00047031,4.1286,0.007805
4982.9,0.34392,0.00047604,4.1271,0.0084808
5042.9,0.34392,0.00048177,4.1255,0.0090546
5102.9,0.34392,0.0004875,4.1239,0.0095715
5162.9,0.34392,0.00049324,4.1223,0.010203
5222.9,0.34392,0.00049897,4.1206,0.010588
5282.9,0.34392,0.0005047,4.1188,0.011125
5342.9,0.34392,0.00051043,4.117,0.011571
5402.9,0.34392,0.00051616,4.1152,0.012091
5462.9,0.34392,0.0005219,4.1133,0.012502
5522.9,0.34392,0.00052763,4.1114,0.012914
5582.9,0.34392,0.00053336,4.1094,0.013367
5642.9,0.34392,0.00053909,4.1074,0.013629
5702.9,0.34392,0.00054482,4.1054,0.013935
5762.9,0.34392,0.00055056,4.1034,0.014289
5822.9,0.34392,0.00055629,4.1013,0.014574
5882.9,0.34392,0.00056202,4.0992,0.014792
5942.9,0.34392,0.00056775,4.0971,0.014978
6002.9,0.34392,0.00057348,4.0949,0.015107
6062.9,0.34392,0.00057922,4.0927,0.015334
6122.9,0.34393,0.00058495,4.0905,0.015399
6182.9,0.34393,0.00059068,4.0884,0.015579
6242.9,0.34393,0.00059641,4.0862,0.015635
6302.9,0.34393,0.00060214,4.084,0.015687
6362.9,0.34393,0.00060788,4.0818,0.015613
6422.9,0.34393,0.00061361,4.0796,0.015633
6482.9,0.34393,0.00061934,4.0773,0.015612
6542.9,0.34393,0.00062507,4.0751,0.015447
6602.9,0.34393,0.00063081,4.0729,0.015402
6662.9,0.34394,0.00063654,4.0707,0.015264
6722.9,0.34393,0.00064227,4.0685,0.015183
6782.9,0.34393,0.000648,4.0664,0.014964
6842.9,0.34393,0.00065373,4.0643,0.014837
6902.9,0.34393,0.00065947,4.0621,0.014687
6962.9,0.34393,0.0006652,4.06,0.014601
7022.9,0.34393,0.00067093,4.058,0.01437
