Stoichiometry,Voltage [V],Diffusivity [m2.s-1],Diffusion time [s],Lumped resistance [Ohm],RMSE [V]
0.2874,4.194,5.3017e-17,66665,103.45,0.00091517
0.29697,4.1902,6.2358e-17,56679,88.875,0.00078002
0.30703,4.1872,6.2164e-17,56856,82.744,0.00072436
0.31689,4.1847,6.1966e-17,57037,77.054,0.00061076
0.32627,4.1828,5.4991e-17,64272,72.165,0.00062802
0.33613,4.1808,4.9407e-17,71537,64.547,0.00053608
0.34619,4.1787,4.9071e-17,72026,58.39,0.00046653
0.35566,4.1762,5.2788e-17,66955,53.171,0.00044426
0.36562,4.1718,5.6365e-17,62706,44.853,0.00037698
0.37544,4.1652,7.5563e-17,46774,38.134,0.00053098
0.38521,4.1546,1.4838e-16,23820,31.634,0.00075885
0.39507,4.1418,2.652e-16,13327,27.78,0.0011329
0.40486,4.1275,3.4022e-16,10388,30.53,0.0013724
0.41461,4.1122,3.8067e-16,9284.6,26.824,0.0016025
0.42441,4.0962,4.1906e-16,8434.2,23.453,0.0016743
0.43419,4.0794,5.1453e-16,6869.2,23.198,0.0016854
0.44395,4.063,7.949e-16,4446.3,27.532,0.0018251
0.45377,4.0476,8.6227e-16,4098.9,28.266,0.0018168
0.46356,4.0346,7.4996e-16,4712.8,27.903,0.0017278
0.47341,4.0224,7.7617e-16,4553.6,29.408,0.0014843
0.48315,4.0113,8.5064e-16,4155,30.165,0.0014883
0.49298,4.0006,9.6367e-16,3667.6,30.375,0.0013887
0.50276,3.9901,9.9835e-16,3540.3,30.549,0.0014654
0.51256,3.9794,1.0644e-15,3320.6,28.777,0.0013926
0.5223,3.9679,1.1202e-15,3155.2,27.98,0.0015624
0.53213,3.9559,1.1898e-15,2970.6,28.689,0.0014412
0.54188,3.9434,1.2122e-15,2915.7,28.913,0.0015071
0.55176,3.9301,1.2798e-15,2761.7,30.471,0.0015064
0.56151,3.9162,1.2998e-15,2719.3,29.638,0.0016866
0.57129,3.9019,1.2999e-15,2718.9,28.611,0.001827
0.58107,3.8879,1.3645e-15,2590.2,28.203,0.0017951
0.59089,3.8735,1.3688e-15,2582.1,27.346,0.0019
0.60066,3.8591,1.5919e-15,2220.3,29.097,0.0020518
0.61045,3.8452,1.6264e-15,2173.1,29.367,0.0020482
0.62021,3.8324,1.6713e-15,2114.7,31.195,0.0019748
0.63003,3.8203,1.7039e-15,2074.2,31.927,0.0019646
0.63984,3.8094,1.3395e-15,2638.7,31.237,0.0017929
0.64971,3.7992,1.3736e-15,2573.1,32.553,0.0015814
0.65942,3.7899,1.4141e-15,2499.4,33.063,0.0015021
0.66924,3.7812,1.0405e-15,3396.9,31.085,0.001397
0.679,3.7726,1.0503e-15,3365.1,32.379,0.0014651
0.68877,3.7643,1.0511e-15,3362.7,34.36,0.0013793
0.69858,3.7561,1.07e-15,3303.3,36.1,0.0012838
0.7084,3.748,1.0371e-15,3408.1,36.586,0.0013065
0.71812,3.7395,1.0761e-15,3284.5,36.621,0.0014056
0.72793,3.7312,1.0782e-15,3278,37.782,0.0013024
0.7377,3.7227,1.0554e-15,3348.9,37.719,0.0013504
0.74756,3.7142,1.0733e-15,3293,39.213,0.0013056
0.75732,3.7057,1.113e-15,3175.6,41.205,0.0013197
0.76709,3.6972,1.0692e-15,3305.6,44.399,0.0013232
0.77686,3.6887,1.0691e-15,3306,46.377,0.0014049
0.78672,3.6801,1.0649e-15,3319,48.149,0.0013626
0.79658,3.6713,1.114e-15,3172.8,49.918,0.0013141
0.8063,3.6626,1.1756e-15,3006.5,51.264,0.0013999
0.81602,3.6533,1.2416e-15,2846.7,54.105,0.0015648
0.82588,3.6435,1.3172e-15,2683.3,59.634,0.0014935
0.83564,3.633,1.3947e-15,2534.1,52.788,0.0016904
0.84551,3.6219,8.2308e-16,4294.1,56.554,0.0017599
0.85527,3.6108,8.2306e-16,4294.2,65.96,0.001809
0.86504,3.5997,5.0049e-16,7061.8,69.369,0.0017489
0.8748,3.5895,3.3051e-16,10694,75.5,0.0015994
0.88457,3.5803,2.2553e-16,15672,81.645,0.0014929
0.89434,3.5718,1.4089e-16,25086,90.974,0.0013584
0.9042,3.5637,9.7089e-17,36404,97.657,0.0012856
0.91406,3.5558,8.2644e-17,42767,99.956,0.0013582
