Time [s],Current [mA],Discharge capacity [A.h],Voltage [V],Absolute error [V]
0,0,0,4.1934,4.4141e-05
0.0365,1.7195,8.9807e-09,4.1395,0.031665
0.0505,1.7191,1.5667e-08,4.1394,0.026635
0.0685,1.7193,2.4263e-08,4.1393,0.021441
0.0905,1.7194,3.477e-08,4.1393,0.016446
0.1185,1.7194,4.8143e-08,4.1392,0.011297
0.1565,1.7195,6.6292e-08,4.1392,0.0063642
0.2145,1.7193,9.3995e-08,4.1391,0.0012906
0.3245,1.7195,1.4653e-07,4.1389,0.0035854
0.8605,1.7194,4.0254e-07,4.1383,0.0079302
5.0285,1.7194,2.3932e-06,4.1353,0.010015
17.755,1.7194,8.4711e-06,4.1315,0.011242
77.755,1.7194,3.7127e-05,4.1252,0.007055
137.75,1.7194,6.5784e-05,4.1231,0.0044833
197.75,1.7194,9.444e-05,4.1218,0.0028504
257.75,1.7194,0.0001231,4.1207,0.0019492
317.75,1.7194,0.00015175,4.1196,0.0013843
377.75,1.7194,0.00018041,4.1182,0.00066664
437.75,1.7194,0.00020906,4.1164,1.1031e-05
497.75,1.7194,0.00023772,4.1142,0.00064664
557.75,1.7194,0.00026638,4.1115,0.0015192
617.75,1.7194,0.00029503,4.1083,0.0022296
677.75,1.7194,0.00032369,4.1049,0.0026518
737.75,1.7193,0.00035234,4.1012,0.0026004
797.75,1.7193,0.000381,4.0969,0.0025492
851.05,1.7193,0.00040645,4.0926,0.0019024
899.71,1.7193,0.00042969,4.0882,0.0013207
943.36,1.7193,0.00045054,4.0838,0.00068645
982.71,1.7193,0.00046933,4.0795,8.6873e-06
1019,1.7193,0.00048666,4.0752,0.00072528
1053.2,1.7193,0.000503,4.0708,0.0013836
1086,1.7193,0.00051865,4.0663,0.0018853
1117.5,1.7194,0.00053371,4.0616,0.002168
1147.3,1.7194,0.00054795,4.0568,0.0024089
1177.3,1.7194,0.00056227,4.0518,0.0023781
1206.5,1.7194,0.00057622,4.0467,0.0023115
1235.9,1.7194,0.00059027,4.0415,0.0021365
1265.2,1.7194,0.00060423,4.0363,0.0019596
1295.5,1.7194,0.00061871,4.0308,0.0015712
1326.4,1.7194,0.00063346,4.0253,0.0010599
1357.2,1.7194,0.00064821,4.0199,0.00064928
1389.5,1.7194,0.0006636,4.0144,0.0001163
1422.7,1.7194,0.00067946,4.0088,0.00045455
1457.2,1.7194,0.00069593,4.0032,0.0010472
1493.4,1.7194,0.00071324,3.9976,0.0016697
1531.4,1.7194,0.00073141,3.9919,0.0023584
1570.5,1.7194,0.00075008,3.9863,0.0029638
1612.5,1.7194,0.00077011,3.9806,0.0036334
1656.5,1.7194,0.00079113,3.9749,0.0043647
1701.7,1.7194,0.0008127,3.9693,0.0049429
1749.6,1.7194,0.0008356,3.9637,0.0055484
1798.4,1.7194,0.00085892,3.9583,0.0059514
1849.6,1.7194,0.00088338,3.953,0.0062577
1901.6,1.7193,0.00090818,3.9479,0.0063407
1953.8,1.7194,0.00093314,3.9429,0.0063358
2005.7,1.7194,0.00095791,3.938,0.0062291
2056.2,1.7194,0.00098206,3.9332,0.0059975
2105.6,1.7194,0.0010056,3.9286,0.005587
2154.5,1.7193,0.001029,3.9241,0.0051506
2201.1,1.7194,0.0010512,3.9195,0.0046642
2246.9,1.7194,0.0010731,3.9149,0.0043008
2290.8,1.7194,0.0010941,3.9104,0.0038388
2333.8,1.7194,0.0011146,3.9058,0.0034122
2375.6,1.7194,0.0011346,3.9013,0.0028872
2417,1.7194,0.0011543,3.8967,0.0024775
2456.3,1.7194,0.0011731,3.8923,0.001866
2495.6,1.7194,0.0011919,3.8879,0.0012611
2533.8,1.7194,0.0012102,3.8835,0.00069045
2571.6,1.7194,0.0012282,3.8788,0.00037008
2608.6,1.7194,0.0012459,3.8741,7.2908e-05
2645.9,1.7194,0.0012637,3.8693,0.00012442
2682.3,1.7194,0.0012811,3.8645,0.00032499
2718.3,1.7194,0.0012982,3.8597,0.00051954
2754.3,1.7194,0.0013154,3.8548,0.00066709
2790.1,1.7194,0.0013325,3.8499,0.0008146
2825.7,1.7194,0.0013496,3.8451,0.00095662
2861.4,1.7194,0.0013666,3.8404,0.0013004
2897.3,1.7194,0.0013837,3.8359,0.0017407
2933.5,1.7193,0.001401,3.8312,0.0021104
2970.1,1.7193,0.0014185,3.8262,0.002129
3006.9,1.7193,0.0014361,3.821,0.0019712
3043.9,1.7193,0.0014537,3.8158,0.0017627
3081.5,1.7193,0.0014717,3.8106,0.0014895
3119.8,1.7193,0.00149,3.8052,0.0011549
3159.4,1.7193,0.0015089,3.7998,0.00076296
3199.8,1.7193,0.0015282,3.7944,0.00036866
3241.6,1.7193,0.0015482,3.7888,0.00019049
3284.8,1.7193,0.0015688,3.7833,0.00074919
3329.5,1.7193,0.0015902,3.7777,0.0013335
3375.4,1.7193,0.0016121,3.7721,0.0018939
3423.3,1.7193,0.001635,3.7666,0.0024044
3472.2,1.7193,0.0016583,3.7612,0.0028214
3524.6,1.7193,0.0016834,3.7556,0.0034079
3578,1.7193,0.0017088,3.7502,0.003829
3632.5,1.7193,0.0017349,3.7449,0.0041104
3689.9,1.7193,0.0017623,3.7395,0.0045218
3748.7,1.7194,0.0017904,3.7342,0.004834
3808.7,1.7193,0.001819,3.729,0.0052638
3867.4,1.7193,0.001847,3.7241,0.0051476
3927.4,1.7194,0.0018757,3.7193,0.0053511
3987.4,1.7193,0.0019044,3.7146,0.0051821
4047.4,1.7194,0.001933,3.7099,0.0051088
4107.4,1.7194,0.0019617,3.7054,0.0049269
4167.4,1.7193,0.0019903,3.7008,0.0047945
4227.2,1.7193,0.0020189,3.6963,0.0042716
4287.2,1.7193,0.0020476,3.6918,0.0040857
4347.2,1.7194,0.0020762,3.6874,0.00372
4405.9,1.7194,0.0021042,3.683,0.0031426
4465.9,1.7194,0.0021329,3.6783,0.0029596
4523.3,1.7194,0.0021603,3.674,0.0022999
4581.3,1.7193,0.002188,3.6696,0.0016511
4638.9,1.7194,0.0022155,3.6652,0.0010804
4695.2,1.7194,0.0022424,3.6608,0.0004451
4750.8,1.7194,0.0022689,3.6566,0.00033251
4805.3,1.7194,0.002295,3.6524,0.0011267
4859.7,1.7194,0.002321,3.6482,0.0019591
4913,1.7194,0.0023464,3.6441,0.0028525
4964.7,1.7194,0.0023711,3.64,0.0038049
5015.7,1.7194,0.0023955,3.636,0.0047826
5064.7,1.7194,0.0024189,3.6322,0.0059319
5113.4,1.7194,0.0024421,3.6283,0.007101
5159.9,1.7194,0.0024643,3.6246,0.0083995
5205.4,1.7194,0.0024861,3.6209,0.0097191
5248.7,1.7194,0.0025068,3.6175,0.011246
5290.6,1.7194,0.0025268,3.614,0.012743
5330.3,1.7194,0.0025457,3.61,0.013842
5368.2,1.7193,0.0025638,3.6056,0.014366
5403.7,1.7194,0.0025808,3.6013,0.015075
5437.3,1.7194,0.0025969,3.5971,0.015851
5469.5,1.7194,0.0026122,3.5927,0.016464
5499.5,1.7194,0.0026266,3.5881,0.016918
5527.3,1.7194,0.0026398,3.5834,0.017194
5553.7,1.7193,0.0026524,3.5781,0.016939
5578.3,1.7193,0.0026642,3.5728,0.016618
5601.5,1.7193,0.0026752,3.5669,0.015733
5623.1,1.7194,0.0026856,3.5616,0.01546
5643.3,1.7194,0.0026952,3.5568,0.015723
5662.2,1.7193,0.0027042,3.552,0.015944
5680.1,1.7193,0.0027128,3.547,0.015957
5696.6,1.7193,0.0027207,3.5425,0.016415
5712.1,1.7193,0.0027281,3.5384,0.017353
5726.4,1.7193,0.0027349,3.5347,0.018693
5740.2,1.7194,0.0027415,3.531,0.020049
5752.7,1.7193,0.0027475,3.5276,0.021593
5764.8,1.7193,0.0027532,3.5241,0.023103
5776,1.7193,0.0027586,3.5206,0.024647
5786.6,1.7193,0.0027637,3.5172,0.026284
5796.6,1.7194,0.0027684,3.514,0.028011
5806.1,1.7194,0.002773,3.5108,0.029801
5815,1.7194,0.0027773,3.5076,0.031704
5823.7,1.7193,0.0027814,3.5045,0.033547
5831.8,1.7193,0.0027853,3.5014,0.035498
5839.5,1.7193,0.0027889,3.4984,0.037515
5846.9,1.7193,0.0027925,3.4954,0.039486
5854,1.7194,0.0027958,3.4924,0.041507
5860.7,1.7194,0.0027991,3.4894,0.043589
5867.2,1.7194,0.0028022,3.4865,0.045617
5873.4,1.7194,0.0028051,3.4835,0.047688
5879.3,1.7194,0.002808,3.4806,0.049765
5885,1.7194,0.0028107,3.4777,0.05188
5890.6,1.7194,0.0028133,3.4748,0.053954
5896,1.7194,0.0028159,3.4719,0.056035
5901.1,1.7194,0.0028183,3.469,0.058174
5906,1.7194,0.0028207,3.4661,0.060294
5910.8,1.7194,0.002823,3.4632,0.062376
5915.5,1.7194,0.0028252,3.4603,0.064451
5919.9,1.7194,0.0028273,3.4574,0.066585
5924.4,1.7194,0.0028295,3.4544,0.068588
5928.6,1.7194,0.0028315,3.4514,0.070625
5932.8,1.7194,0.0028335,3.4485,0.072644
5936.8,1.7194,0.0028354,3.4454,0.074621
5940.7,1.7193,0.0028373,3.4424,0.076591
5944.5,1.7194,0.0028391,3.4393,0.078548
5948.2,1.7193,0.0028409,3.4362,0.08049
5951.9,1.7193,0.0028426,3.433,0.082281
5955.5,1.7193,0.0028443,3.4298,0.084082
5958.9,1.7193,0.002846,3.4265,0.085788
5962.3,1.7193,0.0028476,3.4232,0.087526
5965.6,1.7193,0.0028491,3.4199,0.089148
5968.8,1.7193,0.0028507,3.4165,0.090749
5971.9,1.7193,0.0028522,3.413,0.092259
5975,1.7193,0.0028536,3.4094,0.093707
5978.1,1.7194,0.0028551,3.4058,0.095069
5980.9,1.7194,0.0028565,3.4022,0.096488
5983.8,1.7193,0.0028579,3.3984,0.097738
5986.6,1.7193,0.0028592,3.3947,0.098953
5989.4,1.7194,0.0028605,3.3908,0.1001
5992.1,1.7194,0.0028618,3.3869,0.10122
5994.7,1.7194,0.0028631,3.3829,0.10218
5997.3,1.7194,0.0028643,3.3788,0.10313
5999.9,1.7193,0.0028655,3.3747,0.10404
6002.4,1.7193,0.0028667,3.3704,0.10476
6004.8,1.7193,0.0028679,3.3662,0.10552
6007.2,1.7193,0.002869,3.3618,0.10618
6009.5,1.7194,0.0028701,3.3574,0.10678
6011.8,1.7193,0.0028712,3.3529,0.10729
6014,1.7194,0.0028723,3.3484,0.10778
6016.2,1.7194,0.0028733,3.3438,0.10814
6018.4,1.7193,0.0028744,3.3391,0.10846
6020.5,1.7193,0.0028754,3.3343,0.10868
6022.6,1.7193,0.0028764,3.3295,0.10885
6024.6,1.7193,0.0028774,3.3246,0.10901
6026.7,1.7193,0.0028783,3.3197,0.10905
6028.6,1.7193,0.0028793,3.3146,0.10901
6030.5,1.7193,0.0028802,3.3096,0.10902
6032.4,1.7193,0.0028811,3.3045,0.10893
6034.3,1.7193,0.002882,3.2994,0.10875
6036.1,1.7193,0.0028828,3.2942,0.10857
6037.9,1.7193,0.0028837,3.2889,0.10833
6039.6,1.7193,0.0028845,3.2836,0.10803
6041.4,1.7193,0.0028853,3.2783,0.10775
6043,1.7193,0.0028861,3.2729,0.10745
6044.7,1.7194,0.002887,3.2674,0.10693
6046.4,1.7194,0.0028877,3.262,0.10656
6047.9,1.7194,0.0028885,3.2565,0.1061
6049.6,1.7194,0.0028893,3.2508,0.10544
6051.1,1.7193,0.00289,3.2452,0.10478
6052.6,1.7193,0.0028907,3.2396,0.10422
6054.1,1.7193,0.0028914,3.2339,0.10353
6055.6,1.7193,0.0028921,3.2283,0.10291
6057,1.7193,0.0028928,3.2226,0.10223
6058.4,1.7194,0.0028935,3.2169,0.10151
6059.8,1.7194,0.0028941,3.2112,0.10084
6061.2,1.7194,0.0028948,3.2054,0.10002
6062.5,1.7193,0.0028954,3.1997,0.099387
6063.8,1.7193,0.0028961,3.1939,0.098604
6065.1,1.7194,0.0028967,3.188,0.097704
6066.4,1.7194,0.0028973,3.1822,0.096953
6067.6,1.7194,0.0028979,3.1766,0.096315
6068.8,1.7194,0.0028984,3.1707,0.095456
6070,1.7193,0.002899,3.1649,0.094683
6071.1,1.7193,0.0028996,3.1591,0.093951
6072.3,1.7193,0.0029001,3.1533,0.093137
6073.4,1.7193,0.0029006,3.1477,0.092527
6074.5,1.7193,0.0029011,3.142,0.091794
6075.5,1.7193,0.0029017,3.1362,0.091138
6076.6,1.7194,0.0029022,3.1304,0.090306
6077.6,1.7193,0.0029027,3.1247,0.089597
6078.6,1.7194,0.0029031,3.1193,0.089208
6079.6,1.7193,0.0029036,3.1134,0.088385
6080.6,1.7193,0.0029041,3.1079,0.08785
6081.5,1.7194,0.0029045,3.1023,0.087227
6082.5,1.7193,0.002905,3.0965,0.086484
6083.4,1.7194,0.0029054,3.0907,0.085731
6084.4,1.7193,0.0029059,3.0849,0.084948
6085.3,1.7193,0.0029063,3.0791,0.084176
6086.2,1.7193,0.0029068,3.0733,0.083352
6087.1,1.7194,0.0029072,3.0676,0.082762
6088,1.7194,0.0029076,3.062,0.082117
6088.8,1.7194,0.002908,3.0562,0.081375
6089.7,1.7194,0.0029084,3.0506,0.080715
6090.5,1.7193,0.0029088,3.045,0.080101
6091.4,1.7194,0.0029092,3.0392,0.079302
6092.2,1.7194,0.0029096,3.0334,0.07858
6093,1.7193,0.00291,3.0278,0.077949
6093.8,1.7193,0.0029104,3.0223,0.077467
6094.6,1.7193,0.0029107,3.0167,0.076926
6095.3,1.7193,0.0029111,3.0112,0.076496
6096,1.7193,0.0029114,3.0058,0.076136
6096.8,1.7193,0.0029118,3.0001,0.075487
6097.6,1.7193,0.0029122,2.9945,0.074963
6098.3,1.7194,0.0029125,2.9888,0.074223
6099.1,1.7194,0.0029129,2.9831,0.073574
6099.8,1.7194,0.0029132,2.9776,0.073083
6100.5,1.7193,0.0029136,2.9719,0.07236
6101.2,1.7193,0.0029139,2.9661,0.071571
6101.9,1.7194,0.0029143,2.9605,0.070924
6102.7,1.7194,0.0029146,2.9547,0.0702
6103.4,1.7194,0.0029149,2.9491,0.069596
6104,1.7193,0.0029153,2.9436,0.069171
6104.7,1.7194,0.0029156,2.9383,0.06883
6105.3,1.7193,0.0029159,2.9329,0.068511
6106,1.7193,0.0029162,2.9274,0.068045
6106.7,1.7194,0.0029165,2.9216,0.06734
6107.3,1.7194,0.0029168,2.9159,0.066639
6108,1.7193,0.0029172,2.9104,0.066141
6108.6,1.7194,0.0029175,2.9049,0.065624
6109.3,1.7194,0.0029178,2.8992,0.064909
6109.8,1.7193,0.002918,2.8943,0.064999
6110.5,1.7193,0.0029183,2.8886,0.064357
6111.1,1.7194,0.0029186,2.8831,0.063842
6111.7,1.7194,0.002919,2.8773,0.063026
6112.4,1.7194,0.0029193,2.8715,0.062292
6113,1.7193,0.0029196,2.8656,0.061326
6113.7,1.7194,0.0029199,2.8595,0.060264
6114.4,1.7193,0.0029202,2.8533,0.059078
6115,1.7193,0.0029205,2.8472,0.058056
6115.7,1.7193,0.0029208,2.8408,0.056666
6116.4,1.7194,0.0029212,2.8346,0.055419
6117,1.7194,0.0029215,2.8284,0.054221
6117.7,1.7193,0.0029218,2.822,0.052893
6118.3,1.7194,0.0029221,2.8158,0.051699
6119,1.7193,0.0029224,2.8095,0.050369
6119.6,1.7193,0.0029227,2.8032,0.049018
6120.2,1.7194,0.002923,2.7971,0.047922
6120.9,1.7194,0.0029233,2.7906,0.046492
6121.5,1.7194,0.0029236,2.7841,0.044977
6122.1,1.7194,0.0029239,2.7778,0.043657
6122.8,1.7193,0.0029242,2.7712,0.042076
6123.4,1.7194,0.0029245,2.7645,0.040455
6124.1,1.7194,0.0029248,2.7578,0.038816
6124.7,1.7193,0.0029252,2.7511,0.037189
6125.4,1.7193,0.0029255,2.7445,0.035513
6126,1.7194,0.0029258,2.7379,0.033942
6126.6,1.7193,0.0029261,2.7313,0.032339
6127.3,1.7194,0.0029264,2.7246,0.030675
6127.9,1.7194,0.0029267,2.7179,0.028975
6128.5,1.7194,0.002927,2.7111,0.027217
6129.2,1.7194,0.0029273,2.7042,0.025352
6129.8,1.7194,0.0029276,2.6973,0.023424
6130.4,1.7194,0.0029279,2.6906,0.02171
6131,1.7194,0.0029282,2.6839,0.020006
6131.6,1.7194,0.0029285,2.677,0.01813
6132.2,1.7194,0.0029287,2.6705,0.01665
6132.8,1.7194,0.002929,2.6637,0.014857
6133.4,1.7193,0.0029293,2.6572,0.013354
6134,1.7194,0.0029296,2.6504,0.011594
6134.6,1.7194,0.0029299,2.6438,0.010049
6135.2,1.7193,0.0029302,2.6371,0.0082689
6135.8,1.7193,0.0029304,2.6303,0.006523
6136.4,1.7193,0.0029307,2.6236,0.0048329
6137,1.7194,0.002931,2.6166,0.0028836
